,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5
2008-01-31,100.51999999999998,100.0,132.1579235227528,123.29976767899755,185.01219456076575,119.30014911106473,119.53107964932276,216.55161623943394,135.7089425365522,129.38111491457076,
2008-02-29,100.42,100.06935499851382,131.19061650718007,122.07260819746236,189.64796834015922,110.53351971986778,112.26026019576231,216.50069412390084,139.60557633458006,129.68280467445746,
2008-03-31,99.87,99.6334092935698,126.37676428065683,117.13883545155423,183.39883116285492,103.59056665482593,105.15655965924763,194.06981966211825,139.67358041482487,129.57094663212177,
2008-04-30,99.61,99.60368572277815,133.44045857517776,125.15154477698236,191.88808614421794,115.47692122807356,115.83425121728874,222.12892368349605,141.06086365181912,128.7795187825406,
2008-05-31,99.48,99.6135935797087,134.26467283696755,124.53545260546429,197.37425797248173,115.51741401984575,118.16605302771765,222.89044606023035,143.03298197891874,127.53085013102945,
2008-06-30,98.9,99.19746358862578,124.13073801942669,113.35630262701441,180.5273572316046,106.8753420484558,109.20953155106284,201.71862687332083,142.61815708942535,127.11413186170819,
2008-07-31,100.55000000000001,100.30714356484691,126.44057304938076,114.30353106899199,174.82490451428833,112.44900686839803,115.66476204715744,209.5118715066118,141.50969058143488,128.0197956039492,
2008-08-31,101.51,100.98087783612404,128.50322859650387,116.71165915039894,180.22272329851364,119.40101494507907,124.45644113503747,207.70562032269004,140.40802448146889,129.29709753644798,
2008-09-30,101.0,100.36659070643019,117.94934304526818,105.41974413152944,163.2092402558557,110.88476880695657,113.7444353957783,180.65410808688125,141.95851751105064,128.0516984291326,
2008-10-31,99.43,99.22718715941741,106.94540428472703,93.7141085075741,131.77028208549999,93.21250401980787,91.28542979555776,136.1955868712326,133.47840870452225,126.74160197757887,
2008-11-30,103.51000000000002,101.69424353512335,101.3370162934949,87.43167554952853,126.73968064055956,95.58584196951652,91.54750011692416,138.05030824766843,133.96803808228492,130.25061551646414,
2008-12-31,104.02,102.79401565441395,96.8275806513158,85.24145615860903,124.23450370438545,74.87536800372216,73.66684165233079,113.1679559954242,136.3549812988779,132.93382145316377,
2009-01-31,104.62,103.44793421182996,92.76056660490713,81.13843598557717,120.63871888086143,83.60029053867235,83.24500100731792,129.39545191755312,140.2856171370282,131.61391636902255,
2009-02-28,103.63,102.7444763697612,83.31008517728662,72.0780430372029,110.59960425199024,75.30784756860378,74.79757568646286,122.4357645525336,140.1428085685141,131.55268672317365,
2009-03-31,103.66,102.79401565441395,87.70737849835285,75.25309323325659,113.6348994523952,77.65267933036726,77.60653406201588,134.28432683745294,143.61101666099964,132.61449597003906,
2009-04-30,104.64,103.94332705835727,95.1306065860825,86.65208615850389,129.92131057015325,81.0996691004713,84.87462894123281,146.92801640414643,145.99795987759265,133.08134725036288,
2009-05-31,104.91999999999999,104.99355989299515,97.83643756280182,89.93421426093539,136.5008513183931,84.30230884874467,87.90101125623774,163.9509949018656,149.83339000340018,133.2453198456379,
2009-06-30,105.93,105.59793916575843,98.84296259237433,89.48663365816225,138.02402098384795,83.98096911152521,88.94916472620108,161.880800238461,149.81298877932676,134.44108132743494,
2009-07-31,108.33,106.78688199742395,108.31379498942172,98.66326069359909,145.55703833233628,89.0727294745907,94.61166310705681,176.1672284455169,150.77864671880312,136.1621495766931,
2009-08-31,109.35999999999999,107.52006341028435,113.33306481359784,105.81498417904484,153.64410289448256,89.94452165771418,97.33085253639186,170.2749328329826,152.62835770146208,137.50107746342817,
2009-09-30,109.96,107.8073912612702,115.77390920923764,107.67696868396985,160.7399567438222,91.1048523601916,100.38475763913644,180.9400034812274,156.14416865011898,138.61539757162035,
2009-10-31,110.13,107.96591697215891,114.52889625669356,104.7659654987543,154.6178270673232,88.62503444871811,95.50969200149252,179.4578162327756,157.52465147908873,138.87587125922036,
2009-11-30,110.71,108.19379768156148,114.22765951132234,105.88013918235622,155.39183654686855,88.73584953031765,94.02747112438995,180.04263159530996,157.14382862971777,140.22797639983554,
2009-12-31,110.68,108.2433369662142,119.27363998287126,111.011721172748,161.06483824950533,95.94222270500384,104.43618813901668,199.08709656115985,163.09418565113907,138.86517093276134,
2010-01-31,111.66,108.85762409590805,118.0820483250728,109.18391203338696,165.19902443513874,96.80763910641203,107.26397646661796,197.81726943802207,166.50119007140427,140.28068541535598,100.0
2010-02-28,112.52,109.40255622708807,122.17513705105974,111.63131392769665,164.15811513506054,101.00672999574618,112.89814937495608,204.2193473168374,160.48282896973816,140.9266680867717,100.38467878229405
2010-03-31,112.68,109.44218765481024,127.35975850182946,117.80162309333836,176.81560903778015,105.30562808787856,119.40219319035383,216.6623948544375,165.69194151649097,141.1690106656495,100.50324007967637
2010-04-30,112.92,109.48181908253245,123.95796676856283,114.68916290853282,177.70742257604346,116.52163630780356,137.15622278808658,242.56493042519293,165.06630397823866,141.93031907779036,100.68634479690668
2010-05-31,114.27000000000001,110.1159219260874,117.91881659112782,109.34534884943285,168.90801159633705,105.45544993244572,124.02739995883903,221.51219448367794,166.9296157769466,143.0273997711319,101.07052709135573
2010-06-30,114.52,110.01684335678192,114.6399786314821,105.62739285376392,166.90442225392297,91.95786876639016,106.76764330845951,198.58254155500003,164.42026521591296,144.15172666610522,101.37358327193434
2010-07-31,114.82999999999998,110.3140790646983,116.37723065703953,108.37862016041714,170.90791956191615,94.6853751224663,109.57498806695611,205.00647887757106,167.52805168310095,145.23097348201503,101.86868095095294
2010-08-31,116.56,110.8788269097394,115.8574329795939,106.20132034017682,169.02949703188992,85.03924871014522,97.513334246869,187.5655459299345,169.00374022441346,147.52688704715575,102.30717901564333
2010-09-30,115.82,110.75993262657286,118.59993809913465,109.94320224541929,177.16073811605543,91.07612197565052,106.51684912680757,204.18191219790552,172.92077524651478,147.17932459143083,102.20470392443852
2010-10-31,115.84,110.86891905280886,121.99219031548243,113.57187759521481,182.81901431135245,94.90933336275256,111.23334173852419,211.13420331896796,167.97007820469227,147.00158027969465,102.49534790889247
2010-11-30,115.45,110.88873476666996,119.82650798563559,112.7353643024588,185.14472412682343,95.8470218547986,115.36941817002099,212.16905497806587,168.11288677320638,145.36145801855713,102.05506248796017
2010-12-31,114.72,110.67076191419795,122.75492769046174,115.46169857138351,193.37536238553218,89.75894018261405,110.08803538073283,198.60083784974054,172.40394423665418,144.6635589483957,101.86024065758821
2011-01-31,114.56,110.73020905578123,123.27069757187495,117.40258811904086,191.28065896645347,93.37176971586945,112.99321354695557,196.5343127470732,177.29343760625636,144.1569777522379,101.79222182282533
2011-02-28,114.58,110.85901119587834,126.1823701247769,120.53408601133222,193.01458745570844,94.27339756408156,114.65414146036319,189.85336219049398,180.17001020061204,144.3827744559429,101.83015349418214
2011-03-31,114.28,110.68066977112849,122.77464269209406,116.37346915176553,193.54746675256544,86.71380242808543,107.76748595511081,186.7092456609863,177.46344780686837,144.23911266552068,101.7863632662545
2011-04-30,114.14,110.85901119587834,127.46999291955854,120.46885742218296,198.439096221987,83.50332305086363,103.30524013081705,177.85138173340437,177.40904454267255,145.46974928540646,102.22198170144397
2011-05-31,115.79000000000002,111.73090260576637,127.68198218442217,119.11900932437689,195.48387096774195,79.11784799764801,97.84737724611499,167.4870579142356,179.57157429445766,146.83493260280486,102.73713748939997
2011-06-30,116.33,112.18666402457148,120.50529761172895,112.4333364870121,184.33942294418114,74.06546816429717,91.04592594530257,156.9330386673434,179.4831689901394,146.52462313549287,102.72422880543037
2011-07-31,117.99,112.78113544040423,112.68183379193677,104.34732515479308,170.40449127973864,69.7043795382155,85.22231413429951,149.8554886551902,182.46174770486226,148.0567513610716,103.18874283319795
2011-08-31,118.78999999999999,112.88021400970969,107.04122343244538,97.56891313717452,159.05848787446507,72.64480285310295,87.65153231074092,153.03657049752047,184.71268276096563,149.81863937422906,103.71273610479467
2011-09-30,119.7,112.93966115129297,106.13157749691555,95.68882651613106,152.26634761400766,71.83986934612288,84.2264555918518,141.52147592890284,184.3590615436926,150.6684236338507,103.46707391909631
2011-10-31,119.63,113.14772614683444,110.48689694353877,102.26314295625846,160.89825594772446,76.59103577458035,90.99169768829445,154.783605745266,184.69908194491668,150.44797709337521,103.55554805307257
2011-11-30,119.02999999999999,112.56316258793223,108.77826346873796,99.69128638556877,156.27352629883578,83.60310022349134,99.34295961772722,161.73298236738313,181.37368242094522,149.52140808370032,103.14078210737246
2011-12-31,120.26,112.98920043594572,113.27688765840898,102.420437940858,156.39409139017994,88.01238061816899,103.77286299644246,168.5761416918654,184.18225093505606,151.70992207586335,103.80468565368581
2012-01-31,121.16,113.49450113940354,114.73918960743828,106.15667476110883,162.70857300630436,88.26653523403574,106.5644609004327,179.16858057910875,186.5691941516491,153.1123583816747,104.49708760230132
2012-02-29,121.81,114.02952541365303,118.3815891563251,109.75138499059152,169.18687589158344,89.0014459253419,107.07220545013026,182.44237195641827,188.90853451207073,153.5986287729797,104.77889410311457
2012-03-31,121.72,114.16823541068067,121.16861202148723,112.55534180621696,170.6042059730339,91.71372823195392,109.98148095946885,179.41972277668927,190.66303978238693,153.32567137117746,104.84721083058443
2012-04-30,122.05,114.23759040919448,120.77876376340299,110.81466881116823,172.46238093046802,97.80300228187888,117.76101583730619,191.21728304948252,191.86671200272013,154.23311850116167,105.0802622250202
2012-05-31,123.22999999999999,114.63390468641632,115.66261484518425,105.44927307704437,162.13611890847176,93.56142169886897,112.25000349017868,177.7584170360346,193.54641278476709,155.88483278262981,105.12286088211988
2012-06-30,123.03,114.98067967898542,119.41927660783259,108.69301039662767,163.4494500943353,99.56007772936694,117.7659984178704,186.95541567610033,193.2471948316899,155.55708574627346,105.19505021478064
2012-07-31,124.32,115.62469037947092,125.39864581257605,113.63874609732252,167.71156412498277,101.77687821870063,118.68373250253619,192.53665448463414,199.5851751105066,157.6078825738248,105.76879156844481
2012-08-31,124.78,116.03091251362329,125.15273826533422,114.08080776225466,167.80267820164744,100.34377121407529,117.84914677959675,184.56653779678578,195.53893233594016,157.863204252389,106.03073855545868
2012-09-30,124.83,116.05072822748438,127.42505119540746,116.48394251894835,171.39938336938013,100.60790230333387,119.03716160662128,190.98455325460748,193.45120707242435,158.40981259567133,106.25435668083973
2012-10-31,125.19,116.2885167938175,129.071995794133,120.0075162677263,172.76333348672406,99.26742674418088,117.55445672422888,188.61058561058616,187.94287657259434,158.77025507398582,106.35047672762875
2012-11-30,125.44999999999999,116.3975032200535,133.03068332619637,124.51595235842609,175.45349960885372,99.89332859931952,117.9114022661133,189.72749277821435,192.9819789187351,159.49401326642328,106.48909613394844
2012-12-31,125.32,116.41731893391459,133.3522710409945,125.0559988226266,178.11789609313882,99.00062465980595,118.36922581209409,193.8070755060633,195.73614416865007,159.58040849487028,106.6066644556408
2013-01-31,124.11000000000001,116.09035965520658,143.9279914865111,135.38441241708455,186.5289218167595,103.37861426100518,124.45333576214568,195.176446730838,195.9265555933356,158.60935386871296,106.4094594836129
2013-02-28,124.95,116.55602893094223,148.91249507124957,139.6443175964763,194.51106713911003,108.69942279175149,131.67500942456056,202.20212287360943,189.80618837130228,159.54474074000683,106.75144031123828
2013-03-31,125.01,116.69473892796987,153.55357604690897,142.310795042417,195.8584510606967,114.35832020138896,139.99796008286856,204.29358026238847,193.30159809588574,160.32378395248264,106.8505392850972
2013-04-30,125.93,117.0018824928168,157.39948529006492,146.42757576713234,197.68349362661635,118.01882132541527,141.76341591149318,205.93922262084473,194.43046582794966,161.99372841976984,107.21585504143687
2013-05-31,125.09000000000002,116.87308035271968,158.88701396161298,149.13076203391256,202.48492936358198,120.87163289617666,146.70019503291957,205.41625053266532,194.17885073104387,159.55762076259643,106.80367083253068
2013-06-30,123.14,116.25879322302586,153.64176358109225,143.2083530438256,195.7719387050757,114.62488669664117,139.4369144959202,187.05845606069727,185.76674600476028,157.32115345556144,106.26001664227256
2013-07-31,123.66,116.66501535717823,156.8421655127384,148.07219821922274,203.78445538631448,118.69126560622627,145.95987525072377,186.03752071490024,189.2077524651479,157.895998771444,106.61838156878243
2013-08-31,123.46,116.7839096403448,155.8952094665926,146.03552093517087,205.59937416593806,113.65496338970769,140.03518693001902,178.94701085702934,191.28187691261473,157.25397918390195,106.4452066084518
2013-09-30,124.02,117.07123749133062,161.3499052407986,151.41132380922346,211.81077723068427,115.53148154010182,144.91659794289987,184.5329855482578,188.4801088065284,158.46321515086964,106.8607669347039
2013-10-31,124.54,117.30902605766373,165.96724341879326,155.5081102105606,219.92545211909254,120.32729607083151,149.6980785168107,193.98944973324183,185.04590275416524,159.8488083502177,107.26282279157242
2013-11-30,124.87000000000002,117.51709105320518,166.77810235689662,156.12369779347608,223.08131241084163,123.75470086055003,153.99950524026536,193.16954767314317,188.43930635838151,159.59279313197564,107.43530266892006
2013-12-31,123.68999999999998,117.22976320221935,166.15718580011108,155.77060140654072,227.3830012424647,121.56699750942175,151.6437845481791,183.44635284360658,190.32301938116285,158.6979287932905,107.17186621837125
2014-01-31,125.73,117.87377390270484,165.99840584072822,155.3840550001577,229.35898025861673,121.51216482168712,154.45543844100007,177.96711845768252,193.84563073784426,160.97511678712792,107.65911938943911
2014-02-28,125.72000000000001,117.79451104726047,172.99256765637386,161.62408149105931,237.98076480603748,122.43520613570998,155.96638124615447,176.31996017406232,193.92043522611357,161.71522270054442,107.85453700522505
2014-03-31,126.1,117.86386604577427,173.87741084791466,161.76615471948028,240.64516129032262,122.75931424907726,155.43325811072387,181.90083692575192,197.34784087045222,161.83510598772435,107.80508681586456
2014-04-30,126.92000000000002,118.02239175666303,176.6654936594011,164.38800761087808,243.52952004049519,125.51243702978184,154.65604403077847,184.7272124769572,198.63311798707917,162.9140555723436,108.04131573250824
2014-05-31,127.71999999999998,118.33944317844049,181.42020088102737,167.9163013655429,247.2661175279555,129.6473111452378,158.36361641207966,193.5907103222504,198.4563073784427,164.46481029212882,108.43175377380412
2014-06-30,128.08,118.38898246309321,179.25091473367786,165.64124801581045,246.67341585753073,133.77966601919294,166.83026598508016,201.5045040060078,199.49676980618835,164.97109425699608,108.53293799661196
