,swiss_equity,world_equity,swiss_bonds,world_bonds,real_estate,gold,convertibles,clo,infrastructure,managed_futures,private_credit,cash,ils
2019-07-02,0.007133885945794116,0.0017154398703629337,-0.0009846355822683561,-0.0001921828767165179,0.001172571421966806,0.007297494207173072,4.1370966114895324e-05,2.8172698955941655e-06,0.005736860142366407,0.0089976857467291,0.005420227535277489,-2.0833333333358794e-05,0.0025884349237461635
2019-07-03,0.0011017140841826922,0.004623154121379702,0.007557054292171239,0.003652451535994139,0.004099152149214191,0.012351572938316568,0.0038787435514398005,3.0126870482760637e-06,0.012825756200944616,0.009030568164761998,0.004776774389530836,-2.0833333333358794e-05,-0.0019706603576830073
2019-07-04,0.0018870681179239401,0.004431460609154003,0.0029348616106550374,-0.0005746522290013267,0.0010203991127906153,-0.0024636749893777177,0.0,0.0,0.0,0.0,0.0,-2.0833333333358794e-05,-0.0017913841538897968
2019-07-05,-0.010200682208928114,-0.003563649898342014,-0.0035765074771783034,0.0,-0.012234276500851293,-0.00693868453911195,0.00024026503730012472,2.9506432750459055e-06,-0.00523919095822678,-0.009997762946995059,-0.00012500000000004174,-2.0833333333358794e-05,-0.00028647484209542995
2019-07-08,0.00031707115234347327,0.0,0.0009788519824291964,-0.0017247651659212382,-0.0010321506582815498,0.0013026711915371525,-0.0018187747247451203,-5.0654004222994153e-05,-0.004408366400692421,-0.0022425998365918076,-0.0019541086949814712,-2.0833333333469817e-05,0.003054224685190343
2019-07-09,-0.002219209433710234,-0.002043351873629695,-0.003096740313998647,-0.0036475432908901206,-0.008265570466037708,0.0022472198865317594,0.005364646821430785,2.8886340677214406e-06,0.00030499820356300056,-0.0012439484653877786,-0.001347002491692506,-2.0833333333247772e-05,-0.0019760138530172666
2019-07-10,-0.001906386477862121,0.0,-0.004578201254938352,0.0,-0.0008931035604424764,0.0029502005286448085,0.004342284038088007,-5.0654004222994153e-05,0.004820216639519259,-0.001670028986622163,0.004156455942814663,-2.0833333333469817e-05,0.0030044483366862273
2019-07-11,-0.004933793926305108,0.003412876430411771,-0.003121017432412887,0.002504819133095193,-0.002085603295681082,0.0003529683308052256,0.0005337554284494672,-5.06540042232162e-05,0.004795981859288201,-0.008480842954134094,-0.001951880765834968,-2.0833333333358794e-05,0.0021056028897883383
2019-07-12,-0.009116946286456873,0.0013606968307113831,-0.003460224077036278,-0.0036517495973507064,-0.0037318289754267875,-0.004587184613110473,0.0015215042344955965,2.9552804945431888e-06,-0.0014026082552229813,0.0024496440132919517,0.0017052243675288459,-2.0833333333358794e-05,0.000716193005517729
2019-07-15,0.00387372670068431,0.0,0.004960330486765363,-0.0007716409931312063,0.006742723924073157,0.0010634815396954878,0.0006964330602703406,5.641486447172106e-05,-0.002043515045829225,0.005127742034955585,0.0010934019496358083,-2.0833333333358794e-05,-0.0023830091623929794
2019-07-16,0.004367799933752581,0.0,0.0008297556292835573,0.0,0.001934764288734625,0.003777162607322193,-0.0037373939319850225,2.872242740981079e-06,-0.0076002775813283074,-0.0005117435254069491,-0.0019501985593157745,-2.0833333333358794e-05,0.0004983325858436416
2019-07-17,0.005636818610284644,0.0042458445378776855,0.0038142158445171326,0.002509654802104855,0.0049018730086638485,0.007525826899306587,0.0011107963989231973,5.64031540950527e-05,0.0026722478333607302,0.0037472938774048004,-0.005609283237492768,-2.0833333333358794e-05,0.0010539121687733743
2019-07-18,0.005605473009863138,0.0,0.0,0.0009628566522597026,-0.008869059410083202,0.001517259350478417,0.0019329219459216507,-5.06540042232162e-05,0.002450404977791809,-0.00012499999999993072,0.0011003830487588129,-2.0833333333358794e-05,0.0009220799977203153
2019-07-19,-0.004777944231708409,-0.013022155690098569,0.0034694888999187157,0.001731401424236667,0.0028336044365830926,-0.001981064235218266,-0.006860209058018318,0.00010975299879056877,-0.0061183412657362934,-0.0007424004204575896,-0.001961006407880217,-2.0833333333247772e-05,-0.0017800642387966192
2019-07-22,-0.00048016320552501934,-0.0018847793675038638,0.0004938960355842514,-0.0003840705063337113,0.0005950434713477559,-0.0032695571558872816,0.004671144335555599,-5.0654004223105176e-05,-0.0024936947247505836,0.002036454434958923,-0.001964322942068497,-2.0833333333247772e-05,0.0035361340915966988
2019-07-23,0.006244203884625321,0.007038633392101312,0.0009874516504926323,0.0,0.010552872954441073,0.0023430178739487495,0.0020146206667139843,-5.0654004222994153e-05,-0.004873435658626191,0.006075611589159591,0.0017177122850502435,-2.0833333333469817e-05,0.0029208951387569293
2019-07-24,-0.006046235352426987,0.0008521636987179892,0.0019725874535585497,0.0009606367942762706,0.0,0.0005843852434164187,0.00857937304828349,-0.00010421991948883491,-0.00012500000000015277,0.008372452791559848,0.006619285097176464,-2.0833333333358794e-05,0.00036097850274785515
2019-07-25,-0.0006401726541899189,0.008516498256281757,0.0009845354692918917,0.0024952037138019634,-0.008677897182208238,0.0015185712711127675,-0.007614650094075248,2.9224505899705377e-06,-0.00858307340255271,-0.008930287632621714,-0.00256102156076754,-2.0833333333247772e-05,0.0028566886444545414
2019-07-26,0.008329659464215933,0.0,-0.000655711408388604,-0.003254872334452541,0.005192912499737634,0.0034989502152742435,0.004796333216577686,2.7578384198534422e-06,-0.00012500000000004174,0.00695864430142068,0.0041486138414872364,-2.0833333333469817e-05,0.00048664565366429713
2019-07-29,-0.00047748089807742033,0.0028711239067262806,0.005248546294849943,0.00288135684814117,0.0025094196773689514,-0.0004649284085443961,-0.0046955805017406815,-0.0001576107821392725,0.0014061075645510623,-0.0015318738951708433,-0.003772397972393038,-2.0833333333358794e-05,-0.0022580867042115704
2019-07-30,-0.008422929270865853,-0.008420187461869899,-0.001631716618572976,-0.0028730784837767143,-0.009570178767628557,0.0051163074582123436,0.0018432126720144826,2.9224505899705377e-06,-0.0071133129501155246,-0.006445235476434941,0.009636980397179862,-2.0833333333358794e-05,0.0014225288006823877
