,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,high_yield_unhedged,em_debt,em_debt_unhedged
2008-01-31 05:00:00,197.73429380020164,118.02038790696672,100.0,,96.47507064642265,101.3960130105112,86.64336000729796,,100.0
2008-02-29 05:00:00,200.66261003234467,126.50104506595574,95.45666640575762,,97.52727164085408,99.4793390417117,81.99462772614187,100.0,96.04550006829116
2008-03-31 05:00:00,179.99145714662265,119.60782385390145,89.67383684969126,,92.40959556869028,100.46192737356509,78.9820703011053,100.1346991791691,91.73490015787016
2008-04-30 04:00:00,179.53103606275297,131.99549346823326,97.36712039567905,,96.5812688063203,103.93739432394766,84.99080678855957,101.36048437783668,96.5797316899696
2008-05-31 04:00:00,182.60655804300308,142.21738392035874,100.28053940786312,,99.32639352008512,103.47375882265666,85.22033283775855,101.52986585482479,97.43739695238331
2008-06-30 04:00:00,186.81105949078975,153.72543008441428,91.3144227384252,,96.41627482122738,99.73607088544057,80.34953478318515,99.58183093083535,93.48349581825327
2008-07-31 04:00:00,188.89177628181534,142.28899963903413,89.77127191537937,,93.02909226397618,100.38717707307423,82.92163940296454,100.42862948504911,96.66548370061786
2008-08-31 04:00:00,179.63346917402853,139.4277631937187,90.05801173590132,,94.28193403557475,99.54871234703215,86.15467838569653,101.2097715234711,102.06910380477936
2008-09-30 04:00:00,190.88593986487464,127.72453155169264,82.54876416852248,,98.9580923808885,89.00307263787249,78.5651556044348,94.0415733026424,96.73529913598253
2008-10-31 04:00:00,165.59013623496074,98.98499810333522,69.77420466970123,,112.81214463807632,78.92356136073903,71.96525848549774,75.92102985048224,80.65997735830618
2008-11-30 04:00:00,194.99579706162768,90.73836380542504,67.06042338898139,,118.75035223269177,73.32329573504417,69.9378778246757,83.18556994662588,92.44815726956705
2008-12-31 05:00:00,180.62995511610916,75.47530250207996,64.20117085094859,,99.61993303992517,85.63967573725846,70.21775090278442,97.93854625286322,93.56345903347744
2009-01-31 05:00:00,214.35612651719404,81.10417389899769,62.82680672692642,,112.09872655292139,84.79889742274013,78.15725736859123,91.14960229345826,97.88267589327988
2009-02-28 05:00:00,216.8615220383039,76.32945381904338,55.1935316851692,,112.23169095415575,76.5865436872753,70.37113586392,86.06812684845013,92.14312434800817
2009-03-31 05:00:00,205.82957629207974,77.79413369650287,57.38269511767346,,104.74929251826761,78.0632964847369,69.8370019421165,90.48304526791509,94.316375900258
2009-04-30 04:00:00,199.19417295437245,77.80503921020586,60.78057251220636,,102.65166726652983,88.88815800882466,79.59734374546098,97.4938868343711,101.72055855146776
2009-05-31 04:00:00,205.7306114809105,84.75663488054397,65.5009583664557,100.0,100.00528186899322,91.44489220899804,76.70759236511209,100.34133974701109,98.0698509862798
2009-06-30 04:00:00,198.1892407930445,83.882948673569,66.5780487624993,104.77651431518697,99.53208365339466,94.52888295056584,80.5772638896435,101.3249839259676,100.63271287901023
2009-07-31 04:00:00,199.59830412991118,84.04766357990475,69.5706235091908,109.82309135950399,97.90956995703269,101.08906352565266,84.74802697859741,104.49921805522912,102.07279018071888
2009-08-31 04:00:00,197.83549698065949,79.89998121990844,70.42859200460282,112.02075531248906,97.17339184016618,99.39476403539635,82.5299729846247,107.0662399511525,103.58001800603867
2009-09-30 04:00:00,204.72919363308958,77.94875817225835,72.77099414381179,114.36095128131623,96.4270148305353,105.17937496247644,85.3766372544745,112.66955167145787,106.5589136982067
2009-10-31 04:00:00,210.6883524121979,82.7023995497301,69.12200602294504,112.31539966216158,94.34136147615561,104.6302148132114,84.2482871237281,112.09324887395084,105.16184288292433
2009-11-30 04:00:00,232.21108841206356,84.48285102630334,72.04937463836646,114.50636819894697,94.38091063845077,106.41459298055757,83.71465269239076,113.0082968686379,103.58207461446898
2009-12-31 05:00:00,222.16483856430634,86.96085665069579,75.24691100676158,121.83537100270763,94.59035361482783,110.35778113770735,89.4903619509955,113.29991384528306,107.04684393289712
2010-01-31 05:00:00,224.8425045904044,82.14319307760213,74.43105771389503,121.20681057812178,92.79148314757192,108.35805105638529,90.04169469792207,112.71123288656209,109.12439682078781
2010-02-28 05:00:00,235.09732413352626,86.6115157225763,75.61000636162044,126.30974890053605,94.64262478824685,110.41062627789715,92.87083719282656,114.23266742229691,111.95165258329709
2010-03-31 05:00:00,229.80440906398508,84.6387178095584,76.95523830162732,129.34219569655934,92.4880989566314,112.78925260775546,93.1252552179946,117.23714597848434,112.7813032616667
2010-04-30 04:00:00,248.39147203988827,89.78075922625783,77.50130799677768,133.81164612998327,93.38652568081893,114.9832916736073,96.89380944612522,117.85917227017642,115.71656821976717
2010-05-31 04:00:00,275.1755983237823,86.72294553672663,74.47839667697144,134.51044704612835,99.76195419261244,109.63122855073951,99.29339739111673,115.73949542212152,122.13532715234898
2010-06-30 04:00:00,262.5354912074831,79.39982448556306,68.4734054999359,123.17542578654441,93.28337121396288,110.87222666879728,93.58086862091238,118.53479890315215,116.56949538295632
2010-07-31 04:00:00,240.74146150860904,81.40534187392149,73.39196550969412,124.92579981364489,86.03905151037716,116.60887982789869,95.07089657358974,123.36353786944387,117.18623975753148
2010-08-31 04:00:00,250.52920102355216,77.72620353953921,70.87249707656605,122.45882451941216,83.68959708169663,115.4792049615299,92.66925796087831,126.58233676554767,118.35375258349517
2010-09-30 04:00:00,250.09000158547985,80.42474385400563,72.4664545966054,121.90691703339257,81.5010494074948,119.72741742268344,91.5200460919225,128.64696107240582,114.57699082275813
2010-10-31 04:00:00,262.7715314260831,85.11883430638976,77.00558301495435,127.77528966617369,84.85484957496698,121.95200159011239,94.44961635867882,131.17445110119655,118.36842768147532
