,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,high_yield_unhedged,em_debt,em_debt_unhedged,cash
2008-01-31,100.51999999999998,100.0,132.1579235227528,123.29976767899755,185.01219456076572,119.30014911106473,119.53107964932276,216.55161623943397,135.7089425365522,129.38111491457076,92.2301701987606,197.73429380020164,118.02039623389692,100.0,,96.47506978148871,101.39587716550756,86.643269850053,,100.0,100.0
2008-02-29,100.42,100.06935499851382,131.19061650718007,122.07260819746236,189.6479683401592,110.53351971986778,112.26026019576231,216.50069412390084,139.60557633458006,129.68280467445746,92.44523170847124,200.66261003234467,126.50104506595574,95.45660882098014,,97.52726045798182,99.47935757648771,81.9946675087525,100.0,96.04536814178005,100.22916666666666
2008-03-31,99.87,99.6334092935698,126.37676428065684,117.13883545155424,183.3988311628549,103.59056665482592,105.15655965924763,194.06981966211825,139.67358041482487,129.57094663212175,92.36549297465731,179.99145714662265,119.6078161911536,89.6738100818998,,92.40958497263148,100.39978983594466,78.98212304910152,100.07227991102756,91.73484814268076,100.45885850694442
2008-04-30,99.61,99.60368572277817,133.44045857517776,125.15154477698236,191.88808614421797,115.47692122807356,115.83425121728874,222.12892368349603,141.06086365181912,128.7795187825406,91.80131847890416,179.53103606275295,131.99546954381717,97.36710540809231,,96.5812479658494,103.852090522373,84.99078167716756,101.27645435850032,96.57967858516292,100.68907672435617
2008-05-31,99.48,99.6135935797087,134.26467283696755,124.53545260546429,197.37425797248173,115.51741401984576,118.16605302771764,222.89044606023035,143.03298197891874,127.53085013102944,90.91119690028913,182.60655804300308,142.21738392035874,100.280487242932,,99.32636244591512,103.38893400656542,85.22038887473988,101.44567369679622,97.43732250327368,100.91982252518281
2008-06-30,98.9,99.19746358862578,124.13073801942669,113.3563026270144,180.5273572316046,106.8753420484558,109.20953155106284,201.71862687332083,142.61815708942535,127.1141318617082,90.61413656864947,186.81105949078972,153.72541435054617,91.31438844185882,,96.41625413177624,99.65433619200206,80.34960865354748,99.49916881938702,93.48334416548074,101.15109711846968
2008-07-31,100.55,100.30714356484692,126.44057304938076,114.303531068992,174.8249045142883,112.44900686839804,115.66476204715744,209.5118715066118,141.50969058143488,128.0197956039492,91.25974486430289,188.8917762818153,142.2889834967945,89.77123091741645,,93.0290618288448,100.30488988125448,82.92169999511538,100.34531906342026,96.66537952657087,101.38290171603283
2008-08-31,101.51,100.98087783612404,128.50322859650387,116.71165915039894,180.22272329851364,119.40101494507908,124.45644113503748,207.70562032269004,140.40802448146889,129.29709753644798,92.1702778637082,179.63346917402853,139.42775473194936,90.05796264444504,,94.28191286241126,99.46699530411404,86.15463981468055,101.12591897618208,102.0691007306851,101.6152375324654
2008-09-30,101.0,100.3665907064302,117.94934304526818,105.41974413152944,163.2092402558557,110.88476880695656,113.7444353957783,180.65410808688125,141.95851751105064,128.0516984291326,91.28248700096192,190.88593986487464,127.72454018836883,82.54872537305364,,98.95809161056106,88.93009098567967,78.56519004210675,93.96362700792164,96.73526262033798,101.84810578514396
2008-10-31,99.43,99.2271871594174,106.94540428472703,93.7141085075741,131.7702820855,93.21250401980788,91.28542979555776,136.1955868712326,133.47840870452225,126.74160197757888,90.3485762151152,165.59013623496074,98.98499810333522,69.77417846337403,,112.81212076174776,78.80315343074258,71.96518943855729,75.79930365460467,80.65987041065831,102.0815076942349
