,vz_ap5
2019-06-30,100.0
2019-07-31,100.96821337230544
2019-08-31,100.9042747533796
2019-09-30,101.49799050054813
2019-10-31,101.81768359517733
2019-11-30,103.68103763244443
2019-12-31,103.64450127877251
2020-01-31,104.40410467736474
2020-02-29,100.01823186994172
2020-03-31,92.84398959554775
2020-04-30,98.17384164960156
2020-05-31,99.19043468443472
2020-06-30,99.84395877825602
2020-07-31,100.96947249539274
2020-08-31,102.19664551601275
2020-09-30,102.1095089701699
2020-10-31,99.96740221820004
2020-11-30,105.58044804624312
2020-12-31,106.83666658214406
2021-01-31,106.36284013380552
2021-02-28,107.33795154454941
2021-03-31,110.97890224212455
2021-04-30,111.36709863882659
2021-05-31,112.1432440227736
2021-06-30,115.2291299056764
2021-07-31,115.50716010676258
2021-08-31,117.22811512037623
2021-09-30,114.14099542242472
2021-10-31,115.3271873622305
2021-11-30,115.04796235465527
2021-12-31,117.35257937402996
2022-01-31,113.52538498171516
2022-02-28,110.79148028754302
2022-03-31,110.98977091157556
2022-04-30,108.68710362549388
2022-05-31,106.81010232173608
2022-06-30,101.35708563582078
2022-07-31,104.94329905070472
2022-08-31,102.42128419408898
2022-09-30,97.11053658941576
2022-10-31,99.84368082128337
2022-11-30,101.84517087172769
2022-12-31,98.67002370604571
2023-01-31,102.50002614159457
2023-02-28,101.62975556916054
2023-03-31,102.01390399415821
2023-04-30,102.50342142899656
2023-05-31,102.4324802440745
2023-06-30,103.29289282579937
2023-07-31,103.38033105525047
2023-08-31,102.39276033034457
2023-09-30,101.22228278951286
2023-10-31,98.39395053365988
2023-11-30,101.77234941859146
2023-12-31,104.05130962753735
2024-01-31,104.58369623983606
2024-02-29,106.68964426974303
2024-03-31,109.68626443859344
2024-04-30,107.35150771463991
2024-05-31,109.78453322304793
2024-06-30,110.55212942338271
2024-07-31,111.69334340532002
2024-08-31,111.69619025301934
2024-09-30,112.44427830403691
2024-10-31,110.79207912984472
2024-11-30,113.17242247659598
2024-12-31,112.67204414793501
2025-01-31,115.53751614861689
2025-02-28,115.9628245326654
2025-03-31,113.07830221225308
2025-04-30,110.48580454492203
2025-05-31,112.92889315142725
2025-06-30,112.86483295371141
2025-07-31,113.64042293446226
2025-08-31,114.70959672827404
2025-09-30,115.4782351224211
2025-10-31,116.72462261451801
2025-11-30,117.76152819186888
2025-12-31,118.43328551069962
2026-01-31,118.38416596077694
2026-02-28,120.73300412394377
2026-03-31,116.1187910582619
2026-04-30,119.47776069006521
2026-05-31,122.25222801014972
2026-06-30,121.09098748024
