,swiss_equity,world_equity,swiss_bonds,world_bonds,real_estate,gold,convertibles,clo,infrastructure,managed_futures,private_credit,cash,ils
2019-07-16,99.01971621804873,100.994868382479,99.83659759233791,99.55794272492041,98.66628359749832,101.7346572049886,101.10823232483447,99.99219471899492,100.76422488038921,100.12713533935833,100.98285678380023,99.97708572033689,100.35424658622145
2019-07-17,99.57787239721173,101.42367689275443,100.21739592473729,99.80779879396768,99.14993318993007,102.50029462477363,101.2205429852024,99.99783459416197,101.0334918620061,100.50234114057758,100.41641533796873,99.97500286438438,100.46001114788675
2019-07-18,100.1360534733139,101.42367689275443,100.21739592473729,99.90389939698385,98.2705665419628,102.65581415521987,101.4161943941166,99.99276930342613,101.28106483338846,100.48977834793502,100.52691185922376,99.9729200518247,100.55264331473697
2019-07-19,99.65760899423503,100.10292198159473,100.56509906747692,100.07687315068658,98.54902645530164,102.45244639325975,100.72045809870434,100.00374380971455,100.66139271498062,100.41517469423782,100.32977794090341,99.97083728265696,100.37365315025593
2019-07-22,99.6097570772454,99.91425005961698,100.61476777122449,100.0384365753433,98.60766741010156,102.11747226401651,101.19093789602667,99.99867821965329,100.41037393098122,100.61966562208107,100.13269785632146,99.96875455688024,100.72858784705865
2019-07-23,100.23174070933372,100.61750983643336,100.71411998972413,100.0384365753433,99.64826159661413,102.35673532677356,101.39479925079617,99.99361288618445,99.92103043416999,101.23099162863195,100.30469702156448,99.96667187449363,101.02280548963496
2019-07-24,99.62571601522166,100.70325242577137,100.91278739921204,100.13453717835945,99.64826159661413,102.41655109246281,102.26470305872456,99.98319155990005,99.9085403053657,102.07854332708546,100.96864240773613,99.96458923549623,101.05927255070401
2019-07-25,99.56193835617462,101.56089149945736,101.01213961771167,100.38439324740673,98.78352422809293,102.57207792463828,101.48599312795787,99.98348375583721,99.05101797038286,101.16695257405554,100.71005953756848,99.96250663988717,101.34796742701644
2019-07-26,100.39125539827882,101.56089149945736,100.94590480537859,100.05765486301495,99.29649842582513,102.93097251877383,101.97275376781488,99.98375949413007,99.03863659313656,101.87093741207708,101.12786668454304,99.96042408766549,101.39728797487251
2019-07-29,100.34332049149212,101.85248540302987,101.47572406002514,100.34595667206344,99.54567501286873,102.88311698553075,101.49393249351392,99.96800097559498,99.17789556923299,101.71488398237894,100.74637212530983,99.95834157883033,101.16832410705334
2019-07-30,99.49813580018846,100.994868382479,101.31014443469468,100.05765486301495,98.59300510745132,103.40949864428795,101.68100739601856,99.9682931271384,98.47241216031516,101.05930760365425,101.71726293856842,99.95625911338077,101.31223896181238
2019-07-31,100.12010283431734,100.994868382479,101.88961758208426,100.34595667206344,99.19392009788078,103.1223800482878,100.9193730008726,99.96322933279616,97.98363913058391,101.50359339623931,100.90555155741863,99.9541766913159,101.39702500001393
2019-08-01,100.12010283431734,100.994868382479,101.88961758208426,100.34595667206344,99.19392009788078,103.1223800482878,100.34798990566969,99.96539221805509,98.05897848637464,102.30498823370185,100.40232321222236,99.95209431263483,101.48476853163378
2019-08-02,98.60508259393573,98.37049384614616,102.53533294730919,101.17239802989182,97.42050798769391,103.62483394042343,99.47025285017156,99.97131048348847,97.87447321296212,101.522823658198,100.51368006448381,99.95001197733664,101.47751586896219
2019-08-05,97.07407021965906,95.00858160997883,102.89960960413664,101.11474316687688,95.14876747082297,103.86409700318049,97.1602543371105,99.9451051402022,95.89316156599068,100.01696602494957,97.92166539009379,99.94792968542046,101.39528851039191
2019-08-06,96.4202268044762,94.95713899679407,102.88301387354201,101.11474316687688,95.45655198946228,105.03648455034418,98.04840011161123,99.9456566285864,96.31506205296164,101.5730021825686,98.95474261580426,99.94584743688534,101.14571980372351
2019-08-07,96.40424296956084,94.15092783420278,104.02545330375379,101.11474316687688,95.69104976225357,106.68739822302197,98.30352684288283,99.93552086630632,97.29959318847308,101.88639165683338,98.51337911270663,99.9437652317304,101.12468088759121
2019-08-08,98.381806843903,94.15092783420278,103.51218534668823,101.01864256386071,97.33255068339457,106.60365469071115,99.74077248989104,99.9414364439068,97.76451559820745,102.89623730560776,100.52881878811743,99.94168306995473,101.01534569178507
2019-08-09,98.477460884004,96.89537434020696,103.82675627225677,101.34537178359457,97.55242743254082,106.90273351915747,99.39634205744328,99.93128163666299,97.75326491982513,101.99450680948333,99.59608960963095,99.93960095155744,100.9827322252361
2019-08-12,98.477460884004,95.72899872591687,103.87643238150659,101.47991812661195,97.46447012824149,106.31654339644024,98.31957445013505,99.93185252739762,97.13617691867424,103.43738608775213,99.21622257101271,99.93751887653761,100.89981116965636
2019-08-13,98.60508259393573,95.72899872591687,104.17444460399187,101.59522785264184,97.74293004158035,106.84291775346821,99.35682410046304,99.92169869395234,97.70912808872441,103.93608129247689,99.75735241042065,99.93543684489434,100.92683391861313
2019-08-14,96.89863808763623,96.32933652113852,104.67115385797416,101.59522785264184,95.720366111753,107.83586530529332,97.44810711452213,99.92226952994125,95.21027891799356,105.39778421423027,98.39533826020688,99.93335485662675,101.21980695949271
2019-08-15,96.48401276250296,94.51114374321682,105.15131181437545,101.86431137401868,95.32466556781955,108.26653589756434,97.35372273965199,99.91747799137694,96.02120784431236,107.20720070484295,98.75229895916252,99.9312729117339,101.49841862892114
2019-08-16,97.95121428181378,94.51114374321682,105.4824414430273,102.21025888142417,96.33593514903166,107.94352930249647,98.09121531472849,99.91804261646104,97.00498085100332,106.89322443338266,100.70490677026869,99.9291910102149,101.44929057827403
2019-08-19,99.08348557811605,95.91766329684961,104.75394737339055,101.8450839216891,97.30324258969618,107.50089117605009,98.50917569901496,99.91860106135448,97.90202160303834,105.99549409640103,101.30700492303153,99.92710915206884,101.74713140955535
2019-08-20,98.28611130890346,96.91253903037364,105.20095830161618,101.86431137401868,97.28858028704595,107.47697071115776,98.40803425628556,99.92451490894038,97.56644866727481,106.45882427596598,101.4180821069498,99.92502733729484,101.62455597185492
2019-08-21,99.35458004921959,96.91253903037364,104.25723811940824,101.86431137401868,98.12400956186876,107.74015423880714,99.0054960990307,99.9090216296007,98.20376886822541,106.27262285554062,101.4677656269847,99.92294556589198,101.8401545362662
2019-08-22,98.90807004405264,97.30702551136075,103.47904572401485,101.86431137401868,98.12400956186876,107.82389777111796,98.67810715307662,99.92028572022573,97.63043936822051,105.68448925829293,101.45608878094032,99.92086383785936,102.10059219295071
2019-08-23,98.34989726693021,97.23843291009938,103.61153756518786,101.71054674332964,98.24126670406544,108.82880555538922,97.88513929139341,99.92084253378104,96.56011453101574,105.98149929964673,100.58563370376548,99.91878215319606,102.29984416832193
2019-08-26,98.07880279582668,95.74614136294845,103.69430886409741,102.07572170306472,97.01012037370708,109.46285121134957,98.18980490148584,99.91070382795887,97.24056903020303,106.56437908155516,100.75807073317019,99.9167005119012,102.32668783329399
2019-08-27,98.57319791390206,96.58662309751278,104.30689201215124,102.07572170306472,97.4351620345431,110.40794322993159,97.74626612118719,99.90056509988317,97.57512242563628,107.95082731017034,100.37852341213087,99.91461891397387,102.1877298128728
2019-08-28,98.381806843903,95.98629265333618,104.72081515621944,102.42167837512814,96.67302776136937,110.19260063206688,97.9345118037808,99.91182192299843,97.36944002039513,108.33246685565194,100.24430910966697,99.91253735941315,102.13678347052068
2019-08-29,99.30678622508792,95.98629265333618,104.30689201215124,102.26792290909702,96.89287974311249,110.51560722713474,98.53818738352015,99.92305006096495,98.20077630794461,108.29295326514405,100.84591342585405,99.91045584821816,102.41626947357412
2019-08-30,99.88087644528805,97.61579145614499,104.58836774806007,102.4024600874565,98.95941406928847,110.56346276037783,98.1612848093236,99.92361188224965,98.1894754249568,108.82512026736092,100.8956072906695,99.90837438038798,102.5383606429469
2019-09-02,100.16797134926638,98.42196586351109,104.42280293373416,102.28714119676869,99.04734660618468,110.38401546331005,98.1612848093236,99.92361188224965,98.1894754249568,108.82512026736092,100.8956072906695,99.90629295592173,102.78717222186376
2019-09-03,99.43438303808053,97.61579145614499,104.5552577473958,102.47933323814308,98.32918272935956,111.54444277802757,97.60247197373018,99.92202248889058,98.52377099922921,109.32238766440506,100.45492131294213,99.90421157481848,102.86783447780823
2019-09-04,99.99252261928414,97.8902353716409,104.07511460199905,102.21025888142417,99.1645954925803,110.83861382220259,98.14030021492235,99.92794963704559,99.95942966678113,109.52603946521933,100.99496855386366,99.90213023707733,103.25304898923282
2019-09-05,100.86965008347943,98.8507670227415,103.3466205323623,101.86431137401868,100.40019169970019,109.43892344472803,98.61149944365411,99.91780028136094,99.8831288329744,107.40910365115232,101.59618062680099,99.9000489426974,103.26840252127157
2019-09-06,101.69893392966483,99.9313853456035,103.47904572401485,101.90274794936197,100.64130236912594,109.46285121134957,98.51698342799503,99.94512146786107,100.06596427260943,107.8986468419595,101.5232180113248,99.89796769167776,102.96583902787917
2019-09-09,101.3640037066563,100.37734384395553,103.13137960878657,101.63367359264306,101.43991077130235,108.52972672694293,97.84031715674705,99.91359861223157,99.34201107635609,106.01014164057231,102.00168865415087,99.89588648401751,103.10479158093277
2019-09-10,100.72608603353086,99.77702075082398,102.89960960413664,101.55679127729853,101.2892258906874,107.9315690700503,97.82905775516949,99.93021412553429,99.1578955875877,104.4810277849797,102.48005415295893,99.89380531971577,103.04978377409253
2019-09-11,101.60323009568557,101.0291683586322,102.28698942857145,101.28771692057963,102.31387812538829,108.1947598994289,98.74902634376495,99.92007130870223,99.47022206356331,104.90898183801892,102.65201657894013,99.8917241987716,103.11688687164389
2019-09-12,101.49157562270979,101.56089149945736,101.82340498625797,101.40303581126744,102.47963809870552,108.85273332201078,98.80418328952796,99.92596990456136,99.41562177230296,104.0942458797772,102.82396231600683,99.88964312118412,103.04375839120306
2019-09-13,100.88559242349626,101.56089149945736,101.2273583247806,100.69190417946893,102.63031472351942,107.71623377391481,98.72629969586299,99.93188254159546,99.01575509083712,102.06813019458723,103.24081048866083,99.88756208695243,103.09532940297443
2019-09-16,100.23174070933372,101.20069029253335,101.40949665319432,100.90332367317289,101.96731610925562,108.68524625738915,98.99753431569378,99.93775810237103,97.92551388738293,103.4993064520356,103.4126220984902,99.88548109607561,103.2551681382187
2019-09-17,100.55072029334569,101.42367689275443,101.60815665717998,100.84566881015795,102.2385356850808,108.94843708676775,99.33520327381854,99.91695320810281,99.18713870462055,103.59538832466811,103.4007214395979,99.88340014855277,103.65578105251146
2019-09-18,100.71019348739227,101.76673546264685,102.10485110015772,100.84566881015795,102.46455475020217,109.43892344472803,98.99133573163114,99.92285298574069,99.41299862419844,104.17745761883133,103.3888221502259,99.88131924438301,103.5030242076696
2019-09-19,101.14077775050178,102.10978668149421,101.57505406201797,101.15317974222017,102.82620011483819,108.37420719649668,98.83871026817508,99.92338728502169,99.74666689627551,104.23877582159622,103.37692423021653,99.87923838356541,103.43978002353582
2019-09-20,101.34806966561918,101.90393536725968,101.65784757743435,101.23006205756468,102.5399137021117,108.84076578783541,98.5781505688839,99.9239511914907,99.51954010863103,105.32964995008656,103.97708254389244,99.87715756609907,103.58374633488476
2019-09-23,100.42310688239367,100.97770369231232,102.28698942857145,101.47991812661195,101.53032830431212,109.84567357210668,98.60829453180264,99.91915957228626,99.78840862977471,105.64527505041417,103.90394142295689,99.8750767919831,103.78443802319688
2019-09-24,100.63044029240957,100.63465247346493,102.28698942857145,101.51835470195525,101.53032830431212,109.88156157117442,97.59194239883428,99.9090139646818,100.10034783492341,106.39262691831452,103.28004566066117,99.8729960612166,103.73097842705499
2019-09-25,99.73737878717715,99.41679749076488,102.4856716490639,101.7297741956592,100.62622727642363,109.76193003979589,97.6139414797888,99.91491975072358,99.48518581085636,105.90237170067627,103.20698678739213,99.87091537379865,103.698916415895
2019-09-26,100.77399604337845,100.72039506280292,102.303555537157,101.51835470195525,101.53032830431212,109.16377238290326,97.46150904024738,99.9208114707602,100.1851093214767,106.51461480474495,103.80687078993643,99.86883472972836,103.76792013903268
2019-09-27,100.96534561847896,100.9090890379158,102.17110812899763,101.6144553049714,101.66594634802577,107.85978577018567,96.43731982474795,99.91602000211373,99.65627393055534,106.37883518588542,103.42790773680876,99.86675412900482,103.89531719878732
2019-09-30,101.37998754157167,100.994868382479,101.62473017126779,101.51835470195525,101.86185650674769,106.8070297544005,96.5258457386714,99.91122876323092,100.14050497109366,106.91473203009376,103.11019513482653,99.86467357162712,103.89219109337601
2019-10-01,100.10412729838167,101.74956342143511,101.59161276510125,101.19161631756346,102.4344210763996,107.71623377391481,95.95950834550234,99.91392661071993,99.74109055375901,106.85612242801312,101.64167133176272,99.86259305759438,103.83396845042674
2019-10-02,98.57319791390206,99.94854268472515,101.49226795210389,101.5375729896269,99.36049739550117,109.08002885059244,95.01761095160617,99.91448223459255,98.43676385230752,106.99819425225985,99.62967225717654,99.86051258690568,103.84002133344205
2019-10-03,98.477460884004,98.38764383422276,102.17110812899763,101.92196623703363,99.30022179209499,109.73800227317435,95.98729550716753,99.9096910694498,98.98562199674745,107.61100092623379,99.49318384454762,99.85843215956012,103.74143147213843
2019-10-04,99.38650622415179,98.6106451365339,102.303555537157,101.8450839216891,99.9481535694575,109.30733168090335,96.80715524164214,99.89955464888101,99.74974260507969,107.99988608762212,100.35665005831187,99.85635177555679,103.80944739023643
2019-10-07,100.00848155726038,99.31391226439533,102.10485110015772,101.82586563401745,101.30430098338974,108.81683802121387,96.81260656237606,99.89476419955568,99.4582545494462,107.4897747362928,100.96999468841999,99.8542714348948,103.89254712601053
2019-10-08,98.90807004405264,99.62264880499941,102.12140980324098,101.67211016798635,99.70705941163382,108.93646955259237,95.60527920412054,99.88997397994511,98.47763670510069,107.4349710287563,100.14612808354283,99.85219113757324,103.93266416766728
2019-10-09,99.38650622415179,98.86793906395322,101.85650758141998,101.69132845565801,100.03856284666624,109.42696321228186,95.9763009525351,99.90122808274718,99.69375800027545,107.17962446356914,100.4469600411558,99.8501108835912,104.0020757114215
2019-10-10,99.91277772328114,100.01715733912164,101.29360054261596,101.36459923592413,100.06868826466777,108.55365449356447,96.31409531436952,99.89643755317626,99.94066042166236,106.16457999359552,100.81021228913384,99.8480306729478,103.85024845770768
2019-10-11,100.85372434142201,101.90393536725968,100.46576165998185,101.38381752359578,102.41934598369727,107.63249024160399,97.15005526067792,99.89699247732035,100.57507833332355,105.52765242286597,100.98596524950463,99.84595050564211,103.92585851952971
2019-10-14,100.42310688239367,101.20069029253335,100.97901480604285,101.13396145454851,101.98238294615692,108.45794342707829,97.3962993204473,99.89754125738101,99.89613692011241,106.00131680222003,100.66209465131348,99.84387038167324,103.84771917074293
2019-10-15,101.10887647250873,101.9211074084714,100.83000869480021,101.03786085153237,102.96181815855184,107.99138483573958,98.0243657056157,99.89275090460315,100.31513436871712,105.5110742239743,101.46230817899902,99.84179030104029,103.99323228695316
2019-10-16,100.82181476444923,101.97256472374625,100.3498581439012,100.9417602485162,103.06729427266185,108.01531260236112,97.44862735847045,99.89329351787177,100.10989535189967,105.30231432792311,101.38818800906712,99.83971026374235,103.98036545657729
2019-10-17,100.45499156242734,102.12694402061587,100.25052814190838,100.69190417946893,102.67552349002432,107.51285871022547,97.61173263692207,99.8938554680282,100.59333344440175,104.87394076002434,101.62623115751268,99.83763026977851,104.05009314808666
2019-10-18,99.9765802792673,100.89193169879415,100.16775684299884,100.88410538550126,102.1632015005744,107.27359564746844,96.8451961541196,99.8837142155448,100.77539746900386,104.52658976759139,101.98908950241841,99.8355503191479,104.3399225852133
2019-10-21,100.16797134926638,101.32076226220472,99.50546055818381,100.86488709782961,102.67552349002432,107.09414835040063,97.29876760761618,99.89495126504282,101.00047805855151,104.2255375832597,102.2894527757089,99.83347041184959,104.30355668537099
2019-10-22,100.23174070933372,101.32076226220472,100.08494851657792,100.78800478248509,103.06729427266185,107.08218081622528,96.83120845568675,99.89550498063493,101.2039681063925,104.49481789788662,102.27768137042914,99.83139054788268,104.41275345482588
2019-10-23,100.32745284229266,101.85248540302987,100.30021165666048,100.92254196084455,103.48921524070407,107.84782553773951,96.60432551486113,99.8960500132314,101.08478746825045,104.62920253120829,102.14109513648295,99.82931072724625,104.32031123032289
2019-10-24,101.14077775050178,102.38421589490005,100.20085943816083,100.86488709782961,103.97140355635142,108.73310179063228,97.4476746753659,99.89125973196266,101.6108439609873,104.93302214238976,102.06695196591585,99.82723094993943,104.30603022720565
2019-10-25,101.76272818667127,102.14406460451231,100.0684046244992,100.80722307015675,105.08645681245999,109.3192919133495,98.08347634682238,99.88646968040064,101.14753250728661,104.84006787378814,101.80567954935083,99.82515121596131,104.1726291398829
2019-10-28,102.30491712887834,102.98457574325681,99.33990314936017,100.46127556275124,105.38781831788879,108.31439143080743,98.65277646504727,99.88167985853434,100.81337127013204,104.30036590990328,102.35537011576466,99.82307152531098,104.07471304135495
2019-10-29,102.5282177758502,103.34477695018079,99.53858536985263,100.53814871343782,105.38781831788879,108.01531260236112,98.11067236054484,99.88755727279673,100.56524526456647,104.28836309001682,102.34359112475929,99.82099187798752,104.13995861074416
2019-10-30,102.60792117695465,103.17326236732467,99.27368314803162,100.49971213809452,105.08645681245999,107.90764130342876,98.53057462246456,99.88276739877749,100.72566200693845,104.80001631864396,102.33181348927269,99.81891227399007,104.45888967399254
2019-10-31,101.98603713262284,102.41851587105326,100.03529462383491,100.84566881015795,105.04125630175614,108.673286024943,98.13975118319343,99.87318846341425,101.38243889307073,105.4291352836857,102.0102666071815,99.8168327133177,104.50175574398624
2019-11-01,102.75150182486266,103.32761961105913,99.33990314936017,101.07629742687566,105.31246762178029,108.61347025925375,98.97549895079901,99.872149257585,102.36143929391417,105.21890655527338,102.74877572491785,99.8147531959695,104.57363873392285
2019-11-04,103.40532864208609,104.3224806424931,99.12466222578443,100.86488709782961,106.24670232347138,108.61347025925375,99.23167614992533,99.87324628086628,101.90038610669414,105.09341357105899,102.86370851675679,99.81267372194458,104.72634738508751
2019-11-05,102.71959224788986,104.5626025287007,98.89286259912542,100.42282982275002,106.24670232347138,107.33341141315769,99.03964537059444,99.8689966772367,101.13856573159393,104.77550092289533,102.66687026276024,99.81059429124204,104.53627254454257
2019-11-06,103.15018480997908,104.4939878743042,98.61142389072796,99.90389939698385,106.48780473709607,107.76408200542869,98.86424832986724,99.8807680781359,100.6347217595797,105.11188371777618,103.15576251419485,99.80851490386097,104.4399486216616
2019-11-07,103.42127098210293,104.88850375947145,98.31338945173586,100.09610060301617,106.72890715072079,106.38831939457567,99.31950977517917,99.87116768613608,100.28139147133889,104.3784159118994,102.52266871124056,99.80643555980046,104.79073966496613
2019-11-08,103.05449757395925,105.11151241282764,98.26371334248604,100.0,106.53303001520307,106.73525375626507,99.64197162292442,99.87226917769011,100.2503430925477,104.30305623587597,102.51290464755375,99.80435625905963,104.69347777702606
2019-11-11,103.21396246902614,104.93997577683638,98.4789764825686,100.09610060301617,106.27685250887602,105.51501067585826,99.93944231956542,99.86801961563623,99.87562932582765,104.25465766667281,102.50314151377779,99.80227700163756,104.57873081158343
2019-11-12,103.5329088571193,105.2315696804089,98.09816333916467,99.98078171232835,106.12615937246007,105.1561160817227,99.83865421259507,99.8691073124736,99.7802029535972,104.59095798457712,103.1787999154179,99.80019778753336,104.49567307023165
2019-11-13,103.5329088571193,104.5626025287007,98.92598741079425,100.09610060301617,105.99054958454745,105.62268197479064,99.8789395789333,99.86485788495698,100.43647828929967,104.73873991047907,103.04436212962298,99.79811861674612,104.46526980700521
2019-11-14,102.75150182486266,104.5626025287007,99.43925536785981,100.3075109320622,105.62891247571247,105.95764880230465,99.86942729897342,99.86594450013109,100.25511672871872,104.87874639764165,103.09682998991154,99.79603948927493,104.49967036482444
2019-11-15,103.15018480997908,105.28301964463873,99.43925536785981,100.40361153507837,106.15629304626262,105.96960903475083,100.40727851403142,99.86703262071602,101.08300012940477,104.8302965176924,103.0870112441982,99.79396040511891,104.73115082449229
2019-11-18,103.42127098210293,105.11151241282764,99.55513666743363,100.82644135782839,106.638489617711,106.1131683327509,100.5469846080867,99.87345359003996,101.22366127873912,104.85877044350329,102.95266597561998,99.79188136427713,104.71876925083446
2019-11-19,103.51699141404158,105.40309896535511,99.60481277668345,100.57658528878113,107.01521007504935,106.36439162795412,100.57057637080086,99.86920397758936,101.1496106979776,105.04103218392223,103.44111595072599,99.78980236674872,104.65669533540738
2019-11-20,103.89971546118177,105.40309896535511,99.53858536985263,100.71112246714058,106.69875696531615,106.23279986412942,100.59419389854742,99.84362183550878,101.09706476125481,105.1656103942934,103.24440640384533,99.78772341253274,104.57555572414223
2019-11-21,103.4850901360485,104.9571110628229,99.43925536785981,100.36517495973507,106.42753738949094,106.10120810030472,100.36903355260871,99.85004548718086,100.65815020947922,104.95952821527558,103.04774545808526,99.7856445016283,104.53389864232174
2019-11-22,103.89971546118177,105.5403282741481,99.80349499717592,100.69190417946893,106.92477603043749,106.41224716119721,100.42578317758,99.86181357841947,100.64856371898307,105.38007058817176,102.7888991108651,99.78356563403452,104.5396300866485
2019-11-25,104.56954271127998,106.38080265766743,100.10149981415893,100.57658528878113,107.84396040682935,105.8978330366154,101.27827296523071,99.84689591546754,100.63897814148604,106.0580798855999,103.58848361247071,99.78148680975046,104.55259863639728
2019-11-26,105.2074354874663,106.60379660893351,100.20085943816083,100.86488709782961,108.6877693197096,106.22083963168325,101.5752435353332,99.85331857186878,100.88689154332731,106.2785830358711,103.64086428550043,99.77940802877526,104.59436127241837
2019-11-27,105.1755176115138,107.20411235102006,100.3995416586533,100.73034991947014,108.8233956192243,105.8499775033723,101.92189541358702,99.86505731396102,101.15619795721702,106.40294615237826,104.62694712572068,99.777329291108,104.53679545110657
2019-11-28,105.36692527947228,107.16981237486685,100.20085943816083,100.71112246714058,108.94393857023562,106.00549703381854,101.92189541358702,99.86505731396102,101.15619795721702,106.40294615237826,104.62694712572068,99.77525059674777,104.66750837793981
2019-11-29,105.0320199534029,107.3241843206914,100.33329203531565,100.76878649481344,108.8685878741271,106.61562222488654,101.6138859060409,99.84482807771681,100.41714483508098,105.99318248128311,104.99042543552444,99.77317194569366,104.93961228571551
