,OOS_Sharpe,InSample_lookahead_Sharpe,overfit_gap
max_sharpe,0.8076414540766804,0.813396730554843,0.005755276478162541
min_variance,0.5531906841002454,0.560041004607148,0.006850320506902596
min_cvar,0.5246320678176991,0.5921371436781557,0.06750507586045662
