,P0_AP5_benchmark,P1_swiss_bonds->CLO,P2_swiss_bonds->diversified,P3_draft_recommended,O1_opt_max_sharpe,O2_opt_min_variance,O3_opt_min_cvar,P4_dynamic_swiss_replace,P5_dynamic_broad_replace
2019-07-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-07-02,100.20564861623839,100.22223782415476,100.26373506143749,100.30253329804657,100.36717246104413,100.21398560122033,100.2307419891588,100.26373506143749,100.33516312347498
2019-07-03,100.58847996640034,100.47828628336171,100.5637151921853,100.71239796812644,100.73924961896887,100.52399838005772,100.49005001247258,100.5637151921853,100.70514567687732
2019-07-04,100.78769964292536,100.62787659416725,100.69522539483118,100.88225477966294,100.88453169458977,100.71959817666145,100.65501416345637,100.69522539483118,100.84442400820389
2019-07-05,100.31776450201917,100.21864830859799,100.25512603944344,100.3658462031414,100.3246774050648,100.2606328092841,100.22135066213973,100.25512603944344,100.33329421816246
2019-07-08,100.29345028271905,100.17694121677263,100.23218023798259,100.33030979319231,100.32874360491535,100.25812938989438,100.21780920201134,100.23218023798259,100.29376375670324
2019-07-09,100.00100187698054,99.9369251951554,99.99337426916014,100.11061338668618,100.19511715088036,100.02061382679861,99.98297729488995,99.99337426916014,100.10381460181847
2019-07-10,99.87177634114731,99.88405284374775,99.96610239992587,100.0629005151366,100.17396240065656,99.908103923307,99.91593918405484,99.96610239992587,100.10359046433723
2019-07-11,99.83493255130905,99.89874822064175,99.99159712363345,100.02788496977435,100.06321472954444,99.85008019164455,99.89750540370265,99.99159712363345,100.09326124955021
2019-07-12,99.47503200630511,99.59680011024435,99.67305063032,99.72895807912067,99.83481331594982,99.54899578387743,99.61214227288464,99.67305063032,99.82468120563013
2019-07-15,99.66639903899396,99.70639668471605,99.77663250823765,99.89217644212111,100.02163075967093,99.73331276014949,99.74837905071497,99.77663250823765,99.94664055568737
