,COVID_2020,Rate_shock_2022,SVB_bank_2023
AP5,-0.0694166306752112,-0.11863837899362051,0.00136441699209211
repl_20,-0.06913510066796857,-0.10839792766693268,-0.0022067171103182792
repl_50,-0.08168355605372468,-0.09220657445055447,-0.006710186811766716
repl_100,-0.10388662210196287,-0.0655322758375615,-0.01426458339394332
