,CAGR,Vol,Sharpe,Sharpe_rf0,Sortino,MaxDD,CVaR95,Calmar
AP5,0.03547544188446139,0.07695969285326648,0.4829051759309089,0.4922550837143138,0.6781048897024823,-0.20347661532809935,-0.05241317163680766,0.17434653032368563
repl_10,0.03625720286100864,0.0789829832282411,0.4820998063367036,0.49125804998896,0.676313558696776,-0.21059708977415725,-0.054052753578771574,0.17216383616644748
repl_20,0.03708371012443279,0.08107208038790151,0.4815970642492104,0.49055984399794283,0.6750430450934781,-0.21858051363445452,-0.055632183183387696,0.16965698134670015
repl_30,0.03775869295044454,0.08321072739312424,0.4791765681668192,0.4879457247203777,0.6707062696171304,-0.226627872029043,-0.05734981528649963,0.1666109848377593
repl_40,0.03861496951457055,0.08556754922192193,0.47798426729140475,0.4865361740454073,0.6691615993000517,-0.23462009253734106,-0.05934922621262764,0.164585091996862
repl_50,0.03950305796085973,0.08779910065057132,0.4778186087469746,0.48617204705631273,0.669125474954254,-0.2411128956077112,-0.061130356651867994,0.16383635500413424
repl_60,0.04031385019548628,0.09020782626104915,0.47612835382486907,0.48428472113632093,0.6663122036063268,-0.24904559731451414,-0.06308272530059955,0.16187337029923404
repl_70,0.040905935130531645,0.09268064632286678,0.47206012517526197,0.4800124637106675,0.6599829375234406,-0.2569383876036744,-0.065091482241342,0.15920523014112145
repl_80,0.04176189061967461,0.09522240572374278,0.47066205927521193,0.4784244629976383,0.6573008070821875,-0.2647913991264933,-0.06713979835590542,0.1577161900176545
repl_90,0.04214423758884811,0.09782403075095164,0.4645382749109953,0.4720845860917789,0.6481939557365644,-0.27156640744564975,-0.0690422536531816,0.1551894359293415
repl_100,0.04278986381008365,0.10048255919854077,0.46110823039704313,0.46846723198254153,0.6425751352823484,-0.28037959468515894,-0.07118347503078609,0.15261404403602485
