,CAGR,Vol,Sharpe,MaxDD,n_rebal,turnover
Smart band ±20%,0.0499396346030998,0.0853019623671031,0.614130334903243,-0.1848839244361501,2.0,0.12365226776792435
Smart band ±10%,0.04982657453712358,0.0851237871085338,0.6139700319924272,-0.1848839244361501,7.0,0.2503219849805983
Smart band ±30%,0.051641679231680726,0.08750016395324411,0.6193892460076896,-0.1848839244361501,1.0,0.11883163057236673
Calendar quarterly,0.04922415910812594,0.08338525260941887,0.6181165032986736,-0.18040123548240616,28.0,0.41067971036853335
Calendar annual,0.04895107977472146,0.08339638907987576,0.6149275732485199,-0.18040123548240639,8.0,0.2173189992575901
Buy & hold,0.05528601325826066,0.09136370006553118,0.6348731960482961,-0.1848839244361501,0.0,0.0
