,CAGR,Vol,Sharpe,MaxDD
AP5,0.034292671398081565,0.07797366379428666,0.4721654484494862,-0.20554207761395626
repl_10,0.03552255926710601,0.07920280978572722,0.48114710247939535,-0.2105051122554642
repl_20,0.03714917074262436,0.08108562760906335,0.49126733868922307,-0.21787917861885164
repl_30,0.03774024767625361,0.08330070296774361,0.48729637433846096,-0.225347969914234
repl_40,0.03856762926839896,0.08554191449974718,0.4861258194895711,-0.23279197095731596
repl_50,0.03941160571942115,0.08789828038327101,0.48472212683975024,-0.24021135002034388
repl_60,0.03992096487440122,0.09029020169363151,0.47973701679314573,-0.2476061392892579
repl_70,0.04071003919684335,0.09273993952044612,0.47773502121192396,-0.2549768919580565
repl_80,0.04162499545446541,0.09545643407023935,0.47610458351199664,-0.26232357622839875
repl_90,0.042365017539437666,0.09799807830714273,0.47359029235457895,-0.26964633832192486
repl_100,0.04295873160667596,0.10055701587857842,0.4698042531455196,-0.27694451723798896
