,WF_max_sharpe,WF_min_variance,WF_min_cvar,P0_AP5_benchmark_OOS,IS_max_sharpe_lookahead,IS_min_variance_lookahead,IS_min_cvar_lookahead
2021-11-15,102.8882410393492,101.73277143135631,101.90484951797785,101.8689321227503,103.20112839790723,102.16048708928052,102.31508833141822
2021-11-16,103.19933774983421,101.89260709073278,102.0987950455237,102.08553163575158,103.5368476265987,102.38383921898297,102.54561104315647
2021-11-17,103.1285805229176,102.01803055543253,102.13883413228339,102.09282164048726,103.44634752329699,102.41927494550862,102.54420702976378
2021-11-18,102.97518513373296,101.97146637715733,102.07356742514023,102.0332813144411,103.25544771116695,102.3234764053998,102.43016838744359
2021-11-19,102.8534860478552,102.10745140793713,102.18622461228499,102.14350710647038,103.08636989573283,102.38978564464615,102.48127514540903
2021-11-22,102.78046190534167,102.19775613279984,102.22239532374758,102.13873693346042,103.01886663816447,102.42870800899382,102.51275015758756
2021-11-23,101.88785658718038,101.3012478339238,101.33292744057756,101.22755747910774,102.16808477271036,101.5684594181867,101.67478673166114
2021-11-24,102.02584398626573,101.29875249627933,101.36916368832654,101.27509416552935,102.34578947212273,101.64078203539123,101.7666233323326
2021-11-25,102.35533662474465,101.65804013678188,101.74231720308889,101.661774199079,102.64928466986379,101.98621773538218,102.11156976917786
2021-11-26,100.28068450955018,100.28376576011388,100.30422651983105,100.22170878473216,100.46807741493934,100.45260559132811,100.53268198434762
2021-11-29,100.53872245176345,100.51262804575583,100.54936997772646,100.45906026797668,100.76944066387003,100.7348874741544,100.83305563123992
2021-11-30,100.22466035661238,100.223209992443,100.29516601048385,100.25120959486141,100.40889103212905,100.44312465265062,100.53058806850628
2021-12-01,100.05631693096453,100.46429718816596,100.44690645111729,100.35979556651449,100.23624011058723,100.60260418248768,100.65852411075645
2021-12-02,99.62831036006754,100.15520537423588,100.10480764253782,100.0113562750357,99.76548676401332,100.22169934120816,100.25839570121762
2021-12-03,99.64541719718318,100.16805286687452,100.15088466726631,100.0669048754969,99.79156970752662,100.26853328757855,100.32214782479085
2021-12-06,100.45085022376475,100.9257857135558,100.89783571709707,100.80875278548676,100.55582681938151,100.9678623683194,101.01758807222477
2021-12-07,101.67510217849008,101.88443010737866,101.84371376008903,101.74519739069285,101.78988997776143,101.92474390570906,101.97253859425327
2021-12-08,101.8661015114564,102.01911004633757,101.9513264799786,101.83664681892822,102.01231454060131,102.07142115093633,102.1120960435299
2021-12-09,101.81796161178593,102.14775440530246,102.05532384002353,101.93546077714615,101.91758040681205,102.12853197512193,102.15520611733942
2021-12-10,101.5875132151763,101.97136380040104,101.88003610864216,101.7632994671998,101.68437485035385,101.95183164806387,101.97685013103862
2021-12-13,101.66988877180691,102.06601648761679,101.99141238485974,101.87757081801692,101.77053373924288,102.061234853198,102.09624359282354
2021-12-14,100.73163121385159,101.18630366112909,101.11367805373152,100.9944687490816,100.84267794570137,101.19067337345416,101.23136624525584
2021-12-15,101.1632289301857,101.44989694736024,101.442852321225,101.34097556803441,101.31972660979231,101.55345034132644,101.62860504665498
2021-12-16,102.12215492232315,102.4255993893087,102.36419732331964,102.24547510040507,102.26067478380445,102.46855003353103,102.51709544143921
2021-12-17,101.35411595888645,101.68957315466523,101.6336744863606,101.51785815512272,101.46308114886938,101.70207120223802,101.75236422191377
2021-12-20,100.59822079765848,101.03829680921778,101.015846188162,100.90063953497246,100.70997789485567,101.07049957515939,101.14485827786727
2021-12-21,101.23255747691556,101.368925829258,101.39048722910111,101.27558005534266,101.41350078196751,101.50503508347484,101.61145658506614
2021-12-22,101.69961071077891,101.82203924761708,101.8482172257057,101.73396682491543,101.91344519562546,102.00020747084395,102.10949909064576
2021-12-23,102.08042899806955,101.92060759702493,102.03480848044622,101.94426234847747,102.37497289946414,102.25582145801921,102.41102050747082
