,CAGR,Vol,Sharpe,MaxDD
AP5,0.03596849893421061,0.0793442685352726,0.4857415971261042,-0.20554207761395626
repl_10,0.036671376367638064,0.08310332235466758,0.4757118908316594,-0.21050511966201202
repl_20,0.03593765170602414,0.08556459645503604,0.4562012122765091,-0.21787918477020596
repl_30,0.03519205683961091,0.08809889745020806,0.43742897923067137,-0.2253479787975775
repl_40,0.03443447932465049,0.09070106986128254,0.41940229639448734,-0.23279198234519916
repl_50,0.03366478547656082,0.09336642572427764,0.4021179951831453,-0.2402113636846318
repl_60,0.032882849813654635,0.09609066587114026,0.38556540733771194,-0.24760615500453687
repl_70,0.03208840835954252,0.09886996197216137,0.3697264733770221,-0.2549769094817883
repl_80,0.031648059040596976,0.10223375924557637,0.3567458235996122,-0.2623235953494367
repl_90,0.030762023843496022,0.105065529842868,0.3417950853674037,-0.26964635880603693
repl_100,0.02950808448440778,0.107858177508516,0.324464054636221,-0.27694453887406423
