,CAGR,Vol,Sharpe,MaxDD,CVaR95
naive_33,0.03801623954621647,0.0839635335981441,0.4785972442083834,-0.22929800808582068,-0.05799749113494424
naive_67,0.04066539196810548,0.09184986545156743,0.47295891165873877,-0.25431189069615967,-0.06442156431791367
naive_100,0.04278986381008365,0.10048255919854077,0.46110823039704313,-0.28037959468515894,-0.07118347503078609
curated_33,0.04037429965112138,0.08395067448787774,0.5057849014326636,-0.22561965801820405,-0.05724940793104194
curated_67,0.04453310109703357,0.09170645334129582,0.5141989285879393,-0.25059180250696167,-0.0634338825773575
curated_100,0.04890285235997349,0.10017453346485056,0.5208809566081684,-0.275923078784587,-0.07042403983097562
