,start,CAGR,Vol,Sharpe_vs_cash,Skew,ExKurt,MaxDD
swiss_bonds,2008-02-29,0.018059105153944044,0.03620268068080801,0.500778639838252,-0.5138916312790347,3.643472610600075,-0.1591377179733625
swiss_bonds_1_5,2008-02-29,0.01141337214876681,0.016821304731148446,0.6632306392291192,-0.854136635146758,9.26671981521633,-0.0729327587608749
swiss_equity,2008-02-29,0.06611977817682657,0.1259290868505646,0.5665143191203162,-0.40155653117682444,0.11230839077903854,-0.3795085228528664
sli,2008-02-29,0.06926166722002702,0.14452037295963038,0.5315175407490663,-0.235255669830711,0.6191597877462947,-0.42407388446027905
spi_extra,2008-02-29,0.06520602856692537,0.1444040127723751,0.5060592127942924,-0.6943592269289399,2.3936452290867174,-0.4396452435686409
world_equity,2008-02-29,0.08572895504578337,0.18726293659295135,0.5324797433114061,-0.7557053834329507,1.512996107934463,-0.4162161890309103
world_small,2008-02-29,0.08529210903740769,0.20643790451989188,0.4995822027171632,-0.649104344474228,1.3249213330973704,-0.4080913693136947
em_equity,2008-02-29,0.047171161856327304,0.19676520010722168,0.33130562803144226,-0.5702523391417815,1.7371760638362024,-0.49227094298674656
real_estate,2008-02-29,0.0608572074225997,0.07743514560520647,0.7957161972331117,-0.5131006565875439,0.8999659590662006,-0.191247911826264
world_bonds,2008-02-29,0.01069138855058549,0.03504326314625419,0.3045652521386462,-0.3278509640900128,1.035577517975098,-0.18469954632183294
world_bonds_1_5,2008-02-29,0.005988943934210456,0.017928597768702533,0.311441892353491,0.48705101985363847,4.5553585716902845,-0.08910402535932149
gold,2008-02-29,0.06113430958816313,0.16368058638157865,0.43999395667206437,0.47146755844144017,1.45892250426273,-0.38017146948138314
commodities,2008-02-29,-0.02022554889418371,0.18853358183337052,-0.01557232624139272,-0.42169584114891756,1.7612724730317049,-0.7572646716734789
infrastructure,2008-02-29,0.04002516574480253,0.1476692509114926,0.3375004779805533,-1.1785370379631739,4.548729768308361,-0.4496086679210629
convertibles,2009-05-31,0.09988087079813557,0.12581071200286129,0.827497489202034,-0.20688340320358717,1.4987766748130915,-0.24001495568761755
managed_futures,2008-02-29,-0.007918401872726855,0.13788804854794762,0.006512586364723979,0.15559704153468,1.4692494452359486,-0.4707217248393778
high_yield,2008-02-29,0.03873088409004155,0.1026774397757272,0.4148008800499695,0.36436266562349373,8.219505537337511,-0.29409235728479455
high_yield_unhedged,2008-02-29,0.0384464256837842,0.10871826482177474,0.3954345025849958,0.03973611387050492,2.799055567821664,-0.1893995539097244
em_debt,2008-02-29,0.03268283909379188,0.11498190146705674,0.3331160161497822,-0.7365714522675693,10.290691338952588,-0.2837163983937697
em_debt_unhedged,2008-02-29,0.03241329657013714,0.1132230746360671,0.3342256350608489,-0.8322765849790958,6.106282472987953,-0.23223063414520473
cash,2008-02-29,0.0006047883713877766,0.002588906095538478,,1.2543167787820404,1.3358867805008132,-0.05491065426825403
