,CAGR,Sharpe,MaxDD,n_rebal
category_AP5,0.03547544188446139,0.48290517593090937,-0.2034766153280989,36.0
category_repl_20,0.03708371012443279,0.48159706424921017,-0.21858051363445452,37.0
category_repl_100,0.04278986381008365,0.46110823039704263,-0.28037959468515883,37.0
granular_AP5,0.034901033674450854,0.4751954364512155,-0.20353028396663908,61.0
granular_repl_20,0.03645569758968037,0.47514220504394383,-0.21789986605762235,92.0
granular_repl_100,0.04267694238524533,0.46031684116113836,-0.279106957322682,96.0
