,swiss_bonds,world_bonds,gold,convertibles,clo,infrastructure,managed_futures,ils,private_credit,ann_ret,ann_vol,sharpe,cvar95
O1_opt_max_sharpe,0.034616821675115636,8.027248927117125e-16,0.07999999999999936,0.04999999999999992,0.12538317832488394,0.0,0.07999999999999977,0.05,5.102284114994886e-16,0.08346277550815398,0.09258526859029195,0.9014692809996775,0.014511965288528508
O2_opt_min_variance,0.1369195903144757,0.12250280682284302,0.0,3.5707348319355735e-18,0.14999999999999983,0.0,9.317097145176017e-17,0.010577602862681525,1.0071033513309786e-17,0.05790242858322102,0.0835226087587556,0.6932545503909192,0.013181043211520478
O3_opt_min_cvar,0.06371203643077425,0.15628796356922572,1.1627522069352863e-16,1.3341734697746233e-17,0.14999999999999994,4.529996060432627e-18,3.9178559073466575e-17,0.05,2.5633528296500037e-17,0.06020112849383382,0.08489079196136774,0.7091596992112065,0.013118375000596458
