,COVID_crash_2020,COVID_recovery_2020,Rate_shock_2022,SVB_bank_stress_2023,Full_2019_2026
P0_AP5_benchmark,-0.18488392443614976,0.19307577890054284,-0.15105160534273698,-0.002768995805391028,0.42349979814775485
P1_swiss_bonds->CLO,-0.18421230854436488,0.19571185163054095,-0.1398560214194432,-0.010645335912479403,0.43463324834932626
P2_swiss_bonds->diversified,-0.18138531455601203,0.20138775073525306,-0.14365330536415566,-0.007013510983498117,0.5140149784831218
P3_draft_recommended,-0.21105641634856054,0.23004489707537745,-0.13114273912746766,-0.011195911706562756,0.5680649975472005
O1_opt_max_sharpe,-0.19751004802836392,0.23560827414283225,-0.1028030083305278,-0.020320554650589018,0.7448976608023663
O2_opt_min_variance,-0.18444811318295018,0.19135503732580572,-0.13555853266395845,-0.008621828910017615,0.46536453100572395
O3_opt_min_cvar,-0.18187814560283921,0.19164870778830423,-0.13858734376455584,-0.009954468686176332,0.49165822701908857
P4_dynamic_swiss_replace,-0.1826161625620054,0.20636075558852607,-0.13583462649891564,-0.0023277464785609325,0.4876155119201213
P5_dynamic_broad_replace,-0.21081060298400278,0.23239205624406756,-0.11745050467409979,-0.0023277464785607105,0.5857495153160224
