,CAGR,Vol,Sharpe,Sortino,MaxDD,CVaR95
WF_max_sharpe,0.06204088534231622,0.0783470785091297,0.8076414540766804,0.9677481968980373,-0.12749864918603349,-0.012311711335488227
WF_min_variance,0.03945655711615981,0.07505920962344745,0.5531906841002454,0.6779663757954937,-0.160409326400191,-0.011852783156042865
WF_min_cvar,0.037219989473712634,0.07503456463877431,0.5246320678176991,0.6457485613016974,-0.17008598277540798,-0.011892898634517802
P0_AP5_benchmark_OOS,0.03321264275216507,0.07776657669299072,0.45909881777262795,0.5755208732530307,-0.17195861978096438,-0.012213953585126476
IS_max_sharpe_lookahead,0.06296339971073928,0.07891591846159465,0.813396730554843,0.9719272705654893,-0.1240798132024512,-0.012377718068408674
IS_min_variance_lookahead,0.039688343079698374,0.0744588246640701,0.560041004607148,0.6890533691913785,-0.15580375320813178,-0.011747803978477207
IS_min_cvar_lookahead,0.04210352276396079,0.07432561356103283,0.5921371436781557,0.72574491243043,-0.1578506482842006,-0.011720145512243443
