,swiss_bonds,swiss_bonds_1_5,world_bonds,world_bonds_1_5,cash
R1_2008-14_low_positive,0.040312391015717486,0.02543584009078792,0.04048633703926652,0.024705094463507882,0.0051450599212521375
R2_2015-22_negative,-0.007551649795240145,-0.0043312637396670794,-0.00581327277975896,-0.007413276403038793,-0.007474272385481817
R3_2022-24_hikes_plateau,0.028594292625969242,0.014588586809813453,-0.0202736399623219,-0.007585461472764843,0.01219076028290944
R4_2024-26_easing,0.024190333614816373,0.019317184696741485,-0.0026623471078635053,0.0047469845693137724,0.004452302532278241
Full_2008-26,0.017921644940309678,0.011399509858240675,0.010770574443553338,0.006088991738961491,0.0006020509488018355
