,CAGR,Vol,Sharpe,MaxDD,CVaR95
AP5 (0% replaced),0.03547544188446139,0.07695969285326648,0.4829051759309089,-0.20347661532809935,-0.05241317163680766
Gold (GLD),0.058726160211642675,0.10355576155556956,0.597557101783875,-0.20718228949457962,-0.06828140343964813
Commodities (DBC),0.023579474338322637,0.13131167165694418,0.23941350879601794,-0.3906412141149088,-0.0971477500043533
Infrastructure (IGF),0.04626999232683926,0.12818596840815094,0.4129409003579382,-0.3912822164347798,-0.09399523821820945
Managed futures (RYMFX),0.028560430679142268,0.10165520654845951,0.32188488073191845,-0.2633915712702075,-0.06335521425346388
"High yield (HYG, hedged)",0.04564800024235227,0.10332572199576014,0.4777144044629264,-0.3078435070829828,-0.07252138455253586
"EM debt (EMB, hedged)",0.04430576901066652,0.10266271778383909,0.46850296872068364,-0.2602346827379366,-0.07284072794108577
Equal-weight mix (6),0.04278986381008365,0.10048255919854077,0.46110823039704313,-0.28037959468515894,-0.07118347503078609
Curated mix,0.04890285235997349,0.10017453346485056,0.5208809566081684,-0.275923078784587,-0.07042403983097562
