,CAGR,Vol,Sharpe,MaxDD
AP5,0.0657111027895938,0.06583588057781327,1.0011374601287835,-0.0652380067860795
repl_10,0.06910835985854136,0.06564396085519973,1.0525726601112761,-0.06513910172261417
repl_20,0.07566888740904854,0.06553916393988474,1.147981940844587,-0.0632553340073968
repl_30,0.07978282154442629,0.06634469905945434,1.1926889530011786,-0.0653462260974168
repl_40,0.0839137738364053,0.06728080730960871,1.2340948965037395,-0.0674322370181929
repl_50,0.08802731270010278,0.06833564790225972,1.2718450081260622,-0.06951338384236738
repl_60,0.08985755569099929,0.07050577414146232,1.258776366316133,-0.07559843240904529
repl_70,0.09398051728269019,0.07178807180547912,1.290480755039253,-0.0776653185437739
repl_80,0.0981020672073023,0.073168988471559,1.3192118482676487,-0.07972399378553563
repl_90,0.102222083529377,0.07464177579584655,1.3451411663548556,-0.08177450696511501
repl_100,0.10634059304733712,0.07619990050287348,1.3684553240609711,-0.08381690652686291
