,CAGR,Vol,Sharpe,MaxDD
AP5,0.03137246931077842,0.08760352019473258,0.3947143959609104,-0.07078949000323398
repl_10,0.02799971670490553,0.08598422412937362,0.362449325423352,-0.07047740442252204
repl_20,0.02784952094381765,0.08690475288331426,0.3578053613593807,-0.07013773327231176
repl_30,0.027696438093971265,0.08789890446404618,0.35300922024911424,-0.06980012835483007
repl_40,0.027540452608841193,0.08896474241867539,0.34808576201848423,-0.06946460382094277
repl_50,0.027381548817847712,0.09010025448791001,0.34305919330978507,-0.06913117395313328
repl_60,0.028173492055395766,0.091523135253399,0.34750828140507534,-0.06980777228254165
repl_70,0.028042359661272442,0.09281154882451662,0.3425291424880646,-0.06966965882616827
repl_80,0.02790296812705506,0.09415866214839994,0.33746200711775437,-0.06953090670969353
repl_90,0.02775550993725817,0.09556275483219015,0.33232852739945185,-0.06939151146794409
repl_100,0.027600011557960213,0.0970221091937114,0.3271473254617197,-0.06925146859393239
