vol,ret
0.08352260876062102,0.057902692019983965
0.0840262553888242,0.06391228467203013
0.08452990197047662,0.06745491423019573
0.08503354854481256,0.07006602800502004
0.08553719512507778,0.07217754128949547
0.0860408417125547,0.07389360073434725
0.08654448823002678,0.07517807740729639
0.08704813491369102,0.07624493239140613
0.0875517814657255,0.07717044592354264
0.08805542857392443,0.07789099267008306
0.08855907465185775,0.0785482365974843
0.08906272115942256,0.07919483849216825
0.08956636794721838,0.0798320988936201
0.09007001453328715,0.08046055781488919
0.09057366091583209,0.08108070831116525
0.09107730760741704,0.08169273680575316
0.09158095405542242,0.08229619088199489
0.09208460055504175,0.08289148073118172
0.09258824704296484,0.08346545154732772
0.0930918942136103,0.08380934331586917
0.09359554058568278,0.08412833916361395
0.09409918704614174,0.08444225015761343
0.09460283386171593,0.08475180650374892
0.09510648016861391,0.08505743164378837
0.09561012712608467,0.08535933106716458
0.09611377337908478,0.08565769251741741
0.09661741976638034,0.0859526905445791
0.09712106623266835,0.08624448614970194
0.09762471336064044,0.08653322899218187
0.09812835973606454,0.08681905702526889
0.09863200642625644,0.08710210005935198
0.09913565331329126,0.08738247854687554
0.09963929979308409,0.08766030478049237
0.1001429462571158,0.08793568440544706
0.10064659253529523,0.08820871617328517
0.10115023931321028,0.08847949326576716
0.10165388618539926,0.08874810273653706
0.10215753258377222,0.08901462646741472
0.10266117903252908,0.08927914222675208
0.10316482497024476,0.08954172287670398
