,Sharpe_25,MaxDD_25,Sharpe_50,MaxDD_50,Sharpe_75,MaxDD_75,Sharpe_100,MaxDD_100
Gold (GLD),0.5383939100950172,-0.1882361877551082,0.5806180513948483,-0.1849979848386033,0.5986455305864095,-0.19578987338205867,0.597557101783875,-0.20718228949457962
Commodities (DBC),0.4138029019900325,-0.2506638000049126,0.34542741530364235,-0.29718366465625135,0.2853050566185429,-0.3457388121579795,0.23941350879601794,-0.3906412141149088
Infrastructure (IGF),0.46454883601570535,-0.2534291969724616,0.44301148310087624,-0.301844817327946,0.4254594159242925,-0.34764758631607984,0.4129409003579382,-0.3912822164347798
Managed futures (RYMFX),0.4472849985327513,-0.19300872953248693,0.4089553502643836,-0.18691534151041855,0.35872223977748097,-0.2235624684010341,0.32188488073191845,-0.2633915712702075
"High yield (HYG, hedged)",0.48923959417760315,-0.2291393586524253,0.4875718044195391,-0.25581078907773147,0.48324571282532597,-0.28271742237466124,0.4777144044629264,-0.3078435070829828
"EM debt (EMB, hedged)",0.48424439439045486,-0.21654000856067257,0.48598514493955425,-0.22654519737410406,0.48134014407637055,-0.24438797987011562,0.46850296872068364,-0.2602346827379366
