,AP5_Sharpe,repl20_Sharpe,repl100_Sharpe,AP5_MaxDD,repl100_MaxDD,partial_ge_AP5,full_deeper_DD
band_5pct,0.4749107169181986,0.48456415159057664,0.46427531482827206,-0.2027117532174182,-0.2792033251988445,True,True
band_8pct,0.4730109911689502,0.4840132238044689,0.46728398114482605,-0.2030202753874688,-0.2791693118820704,True,True
band_10pct,0.4740867038529372,0.48109711508332564,0.4633251211280427,-0.20292191720030706,-0.27818725433834723,True,True
band_15pct,0.47884462165654323,0.48974740411654416,0.4742102721498839,-0.20123676486557251,-0.27641661542072626,True,True
band_20pct,0.47216544844948627,0.4912673364499142,0.4698042245783384,-0.2005646787253812,-0.27694453887406434,True,True
cost_0bps,0.4726159078230746,0.49194007492029,0.4703781317679258,-0.20051534420263184,-0.2768176465013872,True,True
cost_5bps,0.47239069665939204,0.49160371194936625,0.4700911785006291,-0.20054001146400624,-0.2768810947124174,True,True
cost_10bps,0.47216544844948627,0.4912673364499142,0.4698042245783384,-0.2005646787253812,-0.27694453887406434,True,True
cost_25bps,0.47148948203267704,0.49025813550162,0.4689433592945258,-0.20063868050950506,-0.27713484706435976,True,True
cost_50bps,0.4703621349930049,0.4885758900810812,0.4675085745752611,-0.20076201681637862,-0.2774519464092756,True,True
hedge_base_hedged,0.47216544844948627,0.4912673364499142,0.4698042245783384,-0.2005646787253812,-0.27694453887406434,True,True
hedge_unhedged_HYEM,0.47216544844948627,0.47632595625975027,0.439520332404693,-0.2005646787253812,-0.26785804588925066,True,True
splice_full_sample,0.47216544844948627,0.4912673364499142,0.4698042245783384,-0.2005646787253812,-0.27694453887406434,True,True
splice_from_2010,0.5827784715870082,0.6113975213951524,0.6072863254870202,-0.1496569871255662,-0.16775942124855592,True,True
