,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,VaR95,CVaR95,VaR99,CVaR99,MaxDD_days,TotalReturn,DownsideVol,n_rebal,turnover
P0_AP5_benchmark,0.04993963460309914,0.08530196236710323,0.6141303349032388,0.7210836047240032,-0.18488392443614976,0.2701134495895339,-0.008190128385682366,-0.013485008859946536,-0.016716081237417912,-0.02412345436234691,660.0,0.42349979814775485,0.07264972102155015,2,0.12365226776792375
P1_swiss_bonds->CLO,0.05106911087608568,0.08444889512591297,0.6322313282743259,0.7292217394997229,-0.18421230854436488,0.27722963400019723,-0.0077769316554237855,-0.013412687153648165,-0.017788960658897263,-0.024672458427546975,621.0,0.43463324834932626,0.0732167381260244,2,0.11915657103476068
P2_swiss_bonds->diversified,0.05891023848754284,0.08413493435207986,0.7226235648039366,0.8344339054436506,-0.18138531455601203,0.3247795370410281,-0.007713320108751587,-0.01334141119501055,-0.017267870638424138,-0.024385815720303173,617.0,0.5140149784831218,0.07286123656938437,5,0.1792555232232303
P3_draft_recommended,0.06404874602439414,0.08974548292540603,0.7369034664881766,0.8304237273769132,-0.21105641634856054,0.3034674194345145,-0.008166058264969384,-0.01435668130467483,-0.018500260286580444,-0.026321824719663163,585.0,0.5680649975472005,0.07963856918959437,8,0.23496666192478732
O1_opt_max_sharpe,0.07985599426705892,0.09017806208091898,0.8973832679263669,0.9989315284385932,-0.19751004802836392,0.404313578292437,-0.007893188340311774,-0.014505031551889504,-0.019302422796562607,-0.02677192347531572,600.0,0.7448976608023663,0.08101084182609866,5,0.17878751508418783
O2_opt_min_variance,0.05414801120947477,0.08334022811434554,0.6746211261081835,0.7770001153635235,-0.18444811318295018,0.29356771546785354,-0.007928099619053552,-0.013270193586200634,-0.0166134902796512,-0.024170660285578693,617.0,0.46536453100572395,0.07235916369756061,2,0.10764506117383824
O3_opt_min_cvar,0.05673844705193476,0.08292054139137182,0.7072194383275436,0.8131579461372735,-0.18187814560283921,0.311958574593302,-0.007866451474516034,-0.013188121091192235,-0.01660893145890735,-0.024155708889551833,617.0,0.49165822701908857,0.07211762362674122,2,0.10413056301356399
P4_dynamic_swiss_replace,0.056342735307881586,0.08489036584228739,0.688341247474267,0.7963703211409675,-0.1826161625620054,0.30853093459759345,-0.007801303114145536,-0.013356310345938297,-0.017017682575422577,-0.024314102693118827,620.0,0.4876155119201213,0.07337483425890194,42,0.7960636341382763
P5_dynamic_broad_replace,0.06569686682054354,0.09065591127737191,0.7474981933004264,0.8393262117738444,-0.21081060298400278,0.31163929086398423,-0.008005267375264663,-0.014416157354611549,-0.01892923932965329,-0.026477118948881617,580.0,0.5857495153160224,0.08073753558657894,43,1.1009745087309255
