,CAGR_p5,CAGR_p25,CAGR_p50,CAGR_p75,CAGR_p95,CAGR_mean,Sharpe_p5,Sharpe_p25,Sharpe_p50,Sharpe_p75,Sharpe_p95,Sharpe_mean,MaxDD_p5,MaxDD_p25,MaxDD_p50,MaxDD_p75,MaxDD_p95,MaxDD_mean,Vol_p5,Vol_p25,Vol_p50,Vol_p75,Vol_p95,Vol_mean
P0_AP5_benchmark,-0.0021213311314996737,0.03149541565386044,0.05212553436542655,0.07353145250818954,0.10478517288630373,0.05215488408956119,0.022203497026196575,0.39758601820725276,0.6531041866426688,0.9214624448330296,1.3282634782908271,0.6612190420992707,-0.3051892002267967,-0.22038205655496826,-0.18396313236014994,-0.1352243799293776,-0.09807576690634591,-0.18507700530029209,0.07197086444337314,0.0780858702052935,0.08328134397412107,0.0894454919844287,0.09883952939621445,0.08415990458492606
P1_swiss->CLO,-0.00016536157157870623,0.03307791241621155,0.053382292364683503,0.07376217192849704,0.10517132717963933,0.05303109840439363,0.043270766550732545,0.418455288168897,0.6673050070807103,0.936588821957489,1.3457539830194842,0.6786077680817162,-0.299900568195255,-0.2154500291183835,-0.18084697588254273,-0.13192408583005802,-0.093941884148404,-0.18089834060461105,0.07033209392021145,0.07693219921890816,0.0825602224737885,0.08899381132224651,0.09905325553366717,0.08336400088439294
P2_swiss->diversified,0.006932995036204748,0.040510227726226644,0.061489307097383206,0.08279745236215102,0.11382829172312045,0.06144159249678491,0.12115867100952321,0.5015078456394771,0.7628225473326834,1.0299602651053577,1.4425070448454531,0.769654756053789,-0.28741271491912446,-0.20917849634803606,-0.17673622663650795,-0.1283799260563196,-0.09216987321413384,-0.17636682681118396,0.0711181685479749,0.07753232464104251,0.08312538226639227,0.08959262182916171,0.09961793931842541,0.08397448013054465
P3_draft_recommended,0.00664414784510208,0.04452990303372972,0.06739113402303842,0.09117889687504827,0.12521256333738373,0.06730479991529185,0.11939594067381179,0.5154609263136906,0.7848128719244186,1.061749957272546,1.4888399231994343,0.7883294814349333,-0.32470888627711775,-0.23530051366576865,-0.19641055175964256,-0.13532478478071155,-0.09569690129290459,-0.19541250585670222,0.07536137935994029,0.08252221365432305,0.0893048462069576,0.09696449322089651,0.10880698335366246,0.09029132857807766
O1_max_sharpe,0.024881542237079404,0.061275797505138396,0.08423260477551153,0.10718137896840618,0.14051511741223252,0.08386857865022973,0.2947319426137547,0.6802400602879589,0.9564292300658532,1.2300725950952833,1.6555658113803877,0.9587370712367114,-0.2926867786192016,-0.21470249975902922,-0.18312565725125773,-0.1253047369962711,-0.09192680304571522,-0.17946442915549327,0.07582515651867161,0.08291508373899699,0.08943537538411234,0.09677463654108713,0.10842449394690938,0.09037589819131074
O2_min_variance,0.003600397402581681,0.036380383280494866,0.05730039177613744,0.07792633339915761,0.10906366383997938,0.05704923705126212,0.08511224363544506,0.4679544628440249,0.7167539098619622,0.9919129242069145,1.401082669143708,0.7280962782958612,-0.2929805148590597,-0.21234437575987034,-0.17840942348753297,-0.12908181827047716,-0.09214963899535955,-0.17826546379266392,0.07030477072923307,0.07673091429141558,0.08214481590376427,0.08840051485136047,0.09812539594699506,0.08292490388640994
O3_min_cvar,0.006560101458070633,0.03870806687060979,0.0598382221153807,0.08039431806169567,0.11153470878157759,0.059509369960755475,0.11678746138452493,0.4965452143431185,0.7517741454412727,1.0235253955996415,1.433335716931813,0.7586500216376428,-0.28720192241805503,-0.2090647979317722,-0.17607310522244146,-0.1272367623207997,-0.09102567938504383,-0.17548583227052714,0.06996887412730717,0.07639716902472574,0.08189614458957713,0.08817747602448976,0.09803455557842733,0.08266756124785064
