,ICVT
2016-07-01,32.55225372314453
2016-07-05,32.55225372314453
2016-07-06,32.61065673828125
2016-07-07,32.800376892089844
2016-07-08,33.041194915771484
2016-07-11,33.26666259765625
2016-07-12,33.60307693481445
2016-07-13,33.75629806518555
2016-07-14,33.82196807861328
2016-07-15,33.697933197021484
2016-07-18,33.800079345703125
2016-07-19,33.58919906616211
2016-07-20,33.80735778808594
2016-07-21,33.95989227294922
2016-07-22,33.924137115478516
2016-07-25,33.94603729248047
2016-07-26,33.94603729248047
2016-07-27,33.79279708862305
2016-07-28,34.157630920410156
2016-07-29,34.741397857666016
2016-08-01,34.51633071899414
2016-08-02,33.995819091796875
2016-08-03,34.281005859375
2016-08-04,34.175411224365234
2016-08-05,34.175411224365234
2016-08-08,34.52073669433594
2016-08-09,34.640968322753906
2016-08-10,34.567649841308594
2016-08-11,34.413700103759766
2016-08-12,34.70182418823242
2016-08-15,34.670310974121094
2016-08-16,34.494346618652344
2016-08-17,34.494346618652344
2016-08-18,34.714290618896484
2016-08-19,34.42616271972656
2016-08-22,34.633644104003906
2016-08-23,34.736263275146484
2016-08-24,34.69228744506836
2016-08-25,34.772911071777344
2016-08-26,34.720863342285156
2016-08-29,34.90489959716797
2016-08-30,34.677616119384766
2016-08-31,34.78024673461914
2016-09-01,34.74489212036133
2016-09-02,34.82521438598633
2016-09-06,34.789100646972656
2016-09-07,34.789100646972656
2016-09-08,34.71541976928711
2016-09-09,34.26590347290039
2016-09-12,34.538543701171875
2016-09-13,34.236419677734375
2016-09-14,34.457489013671875
2016-09-15,34.457489013671875
2016-09-16,34.30274963378906
2016-09-19,34.556251525878906
2016-09-20,34.52676773071289
2016-09-21,34.74489212036133
2016-09-22,34.951202392578125
2016-09-23,34.951202392578125
2016-09-26,35.068389892578125
2016-09-27,35.068389892578125
2016-09-28,35.23860549926758
2016-09-29,34.95858383178711
2016-09-30,34.95858383178711
2016-10-03,35.20568084716797
2016-10-04,35.20568084716797
2016-10-05,35.20568084716797
2016-10-06,35.14281463623047
2016-10-07,35.367008209228516
2016-10-10,35.560829162597656
2016-10-11,35.442474365234375
2016-10-12,35.03923416137695
2016-10-13,34.65229415893555
2016-10-14,34.65229415893555
2016-10-17,34.59532165527344
2016-10-18,34.92676544189453
2016-10-19,34.824668884277344
2016-10-20,34.987464904785156
2016-10-21,34.987464904785156
2016-10-24,35.02811813354492
2016-10-25,34.957115173339844
2016-10-26,35.06881332397461
2016-10-27,34.928260803222656
2016-10-28,35.141326904296875
2016-10-31,35.0096435546875
2016-11-01,34.67319107055664
2016-11-02,34.480533599853516
2016-11-03,34.35158157348633
2016-11-04,34.525001525878906
2016-11-07,35.08818817138672
2016-11-08,34.85105514526367
2016-11-09,35.058555603027344
2016-11-10,34.92960739135742
2016-11-11,34.984432220458984
2016-11-14,34.977027893066406
2016-11-15,35.451316833496094
2016-11-16,35.35050582885742
2016-11-17,35.66621780395508
2016-11-18,35.915191650390625
2016-11-21,36.17012405395508
2016-11-22,36.051551818847656
2016-11-23,36.11082458496094
2016-11-25,36.23677444458008
2016-11-28,36.07378005981445
2016-11-29,36.27385711669922
2016-11-30,36.12563705444336
2016-12-01,35.477691650390625
2016-12-02,35.366371154785156
2016-12-05,35.544498443603516
2016-12-06,35.89333724975586
2016-12-07,36.197628021240234
2016-12-08,36.236968994140625
2016-12-09,36.219905853271484
2016-12-12,36.20505905151367
2016-12-13,36.591007232666016
2016-12-14,36.004661560058594
2016-12-15,36.53904342651367
2016-12-16,36.44257736206055
2016-12-19,36.42328643798828
2016-12-20,36.48487091064453
2016-12-21,36.827030181884766
2016-12-22,36.616058349609375
2016-12-23,36.775596618652344
2016-12-27,36.917266845703125
2016-12-28,36.57728576660156
2016-12-29,36.57728576660156
2016-12-30,36.246280670166016
2017-01-03,36.54446792602539
2017-01-04,36.58771514892578
2017-01-05,36.82777404785156
2017-01-06,36.912757873535156
2017-01-09,37.111061096191406
2017-01-10,37.237823486328125
2017-01-11,37.26763916015625
2017-01-12,37.16322708129883
2017-01-13,37.28177261352539
2017-01-17,37.0626335144043
2017-01-18,37.05887985229492
2017-01-19,37.05887985229492
2017-01-20,37.04249954223633
2017-01-23,37.0357666015625
2017-01-24,37.257179260253906
2017-01-25,37.495765686035156
2017-01-26,37.55092239379883
