,FLOT
2016-07-01,37.85995101928711
2016-07-05,37.85995101928711
2016-07-06,37.86743927001953
2016-07-07,37.86743927001953
2016-07-08,37.874916076660156
2016-07-11,37.882423400878906
2016-07-12,37.85247802734375
2016-07-13,37.874916076660156
2016-07-14,37.874916076660156
2016-07-15,37.86743927001953
2016-07-18,37.85995101928711
2016-07-19,37.85247802734375
2016-07-20,37.882423400878906
2016-07-21,37.88990020751953
2016-07-22,37.85995101928711
2016-07-25,37.874916076660156
2016-07-26,37.86743927001953
2016-07-27,37.874916076660156
2016-07-28,37.88990020751953
2016-07-29,37.88990020751953
2016-08-01,37.881656646728516
2016-08-02,37.874183654785156
2016-08-03,37.881656646728516
2016-08-04,37.881656646728516
2016-08-05,37.88914108276367
2016-08-08,37.91163635253906
2016-08-09,37.91911315917969
2016-08-10,37.90413284301758
2016-08-11,37.92662048339844
2016-08-12,37.941593170166016
2016-08-15,37.92662048339844
2016-08-16,37.956546783447266
2016-08-17,37.941593170166016
2016-08-18,37.94908905029297
2016-08-19,37.96405792236328
2016-08-22,37.97905349731445
2016-08-23,38.009010314941406
2016-08-24,37.98652267456055
2016-08-25,37.9940299987793
2016-08-26,37.98652267456055
2016-08-29,38.061431884765625
2016-08-30,37.98652267456055
2016-08-31,38.009010314941406
2016-09-01,37.98127746582031
2016-09-02,38.02625274658203
2016-09-06,38.02625274658203
2016-09-07,38.00374984741211
2016-09-08,38.011253356933594
2016-09-09,38.03373336791992
2016-09-12,38.02625274658203
2016-09-13,38.07126235961914
2016-09-14,38.03373336791992
2016-09-15,38.06373596191406
2016-09-16,38.07126235961914
2016-09-19,38.05622863769531
2016-09-20,38.093727111816406
2016-09-21,38.093727111816406
2016-09-22,38.04873275756836
2016-09-23,38.03373336791992
2016-09-26,38.06373596191406
2016-09-27,38.06373596191406
2016-09-28,38.0787353515625
2016-09-29,38.05622863769531
2016-09-30,38.04873275756836
2016-10-03,38.037479400634766
2016-10-04,38.044986724853516
2016-10-05,38.037479400634766
2016-10-06,38.037479400634766
2016-10-07,38.02998352050781
2016-10-10,38.02246856689453
2016-10-11,38.02998352050781
2016-10-12,38.044986724853516
2016-10-13,38.044986724853516
2016-10-14,38.037479400634766
2016-10-17,38.044986724853516
2016-10-18,38.037479400634766
2016-10-19,38.067481994628906
2016-10-20,38.02246856689453
2016-10-21,38.037479400634766
2016-10-24,38.05999755859375
2016-10-25,38.02998352050781
2016-10-26,38.067481994628906
2016-10-27,38.052490234375
2016-10-28,38.097511291503906
2016-10-31,38.097511291503906
2016-11-01,38.07422637939453
2016-11-02,38.066715240478516
2016-11-03,38.09675598144531
2016-11-04,38.11177444458008
2016-11-07,38.08174133300781
2016-11-08,38.08924865722656
2016-11-09,38.08174133300781
2016-11-10,38.09675598144531
2016-11-11,38.126792907714844
2016-11-14,38.11177444458008
2016-11-15,38.11929702758789
2016-11-16,38.134307861328125
2016-11-17,38.134307861328125
2016-11-18,38.1418342590332
2016-11-21,38.14934539794922
2016-11-22,38.1418342590332
2016-11-23,38.17940139770508
2016-11-25,38.1418342590332
2016-11-28,38.17940139770508
2016-11-29,38.1868896484375
2016-11-30,38.11929702758789
2016-12-01,38.16365051269531
2016-12-02,38.14861297607422
2016-12-05,38.156158447265625
2016-12-06,38.16365051269531
2016-12-07,38.141090393066406
2016-12-08,38.14861297607422
2016-12-09,38.126041412353516
2016-12-12,38.141090393066406
2016-12-13,38.133575439453125
2016-12-14,38.111026763916016
2016-12-15,38.141090393066406
2016-12-16,38.156158447265625
2016-12-19,38.141090393066406
2016-12-20,38.17118453979492
2016-12-21,38.17118453979492
2016-12-22,38.18094253540039
2016-12-23,38.1884765625
2016-12-27,38.1884765625
2016-12-28,38.21110534667969
2016-12-29,38.21110534667969
2016-12-30,38.19601821899414
2017-01-03,38.218605041503906
2017-01-04,38.19601821899414
2017-01-05,38.21110534667969
2017-01-06,38.21110534667969
2017-01-09,38.218605041503906
2017-01-10,38.21110534667969
2017-01-11,38.18094253540039
2017-01-12,38.218605041503906
2017-01-13,38.173439025878906
2017-01-17,38.1884765625
2017-01-18,38.203548431396484
2017-01-19,38.22614288330078
2017-01-20,38.22614288330078
2017-01-23,38.22614288330078
2017-01-24,38.218605041503906
2017-01-25,38.218605041503906
2017-01-26,38.241172790527344
2017-01-27,38.241172790527344
2017-01-30,38.218605041503906
2017-01-31,38.23368453979492
2017-02-01,38.25025939941406
2017-02-02,38.25025939941406
2017-02-03,38.25025939941406
2017-02-06,38.25025939941406
2017-02-07,38.27286911010742
2017-02-08,38.265323638916016
2017-02-09,38.265323638916016
2017-02-10,38.27286911010742
2017-02-13,38.257781982421875
2017-02-14,38.257781982421875
2017-02-15,38.287940979003906
2017-02-16,38.295475006103516
2017-02-17,38.287940979003906
2017-02-21,38.2803955078125
2017-02-22,38.303001403808594
2017-02-23,38.31052780151367
2017-02-24,38.31052780151367
2017-02-27,38.31052780151367
2017-02-28,38.31806945800781
2017-03-01,38.34071350097656
2017-03-02,38.33317947387695
2017-03-03,38.348243713378906
2017-03-06,38.348243713378906
2017-03-07,38.363372802734375
2017-03-08,38.35580825805664
2017-03-09,38.35580825805664
2017-03-10,38.35580825805664
2017-03-13,38.35580825805664
2017-03-14,38.363372802734375
2017-03-15,38.35580825805664
2017-03-16,38.363372802734375
2017-03-17,38.363372802734375
2017-03-20,38.363372802734375
2017-03-21,38.37090301513672
2017-03-22,38.37090301513672
2017-03-23,38.363372802734375
2017-03-24,38.3935432434082
2017-03-27,38.378440856933594
2017-03-28,38.37090301513672
2017-03-29,38.378440856933594
2017-03-30,38.37090301513672
2017-03-31,38.378440856933594
2017-04-03,38.336891174316406
2017-04-04,38.35200119018555
2017-04-05,38.389766693115234
2017-04-06,38.359527587890625
2017-04-07,38.389766693115234
2017-04-10,38.374664306640625
2017-04-11,38.39733123779297
2017-04-12,38.39733123779297
2017-04-13,38.40489196777344
2017-04-17,38.40489196777344
2017-04-18,38.40489196777344
2017-04-19,38.39733123779297
2017-04-20,38.40489196777344
2017-04-21,38.40489196777344
2017-04-24,38.419979095458984
2017-04-25,38.427513122558594
2017-04-26,38.43509292602539
2017-04-27,38.419979095458984
2017-04-28,38.41242599487305
2017-05-01,38.432838439941406
2017-05-02,38.42527770996094
2017-05-03,38.39502716064453
2017-05-04,38.410160064697266
2017-05-05,38.417728424072266
2017-05-08,38.417728424072266
2017-05-09,38.432838439941406
2017-05-10,38.432838439941406
2017-05-11,38.44797897338867
2017-05-12,38.42527770996094
2017-05-15,38.44797897338867
2017-05-16,38.4404182434082
2017-05-17,38.4404182434082
2017-05-18,38.455528259277344
2017-05-19,38.455528259277344
2017-05-22,38.455528259277344
2017-05-23,38.46309280395508
2017-05-24,38.455528259277344
2017-05-25,38.470638275146484
2017-05-26,38.46309280395508
2017-05-30,38.470638275146484
2017-05-31,38.470638275146484
2017-06-01,38.48655319213867
2017-06-02,38.478981018066406
2017-06-05,38.478981018066406
2017-06-06,38.50169372558594
2017-06-07,38.48655319213867
2017-06-08,38.50169372558594
2017-06-09,38.50169372558594
2017-06-12,38.50169372558594
2017-06-13,38.48655319213867
2017-06-14,38.509254455566406
2017-06-15,38.51679992675781
2017-06-16,38.50169372558594
2017-06-19,38.51679992675781
2017-06-20,38.524383544921875
2017-06-21,38.51679992675781
2017-06-22,38.524383544921875
2017-06-23,38.524383544921875
2017-06-26,38.51679992675781
2017-06-27,38.524383544921875
2017-06-28,38.53196334838867
2017-06-29,38.53953170776367
2017-06-30,38.5471076965332
2017-07-03,38.51753234863281
2017-07-05,38.54785919189453
2017-07-06,38.54785919189453
2017-07-07,38.555450439453125
2017-07-10,38.563018798828125
2017-07-11,38.570579528808594
2017-07-12,38.555450439453125
2017-07-13,38.563018798828125
2017-07-14,38.578182220458984
2017-07-17,38.578182220458984
2017-07-18,38.585758209228516
2017-07-19,38.578182220458984
2017-07-20,38.585758209228516
2017-07-21,38.585758209228516
2017-07-24,38.593360900878906
2017-07-25,38.593360900878906
2017-07-26,38.585758209228516
2017-07-27,38.593360900878906
2017-07-28,38.60091018676758
2017-07-31,38.60849380493164
2017-08-01,38.59712219238281
2017-08-02,38.604705810546875
2017-08-03,38.581939697265625
2017-08-04,38.604705810546875
2017-08-07,38.61227035522461
2017-08-08,38.619876861572266
2017-08-09,38.627471923828125
2017-08-10,38.619876861572266
2017-08-11,38.627471923828125
2017-08-14,38.604705810546875
2017-08-15,38.627471923828125
2017-08-16,38.627471923828125
2017-08-17,38.627471923828125
2017-08-18,38.627471923828125
2017-08-21,38.619876861572266
2017-08-22,38.619876861572266
2017-08-23,38.627471923828125
2017-08-24,38.604705810546875
2017-08-25,38.61227035522461
2017-08-28,38.619876861572266
2017-08-29,38.627471923828125
2017-08-30,38.627471923828125
2017-08-31,38.619876861572266
2017-09-01,38.61759948730469
2017-09-05,38.655601501464844
2017-09-06,38.64801788330078
2017-09-07,38.640380859375
2017-09-08,38.640380859375
2017-09-11,38.6328010559082
2017-09-12,38.61759948730469
2017-09-13,38.6328010559082
2017-09-14,38.64801788330078
2017-09-15,38.640380859375
2017-09-18,38.64801788330078
2017-09-19,38.655601501464844
2017-09-20,38.66317367553711
2017-09-21,38.670799255371094
2017-09-22,38.655601501464844
2017-09-25,38.66317367553711
2017-09-26,38.67839813232422
2017-09-27,38.68598556518555
2017-09-28,38.6935920715332
2017-09-29,38.70878601074219
2017-10-02,38.706512451171875
2017-10-03,38.706512451171875
2017-10-04,38.729312896728516
2017-10-05,38.72169494628906
2017-10-06,38.706512451171875
2017-10-09,38.72169494628906
2017-10-10,38.71411895751953
2017-10-11,38.71411895751953
2017-10-12,38.71411895751953
2017-10-13,38.74454116821289
2017-10-16,38.729312896728516
2017-10-17,38.752159118652344
2017-10-18,38.72169494628906
2017-10-19,38.73693084716797
2017-10-20,38.74454116821289
2017-10-23,38.73693084716797
2017-10-24,38.75975799560547
2017-10-25,38.74454116821289
2017-10-26,38.76737976074219
2017-10-27,38.77499008178711
2017-10-30,38.77499008178711
2017-10-31,38.76737976074219
2017-11-01,38.76737594604492
2017-11-02,38.77497863769531
2017-11-03,38.77497863769531
2017-11-06,38.782596588134766
2017-11-07,38.782596588134766
2017-11-08,38.77497863769531
2017-11-09,38.77497863769531
2017-11-10,38.790225982666016
2017-11-13,38.80546951293945
2017-11-14,38.80546951293945
2017-11-15,38.797847747802734
2017-11-16,38.80546951293945
2017-11-17,38.80546951293945
2017-11-20,38.813079833984375
2017-11-21,38.820716857910156
2017-11-22,38.828330993652344
2017-11-24,38.813079833984375
2017-11-27,38.813079833984375
2017-11-28,38.828330993652344
2017-11-29,38.84356689453125
2017-11-30,38.828330993652344
2017-12-01,38.82754135131836
2017-12-04,38.842811584472656
2017-12-05,38.82754135131836
2017-12-06,38.83517074584961
