,DBMF
2019-05-08,16.458236694335938
2019-05-09,16.467451095581055
2019-05-10,16.470081329345703
2019-05-13,16.349632263183594
2019-05-14,16.443096160888672
2019-05-15,16.648452758789062
2019-05-16,16.82748794555664
2019-05-17,16.880138397216797
2019-05-20,16.771535873413086
2019-05-21,16.78996467590332
2019-05-22,16.80049705505371
2019-05-23,16.708351135253906
2019-05-24,16.743234634399414
2019-05-28,16.847885131835938
2019-05-29,16.780094146728516
2019-05-30,16.814979553222656
2019-05-31,16.682682037353516
2019-06-03,16.624099731445312
2019-06-04,16.65174674987793
2019-06-05,16.714933395385742
2019-06-06,16.69189453125
2019-06-07,16.820903778076172
2019-06-10,16.73599624633789
2019-06-11,16.70176887512207
2019-06-12,16.774826049804688
2019-06-13,16.87421417236328
2019-06-14,16.953861236572266
2019-06-17,16.948593139648438
2019-06-18,17.077594757080078
2019-06-19,17.138151168823242
2019-06-20,17.10853385925293
2019-06-21,16.83340835571289
2019-06-24,16.876848220825195
2019-06-25,16.903175354003906
2019-06-26,16.72480583190918
2019-06-27,16.826946258544922
2019-06-28,16.906024932861328
2019-07-01,16.9752140045166
2019-07-02,17.13007354736328
2019-07-03,17.286909103393555
2019-07-05,17.116239547729492
2019-07-08,17.079994201660156
2019-07-09,17.060882568359375
2019-07-10,17.034523010253906
2019-07-11,16.89218521118164
2019-07-12,16.93567657470703
2019-07-15,17.024635314941406
2019-07-16,17.018051147460938
2019-07-17,17.08395004272461
2019-07-18,17.08395004272461
2019-07-19,17.073402404785156
2019-07-22,17.110305786132812
2019-07-23,17.216400146484375
2019-07-24,17.362695693969727
2019-07-25,17.20981216430664
2019-07-26,17.33172035217285
2019-07-29,17.307336807250977
2019-07-30,17.19795036315918
2019-07-31,17.275707244873047
2019-08-01,17.414091110229492
2019-08-02,17.282957077026367
2019-08-05,17.028593063354492
2019-08-06,17.29547882080078
2019-08-07,17.350831985473633
2019-08-08,17.52480125427246
2019-08-09,17.373239517211914
2019-08-12,17.62101173400879
2019-08-13,17.70799446105957
2019-08-14,17.959068298339844
2019-08-15,18.269447326660156
2019-08-16,18.21804428100586
2019-08-19,18.067138671875
