,BIZD
2016-07-01,6.070013046264648
2016-07-05,6.01844596862793
2016-07-06,6.040547847747803
2016-07-07,6.055278778076172
2016-07-08,6.058962345123291
2016-07-11,6.103161334991455
2016-07-12,6.139995098114014
2016-07-13,6.117894649505615
2016-07-14,6.117894649505615
2016-07-15,6.169459342956543
2016-07-18,6.213662147521973
2016-07-19,6.235759735107422
2016-07-20,6.257857799530029
2016-07-21,6.250490665435791
2016-07-22,6.276274681091309
2016-07-25,6.324156761169434
2016-07-26,6.327841281890869
2016-07-27,6.31679105758667
2016-07-28,6.313107013702393
2016-07-29,6.31679105758667
2016-08-01,6.324156761169434
2016-08-02,6.291009902954102
2016-08-03,6.353623867034912
2016-08-04,6.372039318084717
2016-08-05,6.368356227874756
2016-08-08,6.368356227874756
2016-08-09,6.405190467834473
2016-08-10,6.408873558044434
2016-08-11,6.416237831115723
2016-08-12,6.434654235839844
2016-08-15,6.445704460144043
2016-08-16,6.445704460144043
2016-08-17,6.453071594238281
2016-08-18,6.504637241363525
2016-08-19,6.50095272064209
2016-08-22,6.523054122924805
2016-08-23,6.537785530090332
2016-08-24,6.545152187347412
2016-08-25,6.523054122924805
2016-08-26,6.556201934814453
2016-08-29,6.618817329406738
2016-08-30,6.666701316833496
2016-08-31,6.637231349945068
2016-09-01,6.622500896453857
2016-09-02,6.6556501388549805
2016-09-06,6.6556501388549805
2016-09-07,6.6556501388549805
2016-09-08,6.644600868225098
2016-09-09,6.523054122924805
2016-09-12,6.486220359802246
2016-09-13,6.405190467834473
2016-09-14,6.397823333740234
2016-09-15,6.4604363441467285
2016-09-16,6.442018508911133
2016-09-19,6.471487045288086
2016-09-20,6.504637241363525
2016-09-21,6.515686988830566
2016-09-22,6.537785530090332
2016-09-23,6.541469573974609
2016-09-26,6.515686988830566
2016-09-27,6.530420303344727
2016-09-28,6.548835277557373
2016-09-29,6.548835277557373
2016-09-30,6.556201934814453
2016-10-03,6.556955814361572
2016-10-04,6.549438953399658
2016-10-05,6.575739860534668
2016-10-06,6.541923999786377
2016-10-07,6.526893138885498
2016-10-10,6.538166046142578
2016-10-11,6.519379138946533
2016-10-12,6.52313756942749
2016-10-13,6.534409046173096
2016-10-14,6.474287986755371
2016-10-17,6.4404683113098145
2016-10-18,6.459258079528809
2016-10-19,6.496833324432373
2016-10-20,6.463014602661133
2016-10-21,6.489316940307617
2016-10-24,6.545681476593018
2016-10-25,6.5682268142700195
2016-10-26,6.526893138885498
2016-10-27,6.511863708496094
2016-10-28,6.515620231628418
2016-10-31,6.474287986755371
2016-11-01,6.395378589630127
2016-11-02,6.331501007080078
2016-11-03,6.256348609924316
2016-11-04,6.248833656311035
2016-11-07,6.316470146179199
2016-11-08,6.346529483795166
2016-11-09,6.444228649139404
2016-11-10,6.52313756942749
2016-11-11,6.560711860656738
2016-11-14,6.541923999786377
2016-11-15,6.556955814361572
2016-11-16,6.553197860717773
2016-11-17,6.598287105560303
2016-11-18,6.647138595581055
2016-11-21,6.658409595489502
2016-11-22,6.65089225769043
2016-11-23,6.662167072296143
2016-11-25,6.763619899749756
2016-11-28,6.718529224395752
2016-11-29,6.733559608459473
2016-11-30,6.714772701263428
2016-12-01,6.718529224395752
2016-12-02,6.684712886810303
2016-12-05,6.726042747497559
2016-12-06,6.741073131561279
2016-12-07,6.763619899749756
2016-12-08,6.812468528747559
2016-12-09,6.846286773681641
2016-12-12,6.842527389526367
2016-12-13,6.831257343292236
2016-12-14,6.782408237457275
2016-12-15,6.7448320388793945
2016-12-16,6.789923667907715
2016-12-19,6.823741912841797
2016-12-20,6.8538031578063965
2016-12-21,6.880104064941406
2016-12-22,6.872589588165283
2016-12-23,6.865074634552002
2016-12-27,6.8913774490356445
2016-12-28,6.85112190246582
2016-12-29,6.920131683349609
2016-12-30,6.904797077178955
2017-01-03,6.958467960357666
2017-01-04,7.0811543464660645
2017-01-05,7.06581974029541
2017-01-06,7.061982154846191
2017-01-09,7.019813060760498
2017-01-10,7.0274810791015625
2017-01-11,7.0581512451171875
2017-01-12,7.023643970489502
2017-01-13,7.054317474365234
2017-01-17,7.054317474365234
2017-01-18,7.0581512451171875
2017-01-19,7.012145519256592
2017-01-20,7.0274810791015625
2017-01-23,7.0389814376831055
2017-01-24,7.054317474365234
2017-01-25,7.069652557373047
2017-01-26,7.0581512451171875
2017-01-27,7.061982154846191
2017-01-30,7.031311511993408
2017-01-31,6.973807334899902
2017-02-01,7.050483226776123
2017-02-02,7.035144805908203
2017-02-03,7.12716007232666
2017-02-06,7.180834770202637
2017-02-07,7.177000045776367
2017-02-08,7.180834770202637
2017-02-09,7.161666393280029
2017-02-10,7.215338706970215
2017-02-13,7.24600887298584
2017-02-14,7.288182735443115
2017-02-15,7.32268762588501
2017-02-16,7.292016983032227
2017-02-17,7.334187030792236
2017-02-21,7.341855525970459
2017-02-22,7.357192039489746
2017-02-23,7.368693828582764
2017-02-24,7.361026763916016
2017-02-27,7.345692157745361
2017-02-28,7.31502103805542
2017-03-01,7.341855525970459
2017-03-02,7.292016983032227
2017-03-03,7.272847652435303
2017-03-06,7.249842643737793
2017-03-07,7.253679275512695
2017-03-08,7.215338706970215
2017-03-09,7.138665199279785
2017-03-10,7.20767068862915
2017-03-13,7.230677127838135
2017-03-14,7.203836917877197
2017-03-15,7.249842643737793
2017-03-16,7.249842643737793
2017-03-17,7.318851947784424
2017-03-20,7.345692157745361
2017-03-21,7.226842880249023
2017-03-22,7.203836917877197
2017-03-23,7.230677127838135
2017-03-24,7.249842643737793
2017-03-27,7.253679275512695
2017-03-28,7.292016983032227
2017-03-29,7.334187030792236
2017-03-30,7.368693828582764
2017-03-31,7.387863636016846
2017-04-03,7.390594482421875
2017-04-04,7.386692047119141
2017-04-05,7.335939407348633
2017-04-06,7.386692047119141
2017-04-07,7.3710761070251465
2017-04-10,7.3710761070251465
2017-04-11,7.382787227630615
2017-04-12,7.390594482421875
2017-04-13,7.343746185302734
2017-04-17,7.390594482421875
2017-04-18,7.398404598236084
2017-04-19,7.382787227630615
2017-04-20,7.382787227630615
2017-04-21,7.429636478424072
2017-04-24,7.449158668518066
2017-04-25,7.464776992797852
2017-04-26,7.4882001876831055
2017-04-27,7.484297752380371
2017-04-28,7.480392932891846
2017-05-01,7.484297752380371
2017-05-02,7.503818035125732
2017-05-03,7.3710761070251465
2017-05-04,7.246143341064453
2017-05-05,7.281279563903809
2017-05-08,7.2383341789245605
2017-05-09,7.183674335479736
2017-05-10,7.08216667175293
2017-05-11,7.086070537567139
2017-05-12,7.039222717285156
2017-05-15,7.105593681335449
2017-05-16,7.121209621429443
2017-05-17,7.066548824310303
2017-05-18,7.062645435333252
2017-05-19,7.035317420959473
2017-05-22,7.089974403381348
2017-05-23,7.144633769989014
2017-05-24,7.152440071105957
2017-05-25,7.132920742034912
2017-05-26,7.140728950500488
2017-05-30,7.070454120635986
2017-05-31,7.027507781982422
2017-06-01,7.121209621429443
2017-06-02,7.105593681335449
2017-06-05,7.097784042358398
2017-06-06,7.062645435333252
2017-06-07,7.058740615844727
2017-06-08,7.062645435333252
2017-06-09,7.089974403381348
2017-06-12,7.117305278778076
2017-06-13,7.117305278778076
2017-06-14,7.086070537567139
2017-06-15,7.089974403381348
2017-06-16,7.097784042358398
2017-06-19,7.117305278778076
2017-06-20,7.062645435333252
2017-06-21,7.062645435333252
2017-06-22,7.050933837890625
2017-06-23,7.109495639801025
2017-06-26,7.144633769989014
2017-06-27,7.105593681335449
2017-06-28,7.105593681335449
2017-06-29,7.152440071105957
2017-06-30,7.168059825897217
2017-07-03,7.191964626312256
2017-07-05,7.183998107910156
2017-07-06,7.172042369842529
2017-07-07,7.152120590209961
2017-07-10,7.1800127029418945
2017-07-11,7.156105041503906
2017-07-12,7.176029205322266
2017-07-13,7.176029205322266
2017-07-14,7.1999335289001465
2017-07-17,7.219855308532715
2017-07-18,7.22782564163208
2017-07-19,7.211886405944824
2017-07-20,7.215872287750244
2017-07-21,7.22782564163208
2017-07-24,7.195950508117676
2017-07-25,7.223841190338135
2017-07-26,7.22782564163208
2017-07-27,7.235793590545654
2017-07-28,7.22782564163208
2017-07-31,7.211886405944824
2017-08-01,7.211886405944824
2017-08-02,7.215872287750244
2017-08-03,7.172042369842529
2017-08-04,7.16008996963501
2017-08-07,7.1800127029418945
2017-08-08,7.152120590209961
2017-08-09,7.148136138916016
2017-08-10,7.072432041168213
2017-08-11,7.028600692749023
2017-08-14,7.104306697845459
2017-08-15,7.104306697845459
2017-08-16,7.052509307861328
2017-08-17,6.968836784362793
2017-08-18,6.917038440704346
2017-08-21,6.8732099533081055
2017-08-22,6.92500638961792
2017-08-23,6.9528961181640625
2017-08-24,6.94492769241333
2017-08-25,6.932973861694336
2017-08-28,6.917038440704346
2017-08-29,6.905082702636719
2017-08-30,6.893130302429199
2017-08-31,6.833363056182861
2017-09-01,6.917038440704346
2017-09-05,6.853287696838379
2017-09-06,6.833363056182861
2017-09-07,6.837347984313965
2017-09-08,6.841332912445068
2017-09-11,6.861252784729004
2017-09-12,6.829379558563232
2017-09-13,6.865238189697266
2017-09-14,6.881176948547363
2017-09-15,6.881176948547363
2017-09-18,6.86922550201416
2017-09-19,6.897115230560303
2017-09-20,6.932973861694336
2017-09-21,6.905082702636719
2017-09-22,6.94492769241333
2017-09-25,6.9369587898254395
2017-09-26,6.960865497589111
2017-09-27,6.972819805145264
2017-09-28,7.056493759155273
2017-09-29,7.116259574890137
2017-10-02,7.154516220092773
2017-10-03,7.121956825256348
2017-10-04,7.174863815307617
2017-10-05,7.174863815307617
2017-10-06,7.138237476348877
2017-10-09,7.121956825256348
2017-10-10,7.121956825256348
2017-10-11,7.0894012451171875
2017-10-12,7.0771918296813965
2017-10-13,7.064984321594238
2017-10-16,7.064984321594238
2017-10-17,7.016146183013916
2017-10-18,7.020216941833496
2017-10-19,7.040565013885498
2017-10-20,7.064984321594238
2017-10-23,7.052772045135498
2017-10-24,7.060913562774658
2017-10-25,6.959169864654541
2017-10-26,6.926612854003906
2017-10-27,6.951030254364014
2017-10-30,6.926612854003906
2017-10-31,6.9184746742248535
2017-11-01,6.869636535644531
2017-11-02,6.739408493041992
2017-11-03,6.84929084777832
2017-11-06,6.857429027557373
2017-11-07,6.91033411026001
2017-11-08,6.971380710601807
2017-11-09,6.877777576446533
2017-11-10,6.926612854003906
2017-11-13,6.930683135986328
2017-11-14,6.95510196685791
2017-11-15,6.9428911209106445
2017-11-16,6.971380710601807
2017-11-17,7.040565013885498
2017-11-20,7.060913562774658
2017-11-21,7.024288177490234
2017-11-22,7.032423496246338
2017-11-24,7.044633388519287
2017-11-27,6.999866008758545
2017-11-28,7.003937244415283
2017-11-29,7.0120768547058105
2017-11-30,6.971380710601807
2017-12-01,6.963239669799805
2017-12-04,6.9428911209106445
2017-12-05,6.922544002532959
2017-12-06,6.9428911209106445
2017-12-07,6.9428911209106445
2017-12-08,6.9754486083984375
2017-12-11,6.983588218688965
2017-12-12,6.959169864654541
2017-12-13,6.934752941131592
2017-12-14,6.922544002532959
2017-12-15,6.930683135986328
2017-12-18,6.946962833404541
2017-12-19,6.902195453643799
2017-12-20,6.9062628746032715
2017-12-21,6.959169864654541
2017-12-22,6.963239669799805
2017-12-26,6.9428911209106445
2017-12-27,6.9533257484436035
2017-12-28,6.94915246963501
2017-12-29,6.928282737731934
2018-01-02,6.978367328643799
2018-01-03,6.961672782897949
2018-01-04,6.932458877563477
2018-01-05,6.936631202697754
2018-01-08,6.982541084289551
2018-01-09,6.903243541717529
2018-01-10,6.878200054168701
2018-01-11,6.915762901306152
2018-01-12,6.974193096160889
2018-01-16,6.94915246963501
2018-01-17,6.94915246963501
2018-01-18,6.936631202697754
2018-01-19,6.961672782897949
2018-01-22,6.986713886260986
2018-01-23,7.011756420135498
2018-01-24,7.011756420135498
2018-01-25,6.982541084289551
2018-01-26,6.990889072418213
2018-01-29,6.94915246963501
2018-01-30,6.890720367431641
2018-01-31,6.823942184448242
2018-02-01,6.865678787231445
2018-02-02,6.773858070373535
2018-02-05,6.569349765777588
2018-02-06,6.640300750732422
2018-02-07,6.682037353515625
2018-02-08,6.64447546005249
2018-02-09,6.623604774475098
2018-02-12,6.669517517089844
2018-02-13,6.75299072265625
2018-02-14,6.748815536499023
2018-02-15,6.702905654907227
2018-02-16,6.769683361053467
2018-02-20,6.707081317901611
2018-02-21,6.677865028381348
2018-02-22,6.648646354675293
2018-02-23,6.656996726989746
2018-02-26,6.686212062835693
2018-02-27,6.640300750732422
