,JAAA
2020-10-19,39.43210220336914
2020-10-20,39.40058517456055
2020-10-21,39.40058517456055
2020-10-22,39.3927001953125
2020-10-23,39.38088607788086
2020-10-26,39.37300109863281
2020-10-27,39.35327911376953
2020-10-28,39.29812240600586
2020-10-29,39.282344818115234
2020-10-30,39.270511627197266
2020-11-02,39.24687957763672
2020-11-03,39.294185638427734
2020-11-04,39.294185638427734
2020-11-05,39.38481903076172
2020-11-06,39.41634750366211
2020-11-09,39.443939208984375
2020-11-10,39.55113220214844
2020-11-11,39.56215286254883
2020-11-12,39.570045471191406
2020-11-13,39.58976364135742
2020-11-16,39.60948181152344
2020-11-17,39.61342239379883
2020-11-18,39.62919235229492
2020-11-19,39.625244140625
2020-11-20,39.58187484741211
2020-11-23,39.62128829956055
2020-11-24,39.633121490478516
2020-11-25,39.58583450317383
2020-11-27,39.625244140625
2020-11-30,39.647308349609375
2020-12-01,39.65361785888672
2020-12-02,39.60468292236328
2020-12-03,39.58102035522461
2020-12-04,39.562068939208984
2020-12-07,39.69544219970703
2020-12-08,39.636268615722656
2020-12-09,39.62046432495117
2020-12-10,39.699398040771484
2020-12-11,39.69544219970703
2020-12-14,39.719139099121094
2020-12-15,39.719139099121094
2020-12-16,39.70333480834961
2020-12-17,39.73966979980469
2020-12-18,39.738861083984375
2020-12-21,39.790164947509766
2020-12-22,39.715171813964844
2020-12-23,39.73096466064453
2020-12-24,39.738861083984375
2020-12-28,39.73096466064453
2020-12-29,39.738861083984375
2020-12-30,39.77522277832031
2020-12-31,39.74359893798828
2021-01-04,39.751502990722656
2021-01-05,39.74755096435547
2021-01-06,39.751502990722656
2021-01-07,39.767311096191406
2021-01-08,39.77522277832031
2021-01-11,39.78311538696289
2021-01-12,39.79103088378906
2021-01-13,39.8510627746582
2021-01-14,39.850276947021484
2021-01-15,39.83054733276367
2021-01-19,39.84633255004883
2021-01-20,39.854244232177734
2021-01-21,39.9095573425293
2021-01-22,39.870025634765625
2021-01-25,39.83449172973633
2021-01-26,39.8091926574707
2021-01-27,39.74359893798828
2021-01-28,39.79655075073242
2021-01-29,39.82658386230469
2021-02-01,39.839237213134766
2021-02-02,39.872474670410156
2021-02-03,39.872474670410156
2021-02-04,39.872474670410156
2021-02-05,39.91279602050781
2021-02-08,39.872474670410156
2021-02-09,39.90806198120117
2021-02-10,39.89620590209961
2021-02-11,39.872474670410156
2021-02-12,39.93574905395508
2021-02-16,39.94050979614258
2021-02-17,39.95157241821289
2021-02-18,39.95949172973633
2021-02-19,39.94367980957031
2021-02-22,39.96897506713867
2021-02-23,39.96424102783203
2021-02-24,39.980064392089844
2021-02-25,39.979270935058594
2021-02-26,39.99191665649414
2021-03-01,39.97688674926758
2021-03-02,40.012516021728516
2021-03-03,39.96104049682617
2021-03-04,39.980857849121094
2021-03-05,39.95708084106445
2021-03-08,39.97688674926758
2021-03-09,39.97688674926758
2021-03-10,39.96501159667969
2021-03-11,39.969749450683594
2021-03-12,39.96894836425781
2021-03-15,39.98479080200195
2021-03-16,39.96894836425781
2021-03-17,39.980857849121094
2021-03-18,40.004581451416016
2021-03-19,39.99191665649414
2021-03-22,40.03151321411133
2021-03-23,40.032310485839844
2021-03-24,40.024410247802734
2021-03-25,40.012516021728516
2021-03-26,39.996673583984375
2021-03-29,40.01647186279297
2021-03-30,39.98874282836914
2021-03-31,40.000640869140625
2021-04-01,40.01015853881836
2021-04-05,40.002235412597656
2021-04-06,40.002235412597656
2021-04-07,40.015689849853516
2021-04-08,40.04977798461914
2021-04-09,39.97050476074219
2021-04-12,40.006187438964844
2021-04-13,40.01015853881836
2021-04-14,40.045806884765625
2021-04-15,40.06565475463867
2021-04-16,40.057716369628906
2021-04-19,40.06565475463867
2021-04-20,40.05057144165039
2021-04-21,40.01411819458008
2021-04-22,40.053749084472656
2021-04-23,40.02678680419922
2021-04-26,40.033931732177734
2021-04-27,40.006187438964844
2021-04-28,40.006187438964844
2021-04-29,40.007774353027344
2021-04-30,40.01015853881836
2021-05-03,40.042667388916016
2021-05-04,40.022850036621094
2021-05-05,39.99904251098633
2021-05-06,39.98712921142578
2021-05-07,40.018890380859375
2021-05-10,40.03871536254883
2021-05-11,40.022850036621094
2021-05-12,40.022850036621094
2021-05-13,40.01173782348633
2021-05-14,40.02680206298828
2021-05-17,40.02601623535156
2021-05-18,40.018890380859375
2021-05-19,40.02680206298828
2021-05-20,40.018104553222656
2021-05-21,40.00777053833008
2021-05-24,39.92365264892578
2021-05-25,39.87762451171875
2021-05-26,40.00300216674805
2021-05-27,40.00300216674805
2021-05-28,40.03871536254883
2021-06-01,40.067317962646484
2021-06-02,40.0355339050293
2021-06-03,40.0355339050293
2021-06-04,40.050636291503906
2021-06-07,40.07524108886719
2021-06-08,40.103065490722656
2021-06-09,40.055397033691406
2021-06-10,40.095115661621094
2021-06-11,40.15073013305664
2021-06-14,40.067317962646484
2021-06-15,40.043479919433594
2021-06-16,40.08319091796875
2021-06-17,40.08319091796875
2021-06-18,40.080013275146484
2021-06-21,40.05141830444336
2021-06-22,40.128475189208984
2021-06-23,40.08240509033203
2021-06-24,40.103065490722656
2021-06-25,40.103065490722656
2021-06-28,40.089561462402344
2021-06-29,40.08319091796875
2021-06-30,40.0792121887207
2021-07-01,40.091156005859375
2021-07-02,40.06333923339844
2021-07-06,40.091156005859375
2021-07-07,40.09513854980469
2021-07-08,40.130924224853516
2021-07-09,40.130924224853516
2021-07-12,40.072872161865234
2021-07-13,40.14761734008789
2021-07-14,40.15874099731445
2021-07-15,40.18656921386719
2021-07-16,40.154781341552734
2021-07-19,40.130924224853516
2021-07-20,40.17464828491211
2021-07-21,40.14681625366211
2021-07-22,40.14284896850586
2021-07-23,40.1269416809082
2021-07-26,40.11897277832031
2021-07-27,40.14681625366211
2021-07-28,40.14681625366211
2021-07-29,40.14601135253906
2021-07-30,40.15874099731445
2021-08-02,40.14281463623047
2021-08-03,40.158748626708984
2021-08-04,40.15077590942383
2021-08-05,40.17465591430664
2021-08-06,40.18659591674805
2021-08-09,40.16670608520508
2021-08-10,40.195335388183594
2021-08-11,40.190574645996094
2021-08-12,40.1826171875
2021-08-13,40.190574645996094
2021-08-16,40.18659591674805
2021-08-17,40.17862319946289
2021-08-18,40.17862319946289
2021-08-19,40.206485748291016
2021-08-20,40.1826171875
2021-08-23,40.190574645996094
2021-08-24,40.194557189941406
2021-08-25,40.206485748291016
2021-08-26,40.19853210449219
2021-08-27,40.2025146484375
2021-08-30,40.23831558227539
2021-08-31,40.2025146484375
2021-09-01,40.21445083618164
2021-09-02,40.210472106933594
2021-09-03,40.210472106933594
2021-09-07,40.20649719238281
2021-09-08,40.2025146484375
2021-09-09,40.226402282714844
2021-09-10,40.21445083618164
2021-09-13,40.210472106933594
2021-09-14,40.20649719238281
2021-09-15,40.20649719238281
2021-09-16,40.20649719238281
2021-09-17,40.20649719238281
2021-09-20,40.210472106933594
2021-09-21,40.210472106933594
2021-09-22,40.22161865234375
2021-09-23,40.21445083618164
2021-09-24,40.227996826171875
2021-09-27,40.226402282714844
2021-09-28,40.23038864135742
2021-09-29,40.226402282714844
2021-09-30,40.23436737060547
2021-10-01,40.251895904541016
2021-10-04,40.251895904541016
2021-10-05,40.230384826660156
2021-10-06,40.235958099365234
2021-10-07,40.235958099365234
2021-10-08,40.2479248046875
2021-10-11,40.23116683959961
2021-10-12,40.224002838134766
2021-10-13,40.224002838134766
2021-10-14,40.22000503540039
2021-10-15,40.22000503540039
2021-10-18,40.23197555541992
2021-10-19,40.224002838134766
2021-10-20,40.2479248046875
2021-10-21,40.2479248046875
2021-10-22,40.2463264465332
2021-10-25,40.251895904541016
2021-10-26,40.2479248046875
2021-10-27,40.26784896850586
2021-10-28,40.27899932861328
2021-10-29,40.271827697753906
2021-11-01,40.269432067871094
2021-11-02,40.284603118896484
2021-11-03,40.286991119384766
2021-11-04,40.27660369873047
2021-11-05,40.280601501464844
2021-11-08,40.308536529541016
2021-11-09,40.29655838012695
2021-11-10,40.2885856628418
2021-11-11,40.29257583618164
2021-11-12,40.300559997558594
2021-11-15,40.284603118896484
2021-11-16,40.284603118896484
2021-11-17,40.284603118896484
2021-11-18,40.2885856628418
2021-11-19,40.29338073730469
2021-11-22,40.29257583618164
2021-11-23,40.29257583618164
2021-11-24,40.308536529541016
2021-11-26,40.270240783691406
2021-11-29,40.300559997558594
2021-11-30,40.2885856628418
2021-12-01,40.30137634277344
2021-12-02,40.28139877319336
2021-12-03,40.29338455200195
2021-12-06,40.268619537353516
2021-12-07,40.25343322753906
2021-12-08,40.30057144165039
2021-12-09,40.26542663574219
2021-12-10,40.29338455200195
2021-12-13,40.30137634277344
2021-12-14,40.30936050415039
2021-12-15,40.30137634277344
2021-12-16,40.30856704711914
2021-12-17,40.30137634277344
2021-12-20,40.30057144165039
2021-12-21,40.30936050415039
2021-12-22,40.29338455200195
2021-12-23,40.30537796020508
2021-12-27,40.29259490966797
2021-12-28,40.30938720703125
2021-12-29,40.30537796020508
2021-12-30,40.30537796020508
2021-12-31,40.29738998413086
2022-01-03,40.29658126831055
2022-01-04,40.31178283691406
2022-01-05,40.30537796020508
2022-01-06,40.310176849365234
2022-01-07,40.30137634277344
2022-01-10,40.310176849365234
2022-01-11,40.321380615234375
2022-01-12,40.34538650512695
2022-01-13,40.353370666503906
2022-01-14,40.34538650512695
2022-01-18,40.34538650512695
2022-01-19,40.34538650512695
2022-01-20,40.38536834716797
2022-01-21,40.36936950683594
2022-01-24,40.38456726074219
2022-01-25,40.36537170410156
2022-01-26,40.38536834716797
2022-01-27,40.40135955810547
2022-01-28,40.393367767333984
2022-01-31,40.37736892700195
2022-02-01,40.38776779174805
2022-02-02,40.40380096435547
2022-02-03,40.39338684082031
2022-02-04,40.408592224121094
2022-02-07,40.371768951416016
2022-02-08,40.38776779174805
2022-02-09,40.40380096435547
2022-02-10,40.371768951416016
2022-02-11,40.38776779174805
2022-02-14,40.363746643066406
2022-02-15,40.35575866699219
2022-02-16,40.351741790771484
2022-02-17,40.34775161743164
2022-02-18,40.33174133300781
2022-02-22,40.32373046875
2022-02-23,40.33973693847656
2022-02-24,40.33174133300781
2022-02-25,40.29170227050781
2022-02-28,40.2837028503418
2022-03-01,40.181976318359375
2022-03-02,40.17396926879883
2022-03-03,40.18998336791992
2022-03-04,40.26207733154297
2022-03-07,40.260467529296875
2022-03-08,40.20600128173828
2022-03-09,40.20600128173828
2022-03-10,40.230037689208984
2022-03-11,40.09383773803711
2022-03-14,40.085845947265625
2022-03-15,40.053802490234375
2022-03-16,40.01375198364258
2022-03-17,40.029762268066406
2022-03-18,40.06181716918945
2022-03-21,40.02174758911133
2022-03-22,40.03376007080078
2022-03-23,40.03777313232422
2022-03-24,40.04576873779297
2022-03-25,40.09383773803711
2022-03-28,40.09383773803711
2022-03-29,40.10987091064453
2022-03-30,40.10987091064453
2022-03-31,40.218017578125
2022-04-01,40.153079986572266
2022-04-04,40.20118713378906
2022-04-05,40.189170837402344
2022-04-06,40.245277404785156
2022-04-07,40.341487884521484
2022-04-08,40.33749771118164
2022-04-11,40.31742858886719
2022-04-12,40.32946014404297
2022-04-13,40.257301330566406
2022-04-14,40.2813606262207
2022-04-18,40.257301330566406
2022-04-19,40.26531982421875
2022-04-20,40.2733268737793
2022-04-21,40.23727035522461
2022-04-22,40.24927520751953
2022-04-25,40.24927520751953
2022-04-26,40.257301330566406
2022-04-27,40.217227935791016
2022-04-28,40.217227935791016
2022-04-29,40.33749771118164
2022-05-02,40.146419525146484
2022-05-03,40.05812454223633
2022-05-04,39.993896484375
2022-05-05,39.97782897949219
2022-05-06,40.01799011230469
2022-05-09,40.146419525146484
2022-05-10,39.993896484375
2022-05-11,39.969825744628906
2022-05-12,39.97782897949219
2022-05-13,39.7289924621582
2022-05-16,39.53633117675781
2022-05-17,39.57646179199219
2022-05-18,39.53633117675781
2022-05-19,39.6246337890625
2022-05-20,39.53633117675781
2022-05-23,39.56842803955078
2022-05-24,39.616600036621094
2022-05-25,39.57646179199219
2022-05-26,39.60858154296875
2022-05-27,39.648712158203125
2022-05-31,39.62220001220703
2022-06-01,39.67127227783203
2022-06-02,39.655174255371094
2022-06-03,39.719512939453125
2022-06-06,39.7355842590332
2022-06-07,39.7275505065918
2022-06-08,39.80794143676758
2022-06-09,39.791873931884766
2022-06-10,39.81597900390625
2022-06-13,39.58281326293945
2022-06-14,39.45417022705078
2022-06-15,39.639102935791016
2022-06-16,39.56673812866211
2022-06-17,39.470252990722656
2022-06-21,39.438079833984375
2022-06-22,39.470252990722656
2022-06-23,39.446128845214844
2022-06-24,39.397891998291016
2022-06-27,39.40995407104492
2022-06-28,39.44050598144531
2022-06-29,39.47829818725586
2022-06-30,39.43085479736328
2022-07-01,39.46952438354492
2022-07-05,39.44535446166992
2022-07-06,39.380916595458984
2022-07-07,39.46147155761719
2022-07-08,39.485618591308594
2022-07-11,39.49367904663086
2022-07-12,39.46952438354492
2022-07-13,39.453407287597656
2022-07-14,39.413124084472656
2022-07-15,39.411537170410156
2022-07-18,39.444541931152344
2022-07-19,39.35676574707031
2022-07-20,39.453407287597656
2022-07-21,39.42924118041992
2022-07-22,39.5661735534668
2022-07-25,39.53395462036133
2022-07-26,39.558128356933594
2022-07-27,39.5822868347168
2022-07-28,39.646724700927734
2022-07-29,39.69505310058594
2022-08-01,39.699092864990234
2022-08-02,39.465003967285156
2022-08-03,39.59415054321289
2022-08-04,39.47307586669922
2022-08-05,39.70718002319336
2022-08-08,39.71524429321289
2022-08-09,39.71524429321289
2022-08-10,39.79595947265625
2022-08-11,39.83633041381836
2022-08-12,39.88475036621094
2022-08-15,39.88475036621094
2022-08-16,39.933189392089844
2022-08-17,39.88475036621094
2022-08-18,39.925113677978516
2022-08-19,39.933189392089844
2022-08-22,39.957393646240234
2022-08-23,39.98969268798828
2022-08-24,39.98969268798828
2022-08-25,39.98969268798828
2022-08-26,39.91704559326172
2022-08-29,39.90897750854492
2022-08-30,39.85247039794922
2022-08-31,39.828250885009766
2022-09-01,39.86306381225586
2022-09-02,39.90760040283203
