,IGF
2016-07-01,30.07275390625
2016-07-05,29.88707160949707
2016-07-06,29.92420196533203
2016-07-07,29.716238021850586
2016-07-08,30.043041229248047
2016-07-11,30.228717803955078
2016-07-12,30.340131759643555
2016-07-13,30.347551345825195
2016-07-14,30.436689376831055
2016-07-15,30.392114639282227
2016-07-18,30.510953903198242
2016-07-19,30.4515380859375
2016-07-20,30.56294059753418
2016-07-21,30.533235549926758
2016-07-22,30.61492919921875
2016-07-25,30.518375396728516
2016-07-26,30.49610137939453
2016-07-27,30.340131759643555
2016-07-28,30.48124885559082
2016-07-29,30.837751388549805
2016-08-01,30.540660858154297
2016-08-02,30.540660858154297
2016-08-03,30.533235549926758
2016-08-04,30.629791259765625
2016-08-05,30.622365951538086
2016-08-08,30.718917846679688
2016-08-09,30.718917846679688
2016-08-10,30.696632385253906
2016-08-11,30.912015914916992
2016-08-12,30.971431732177734
2016-08-15,30.93430519104004
2016-08-16,30.770902633666992
2016-08-17,30.86745834350586
2016-08-18,31.21653938293457
2016-08-19,30.93430519104004
2016-08-22,30.88973617553711
2016-08-23,30.941726684570312
2016-08-24,30.860029220581055
2016-08-25,30.770902633666992
2016-08-26,30.406972885131836
2016-08-29,30.56294059753418
2016-08-30,30.384689331054688
2016-08-31,30.302988052368164
2016-09-01,30.3995418548584
2016-09-02,30.711483001708984
2016-09-06,31.179397583007812
2016-09-07,31.261104583740234
2016-09-08,31.461639404296875
2016-09-09,30.585220336914062
2016-09-12,30.78575325012207
2016-09-13,30.087600708007812
2016-09-14,30.124740600585938
2016-09-15,30.280704498291016
2016-09-16,30.228717803955078
2016-09-19,30.42182159423828
2016-09-20,30.436689376831055
2016-09-21,30.95657730102539
2016-09-22,31.201683044433594
2016-09-23,30.941726684570312
2016-09-26,30.763477325439453
2016-09-27,30.763477325439453
2016-09-28,31.067995071411133
2016-09-29,30.726333618164062
2016-09-30,30.86745834350586
2016-10-03,30.600074768066406
2016-10-04,30.13959312438965
2016-10-05,30.080175399780273
2016-10-06,29.894487380981445
2016-10-07,29.671680450439453
2016-10-10,29.872209548950195
2016-10-11,29.463714599609375
2016-10-12,29.56026268005371
2016-10-13,29.716238021850586
2016-10-14,29.65682601928711
2016-10-17,29.664247512817383
2016-10-18,29.95391082763672
2016-10-19,30.109882354736328
2016-10-20,30.11731719970703
2016-10-21,30.02818489074707
2016-10-24,30.043041229248047
2016-10-25,30.043041229248047
2016-10-26,29.95391082763672
2016-10-27,29.82765007019043
2016-10-28,29.723669052124023
2016-10-31,29.872209548950195
2016-11-01,29.70138168334961
2016-11-02,29.38202667236328
2016-11-03,29.270601272583008
2016-11-04,29.129491806030273
2016-11-07,29.664247512817383
2016-11-08,29.81279945373535
2016-11-09,29.344879150390625
2016-11-10,28.53531837463379
2016-11-11,28.149106979370117
2016-11-14,27.881717681884766
2016-11-15,28.357065200805664
2016-11-16,28.163949966430664
2016-11-17,28.34963607788086
2016-11-18,28.19366455078125
2016-11-21,28.498180389404297
2016-11-22,28.602163314819336
2016-11-23,28.483325958251953
2016-11-25,28.683853149414062
2016-11-28,28.79526710510254
2016-11-29,28.86954116821289
2016-11-30,28.654150009155273
2016-12-01,28.334781646728516
2016-12-02,28.505611419677734
2016-12-05,28.646724700927734
2016-12-06,28.802692413330078
2016-12-07,29.09235191345215
2016-12-08,28.958669662475586
2016-12-09,29.10721206665039
2016-12-12,29.25575828552246
2016-12-13,29.627111434936523
2016-12-14,29.114639282226562
2016-12-15,29.203760147094727
2016-12-16,29.39687728881836
2016-12-19,29.471141815185547
2016-12-20,29.322599411010742
2016-12-21,29.367158889770508
2016-12-22,29.31747055053711
2016-12-23,29.452985763549805
2016-12-27,29.4981632232666
2016-12-28,29.20453643798828
2016-12-29,29.46805191040039
2016-12-30,29.392763137817383
2017-01-03,29.50569725036621
2017-01-04,29.671321868896484
2017-01-05,29.84450340270996
2017-01-06,29.814374923706055
2017-01-09,29.739086151123047
2017-01-10,29.55086898803711
2017-01-11,29.799327850341797
2017-01-12,29.882137298583984
2017-01-13,29.95743179321289
2017-01-17,30.062835693359375
2017-01-18,29.92731475830078
2017-01-19,29.769201278686523
2017-01-20,29.942365646362305
2017-01-23,29.972484588623047
2017-01-24,30.16823387145996
2017-01-25,30.153181076049805
2017-01-26,30.032712936401367
2017-01-27,29.836965560913086
2017-01-30,29.62615203857422
2017-01-31,29.90471839904785
2017-02-01,29.686386108398438
2017-02-02,29.88966941833496
2017-02-03,30.07789421081543
2017-02-06,29.897193908691406
2017-02-07,29.949892044067383
2017-02-08,30.198347091674805
2017-02-09,30.24351692199707
2017-02-10,30.394102096557617
2017-02-13,30.484455108642578
2017-02-14,30.37151527404785
2017-02-15,30.37151527404785
2017-02-16,30.446807861328125
2017-02-17,30.36398696899414
2017-02-21,30.52962875366211
2017-02-22,30.507030487060547
2017-02-23,30.59738540649414
2017-02-24,30.612438201904297
2017-02-27,30.702781677246094
2017-02-28,30.725379943847656
2017-03-01,30.7329044342041
2017-03-02,30.68020248413086
2017-03-03,30.82324981689453
2017-03-06,30.763015747070312
2017-03-07,30.763015747070312
2017-03-08,30.461856842041016
2017-03-09,30.52962875366211
2017-03-10,30.702781677246094
2017-03-13,30.7329044342041
2017-03-14,30.49197769165039
2017-03-15,31.04159164428711
2017-03-16,31.101818084716797
2017-03-17,31.28251075744629
2017-03-20,31.18463706970215
2017-03-21,31.327695846557617
2017-03-22,31.47073745727539
2017-03-23,31.47073745727539
2017-03-24,31.643901824951172
2017-03-27,31.726713180541992
2017-03-28,31.84718132019043
2017-03-29,31.862241744995117
2017-03-30,31.689075469970703
2017-03-31,31.862241744995117
2017-04-03,31.84718132019043
2017-04-04,31.869760513305664
2017-04-05,31.869760513305664
2017-04-06,32.02033615112305
2017-04-07,31.89988136291504
2017-04-10,31.94505500793457
2017-04-11,31.990232467651367
2017-04-12,32.1031608581543
2017-04-13,32.035404205322266
2017-04-17,32.185977935791016
2017-04-18,32.110687255859375
2017-04-19,31.839656829833984
2017-04-20,31.892356872558594
2017-04-21,31.817068099975586
2017-04-24,32.35161209106445
2017-04-25,32.38926315307617
2017-04-26,32.21609115600586
2017-04-27,32.32902908325195
2017-04-28,32.32902908325195
2017-05-01,32.313968658447266
2017-05-02,32.64523696899414
2017-05-03,32.46455001831055
2017-05-04,32.47207260131836
2017-05-05,32.856048583984375
2017-05-08,32.71300506591797
2017-05-09,32.4796028137207
2017-05-10,32.705467224121094
2017-05-11,32.53983688354492
2017-05-12,32.667823791503906
2017-05-15,32.8485221862793
2017-05-16,32.90122604370117
2017-05-17,32.62265396118164
2017-05-18,32.667823791503906
2017-05-19,33.044273376464844
2017-05-22,33.2701301574707
2017-05-23,33.37554168701172
2017-05-24,33.51105880737305
2017-05-25,33.56375503540039
2017-05-26,33.48847198486328
2017-05-30,33.44330596923828
2017-05-31,33.62399673461914
2017-06-01,33.90256118774414
2017-06-02,34.083251953125
2017-06-05,34.060665130615234
2017-06-06,34.02302169799805
2017-06-07,33.97785568237305
2017-06-08,33.87245178222656
2017-06-09,33.84233474731445
2017-06-12,33.684226989746094
2017-06-13,33.80467987060547
2017-06-14,33.91009521484375
2017-06-15,33.78962707519531
2017-06-16,34.12843322753906
2017-06-19,34.12843322753906
2017-06-20,33.681480407714844
2017-06-21,33.673824310302734
2017-06-22,33.658531188964844
2017-06-23,33.75035858154297
2017-06-26,33.926387786865234
2017-06-27,33.71210479736328
2017-06-28,33.903419494628906
2017-06-29,33.582000732421875
2017-06-30,33.65087890625
2017-07-03,33.49781036376953
2017-07-05,33.314125061035156
2017-07-06,33.22229766845703
2017-07-07,33.36771011352539
2017-07-10,33.314125061035156
2017-07-11,33.329437255859375
2017-07-12,33.62025451660156
2017-07-13,33.704444885253906
2017-07-14,34.06414031982422
2017-07-17,34.033531188964844
2017-07-18,34.232513427734375
2017-07-19,34.439151763916016
2017-07-20,34.58455276489258
2017-07-21,34.607521057128906
2017-07-24,34.469764709472656
2017-07-25,34.408538818359375
2017-07-26,34.62281799316406
2017-07-27,34.4774169921875
2017-07-28,34.439151763916016
2017-07-31,34.645782470703125
2017-08-01,34.80649948120117
2017-08-02,34.89067840576172
2017-08-03,34.95191192626953
2017-08-04,34.93660354614258
2017-08-07,34.95191192626953
2017-08-08,34.75292205810547
2017-08-09,34.66874313354492
2017-08-10,34.35496139526367
2017-08-11,34.362613677978516
2017-08-14,34.530982971191406
2017-08-15,34.500370025634766
2017-08-16,34.745269775390625
2017-08-17,34.44679641723633
2017-08-18,34.66109085083008
2017-08-21,34.69934844970703
2017-08-22,34.89067840576172
2017-08-23,34.97487258911133
2017-08-24,34.99782943725586
2017-08-25,35.158546447753906
2017-08-28,35.08966827392578
2017-08-29,34.99782943725586
2017-08-30,34.86006546020508
2017-08-31,35.2274169921875
2017-09-01,35.31160354614258
2017-09-05,35.13558578491211
2017-09-06,35.21211242675781
2017-09-07,35.4570198059082
2017-09-08,35.46466064453125
2017-09-11,35.73252487182617
2017-09-12,35.472312927246094
2017-09-13,35.2274169921875
2017-09-14,35.30394744873047
2017-09-15,35.31160354614258
2017-09-18,35.235076904296875
2017-09-19,35.30394744873047
2017-09-20,35.1279296875
2017-09-21,34.92129135131836
2017-09-22,34.87537384033203
2017-09-25,34.87537384033203
2017-09-26,34.722312927246094
2017-09-27,34.4544563293457
2017-09-28,34.53864669799805
2017-09-29,34.63813018798828
2017-10-02,34.5539436340332
2017-10-03,34.56159973144531
2017-10-04,34.4544563293457
2017-10-05,34.53864669799805
2017-10-06,34.46210479736328
2017-10-09,34.50802230834961
2017-10-10,34.745269775390625
2017-10-11,34.97487258911133
2017-10-12,35.07435607910156
2017-10-13,35.051395416259766
2017-10-16,34.96721267700195
2017-10-17,35.043739318847656
2017-10-18,35.051395416259766
2017-10-19,35.158546447753906
2017-10-20,35.03609085083008
2017-10-23,34.87537384033203
2017-10-24,34.93660354614258
2017-10-25,34.58455276489258
2017-10-26,34.57689666748047
2017-10-27,34.68404006958008
2017-10-30,34.814151763916016
2017-10-31,34.8524169921875
2017-11-01,34.8524169921875
2017-11-02,34.8524169921875
2017-11-03,34.87537384033203
2017-11-06,35.00548553466797
2017-11-07,35.03609085083008
2017-11-08,35.11262512207031
2017-11-09,35.09731674194336
2017-11-10,34.95191192626953
2017-11-13,34.821807861328125
2017-11-14,34.883026123046875
2017-11-15,34.66874313354492
2017-11-16,34.70700454711914
2017-11-17,34.57689666748047
2017-11-20,34.52333068847656
2017-11-21,34.6763916015625
2017-11-22,34.92894744873047
2017-11-24,35.17384719848633
2017-11-27,35.08201217651367
2017-11-28,35.235076904296875
2017-11-29,35.21211242675781
2017-11-30,35.441707611083984
2017-12-01,35.47998046875
2017-12-04,35.38813781738281
2017-12-05,35.258026123046875
2017-12-06,35.30394744873047
2017-12-07,35.296302795410156
2017-12-08,35.326900482177734
2017-12-11,35.38813781738281
2017-12-12,35.17384719848633
2017-12-13,35.31160354614258
2017-12-14,35.17384719848633
2017-12-15,35.235076904296875
2017-12-18,35.31926345825195
2017-12-19,35.06670379638672
2017-12-20,34.91364288330078
2017-12-21,34.836082458496094
2017-12-22,34.890384674072266
2017-12-26,34.890384674072266
2017-12-27,34.952415466308594
2017-12-28,35.123023986816406
2017-12-29,35.06874465942383
2018-01-02,35.270381927490234
2018-01-03,35.270381927490234
2018-01-04,35.51078796386719
2018-01-05,35.611595153808594
2018-01-08,35.57282638549805
2018-01-09,35.402217864990234
2018-01-10,34.975685119628906
2018-01-11,35.11527633666992
2018-01-12,35.21608352661133
2018-01-16,35.32466506958008
2018-01-17,35.5340461730957
2018-01-18,35.433231353759766
2018-01-19,35.487518310546875
2018-01-22,35.63487243652344
2018-01-23,35.73569107055664
2018-01-24,35.8287467956543
2018-01-25,35.7977294921875
2018-01-26,35.9450798034668
2018-01-29,35.50303649902344
2018-01-30,35.20833206176758
2018-01-31,35.49528121948242
2018-02-01,35.355682373046875
2018-02-02,34.58792495727539
2018-02-05,33.58750915527344
2018-02-06,33.820167541503906
2018-02-07,33.50220489501953
2018-02-08,32.711185455322266
2018-02-09,33.044654846191406
2018-02-12,33.40138626098633
2018-02-13,33.40138626098633
2018-02-14,33.789146423339844
2018-02-15,34.091590881347656
2018-02-16,34.192413330078125
2018-02-20,33.96751022338867
2018-02-21,33.50996017456055
2018-02-22,33.424659729003906
2018-02-23,33.88996887207031
2018-02-26,34.02955627441406
2018-02-27,33.41689682006836
2018-02-28,33.083431243896484
2018-03-01,32.99036407470703
2018-03-02,32.99036407470703
2018-03-05,33.28506851196289
2018-03-06,33.32383728027344
2018-03-07,33.33935546875
2018-03-08,33.478939056396484
2018-03-09,33.727108001708984
2018-03-12,33.7658805847168
2018-03-13,33.74260711669922
2018-03-14,33.858943939208984
2018-03-15,33.52547073364258
2018-03-16,33.533226013183594
2018-03-19,33.292816162109375
2018-03-20,33.0756721496582
2018-03-21,33.30057907104492
2018-03-22,32.85077667236328
2018-03-23,32.532814025878906
2018-03-26,32.95159149169922
2018-03-27,32.928321838378906
2018-03-28,33.02138900756836
2018-03-29,33.23077392578125
2018-04-02,32.8585319519043
2018-04-03,32.99036407470703
2018-04-04,33.16873550415039
2018-04-05,33.40138626098633
2018-04-06,33.160980224609375
2018-04-09,33.432403564453125
2018-04-10,33.65731430053711
2018-04-11,33.58750915527344
2018-04-12,33.44791793823242
2018-04-13,33.56424331665039
2018-04-16,33.84342956542969
2018-04-17,34.052818298339844
2018-04-18,34.15363693237305
2018-04-19,33.87445068359375
2018-04-20,33.71159362792969
2018-04-23,33.59526824951172
2018-04-24,33.57200241088867
2018-04-25,33.533226013183594
2018-04-26,33.80466079711914
2018-04-27,34.014041900634766
2018-04-30,33.89772033691406
2018-05-01,33.858943939208984
2018-05-02,33.975276947021484
2018-05-03,34.052818298339844
2018-05-04,34.11486053466797
2018-05-07,34.083839416503906
2018-05-08,33.7658805847168
2018-05-09,33.81241226196289
2018-05-10,34.07608413696289
2018-05-11,34.130374908447266
2018-05-14,34.122615814208984
2018-05-15,33.882198333740234
2018-05-16,33.57200241088867
2018-05-17,33.424659729003906
2018-05-18,33.26955032348633
2018-05-21,33.533226013183594
2018-05-22,33.50996017456055
2018-05-23,33.424659729003906
2018-05-24,33.37036895751953
2018-05-25,33.238529205322266
2018-05-29,32.78873062133789
2018-05-30,33.354854583740234
2018-05-31,33.33158874511719
2018-06-01,33.18424606323242
2018-06-04,33.26179122924805
2018-06-05,33.13771057128906
2018-06-06,33.044654846191406
2018-06-07,33.01362991333008
2018-06-08,32.88955307006836
2018-06-11,33.13771057128906
2018-06-12,33.26955032348633
2018-06-13,33.31608200073242
2018-06-14,33.38587188720703
2018-06-15,33.354854583740234
2018-06-18,33.354854583740234
2018-06-19,33.32017135620117
2018-06-20,33.367462158203125
2018-06-21,33.25711441040039
2018-06-22,33.517242431640625
2018-06-25,33.4857063293457
2018-06-26,33.572418212890625
2018-06-27,33.4463005065918
2018-06-28,33.55665588378906
2018-06-29,33.856197357177734
2018-07-02,33.76161193847656
2018-07-03,33.98231506347656
2018-07-05,34.218807220458984
2018-07-06,34.62082290649414
2018-07-09,34.29762268066406
2018-07-10,34.415870666503906
2018-07-11,34.10055923461914
2018-07-12,34.36069107055664
2018-07-13,34.407989501953125
2018-07-16,34.305511474609375
2018-07-17,34.226688385009766
2018-07-18,34.16362380981445
2018-07-19,34.29762268066406
2018-07-20,34.352813720703125
2018-07-23,34.195152282714844
2018-07-24,34.25033187866211
2018-07-25,34.42375564575195
2018-07-26,34.407989501953125
2018-07-27,34.42375564575195
2018-07-30,34.305511474609375
2018-07-31,34.48681640625
2018-08-01,34.037506103515625
2018-08-02,34.11632537841797
2018-08-03,34.31338882446289
2018-08-06,34.3764533996582
2018-08-07,34.45528793334961
2018-08-08,34.368568420410156
2018-08-09,34.36069107055664
2018-08-10,33.98231506347656
2018-08-13,33.87196350097656
2018-08-14,33.935020446777344
2018-08-15,33.55665588378906
2018-08-16,33.61971664428711
2018-08-17,33.8167839050293
2018-08-20,33.88773727416992
2018-08-21,33.98231506347656
2018-08-22,34.05326461791992
2018-08-23,33.785255432128906
2018-08-24,33.95079040527344
2018-08-27,34.069034576416016
2018-08-28,33.92713928222656
2018-08-29,34.0769157409668
2018-08-30,33.8167839050293
2018-08-31,33.596065521240234
2018-09-04,33.414764404296875
2018-09-05,33.5408935546875
2018-09-06,33.572418212890625
2018-09-07,33.194061279296875
2018-09-10,33.3753547668457
2018-09-11,33.39900207519531
2018-09-12,33.52512741088867
2018-09-13,33.65913391113281
2018-09-14,33.414764404296875
2018-09-17,33.65913391113281
2018-09-18,33.824668884277344
2018-09-19,33.49359130859375
2018-09-20,33.572418212890625
2018-09-21,33.651248931884766
2018-09-24,33.4305305480957
2018-09-25,33.31229019165039
2018-09-26,33.1152229309082
