,CHSRI.SW
2017-09-11,10.556543350219727
2017-09-12,10.609024047851562
2017-09-13,10.58682632446289
2017-09-14,10.604731559753418
2017-09-15,10.555965423583984
2017-09-18,10.604238510131836
2017-09-19,10.661420822143555
2017-09-20,10.665712356567383
2017-09-21,10.683536529541016
2017-09-22,10.693765640258789
2017-09-25,10.710516929626465
2017-09-26,10.710516929626465
2017-09-27,10.636255264282227
2017-09-28,10.636255264282227
2017-09-29,10.636255264282227
2017-10-02,10.636255264282227
2017-10-03,10.636255264282227
2017-10-04,10.636255264282227
2017-10-05,10.636255264282227
2017-10-06,10.809538841247559
2017-10-09,10.809538841247559
2017-10-10,10.809538841247559
2017-10-11,10.883800506591797
2017-10-12,10.883800506591797
2017-10-13,10.883800506591797
2017-10-16,10.883800506591797
2017-10-17,10.883800506591797
2017-10-18,10.883800506591797
2017-10-19,10.883800506591797
2017-10-20,10.883800506591797
2017-10-23,10.883800506591797
2017-10-24,10.883800506591797
2017-10-25,10.883800506591797
2017-10-26,10.842543601989746
2017-10-27,10.842543601989746
2017-10-30,10.842543601989746
2017-10-31,10.842543601989746
2017-11-01,10.842543601989746
2017-11-02,10.842543601989746
2017-11-03,10.842543601989746
2017-11-06,10.842543601989746
2017-11-07,10.842543601989746
2017-11-08,10.842543601989746
2017-11-09,10.842543601989746
2017-11-10,10.842543601989746
2017-11-13,10.87554931640625
2017-11-14,10.87554931640625
2017-11-15,10.87554931640625
2017-11-16,10.87554931640625
2017-11-17,10.87554931640625
2017-11-20,10.87554931640625
2017-11-21,10.87554931640625
2017-11-22,10.87554931640625
2017-11-23,10.87554931640625
2017-11-24,10.87554931640625
2017-11-27,11.048832893371582
2017-11-28,11.048832893371582
2017-11-29,11.048832893371582
2017-11-30,11.048832893371582
2017-12-01,11.048832893371582
2017-12-04,11.048832893371582
2017-12-05,11.048832893371582
2017-12-06,10.966316223144531
2017-12-07,10.966316223144531
2017-12-08,10.966316223144531
2017-12-11,10.966316223144531
2017-12-12,11.065336227416992
2017-12-13,11.09834098815918
2017-12-14,11.17260456085205
2017-12-15,11.17260456085205
2017-12-18,11.17260456085205
2017-12-19,11.17260456085205
2017-12-20,11.17260456085205
2017-12-21,11.17260456085205
2017-12-22,11.17260456085205
2017-12-27,11.230365753173828
2017-12-28,11.230365753173828
2017-12-29,11.230365753173828
2018-01-03,11.36238956451416
2018-01-04,11.403647422790527
2018-01-05,11.444906234741211
2018-01-08,11.477911949157715
2018-01-09,11.477911949157715
2018-01-10,11.469661712646484
2018-01-11,11.469661712646484
2018-01-12,11.444906234741211
2018-01-15,11.444906234741211
2018-01-16,11.444906234741211
2018-01-17,11.444906234741211
2018-01-18,11.461408615112305
2018-01-19,11.461408615112305
2018-01-22,11.461408615112305
2018-01-23,11.6016845703125
2018-01-24,11.6016845703125
2018-01-25,11.6016845703125
2018-01-26,11.4284029006958
2018-01-29,11.444906234741211
2018-01-30,11.444906234741211
2018-01-31,11.444906234741211
2018-02-01,11.444906234741211
2018-02-02,11.444906234741211
2018-02-05,11.444906234741211
2018-02-06,10.90855598449707
2018-02-07,10.90855598449707
2018-02-08,10.999320030212402
2018-02-09,10.999320030212402
2018-02-12,10.776528358459473
2018-02-13,10.776528358459473
2018-02-14,10.842543601989746
2018-02-15,10.842543601989746
2018-02-16,10.842543601989746
2018-02-19,10.842543601989746
2018-02-20,10.842543601989746
2018-02-21,11.090087890625
2018-02-22,11.090087890625
2018-02-23,11.032328605651855
2018-02-26,11.032328605651855
2018-02-27,11.090087890625
2018-02-28,11.090087890625
2018-03-01,11.090087890625
2018-03-02,10.636255264282227
2018-03-05,10.611495971679688
2018-03-06,10.933308601379395
2018-03-07,10.933308601379395
2018-03-08,10.933308601379395
2018-03-09,10.933308601379395
2018-03-12,10.933308601379395
2018-03-13,10.933308601379395
2018-03-14,10.949811935424805
2018-03-15,10.949811935424805
2018-03-16,10.949811935424805
2018-03-19,10.949811935424805
2018-03-20,10.949811935424805
2018-03-21,10.949811935424805
2018-03-22,10.949811935424805
2018-03-23,10.949811935424805
2018-03-26,10.694016456604004
2018-03-27,10.718768119812012
2018-03-28,10.59499454498291
2018-03-29,10.793033599853516
2018-04-03,10.677512168884277
2018-04-04,10.59499454498291
2018-04-05,10.59499454498291
2018-04-06,10.86729907989502
2018-04-09,10.86729907989502
2018-04-10,10.809538841247559
2018-04-11,10.809538841247559
2018-04-12,10.86729907989502
2018-04-13,10.941558837890625
2018-04-16,10.991069793701172
2018-04-17,10.991069793701172
2018-04-18,11.090087890625
2018-04-19,11.13959789276123
2018-04-20,11.164353370666504
2018-04-23,11.10659122467041
2018-04-24,11.156102180480957
2018-04-25,11.048832893371582
2018-04-26,11.073586463928223
2018-04-27,11.147850036621094
2018-04-30,11.21386432647705
2018-05-02,11.197358131408691
2018-05-03,11.238616943359375
2018-05-04,11.263371467590332
2018-05-07,11.263371467590332
2018-05-08,11.354140281677246
2018-05-09,11.354140281677246
2018-05-11,11.354140281677246
2018-05-14,11.354140281677246
2018-05-15,11.354140281677246
2018-05-16,11.354140281677246
2018-05-17,11.354140281677246
2018-05-18,11.477911949157715
2018-05-22,11.477911949157715
2018-05-23,11.345887184143066
2018-05-24,11.354140281677246
2018-05-25,11.370640754699707
