,AGGS.SW
2018-03-14,5.006820201873779
2018-03-15,5.006680011749268
2018-03-16,5.00570011138916
2018-03-19,5.005799770355225
2018-03-20,5.000400066375732
2018-03-21,4.996500015258789
2018-03-22,5.0329999923706055
2018-03-23,5.015999794006348
2018-03-26,5.015999794006348
2018-03-27,5.015999794006348
2018-03-28,5.047999858856201
2018-03-29,5.0269999504089355
2018-04-03,5.047999858856201
2018-04-04,5.047999858856201
2018-04-05,5.047999858856201
2018-04-06,5.020999908447266
2018-04-09,5.019999980926514
2018-04-10,5.025000095367432
2018-04-11,5.025000095367432
2018-04-12,5.025000095367432
2018-04-13,5.025000095367432
2018-04-16,5.025000095367432
2018-04-17,5.01800012588501
2018-04-18,5.01800012588501
2018-04-19,5.01800012588501
2018-04-20,4.997000217437744
2018-04-23,4.997000217437744
2018-04-24,4.997000217437744
2018-04-25,4.997000217437744
2018-04-26,4.997000217437744
2018-04-27,4.997000217437744
2018-04-30,4.991000175476074
2018-05-02,4.991000175476074
2018-05-03,4.994999885559082
2018-05-04,4.988999843597412
2018-05-07,4.988999843597412
2018-05-08,4.985000133514404
2018-05-09,4.985000133514404
2018-05-11,4.994999885559082
2018-05-14,4.979499816894531
2018-05-15,4.979499816894531
2018-05-16,4.979499816894531
2018-05-17,4.979499816894531
2018-05-18,4.956999778747559
2018-05-22,4.9679999351501465
2018-05-23,4.9679999351501465
2018-05-24,4.979000091552734
2018-05-25,4.979499816894531
2018-05-28,4.979499816894531
2018-05-29,4.991000175476074
2018-05-30,4.991000175476074
2018-05-31,4.991000175476074
2018-06-01,4.991000175476074
2018-06-04,4.993500232696533
2018-06-05,4.993500232696533
2018-06-06,4.993500232696533
2018-06-07,4.993500232696533
2018-06-08,4.984000205993652
2018-06-11,4.984000205993652
2018-06-12,4.984000205993652
2018-06-13,4.984000205993652
2018-06-14,4.984000205993652
2018-06-15,4.984000205993652
2018-06-18,4.984000205993652
2018-06-19,4.998000144958496
2018-06-20,4.998000144958496
2018-06-21,4.998000144958496
2018-06-22,4.998000144958496
2018-06-25,4.998000144958496
2018-06-26,4.998000144958496
2018-06-27,4.998000144958496
2018-06-28,4.998000144958496
2018-06-29,4.998000144958496
2018-07-02,4.975500106811523
2018-07-03,4.997000217437744
2018-07-04,4.997000217437744
2018-07-05,4.997000217437744
2018-07-06,4.997000217437744
2018-07-09,4.997000217437744
2018-07-10,5.002999782562256
2018-07-11,5.002999782562256
2018-07-12,5.00600004196167
2018-07-13,5.005000114440918
2018-07-16,5.005000114440918
2018-07-17,5.005000114440918
2018-07-18,5.005000114440918
2018-07-19,5.005000114440918
2018-07-20,5.011000156402588
2018-07-23,5.011000156402588
2018-07-24,5.011000156402588
2018-07-25,4.994999885559082
2018-07-26,4.994999885559082
2018-07-27,4.988999843597412
2018-07-30,4.988999843597412
2018-07-31,4.988999843597412
2018-08-02,4.988999843597412
2018-08-03,4.988999843597412
2018-08-06,4.988999843597412
2018-08-07,4.988999843597412
2018-08-08,4.983500003814697
2018-08-09,4.983500003814697
2018-08-10,4.983500003814697
2018-08-13,4.983500003814697
2018-08-14,4.983500003814697
2018-08-15,4.983500003814697
2018-08-16,4.983500003814697
2018-08-17,4.983500003814697
2018-08-20,4.983500003814697
2018-08-21,4.983500003814697
2018-08-22,4.983500003814697
2018-08-23,4.983500003814697
2018-08-24,4.983500003814697
2018-08-27,4.983500003814697
2018-08-28,4.983500003814697
2018-08-29,4.983500003814697
2018-08-30,4.983500003814697
2018-08-31,4.992499828338623
2018-09-03,4.994999885559082
2018-09-04,4.994999885559082
2018-09-05,4.983500003814697
2018-09-06,4.983500003814697
2018-09-07,4.983500003814697
2018-09-10,4.983500003814697
2018-09-11,4.983500003814697
2018-09-12,4.983500003814697
2018-09-13,4.9730000495910645
2018-09-14,4.971499919891357
2018-09-17,4.971499919891357
2018-09-18,4.965000152587891
2018-09-19,4.95550012588501
2018-09-20,4.954999923706055
2018-09-21,4.954999923706055
2018-09-24,4.954500198364258
2018-09-25,4.947000026702881
2018-09-26,4.947000026702881
2018-09-27,4.956500053405762
2018-09-28,4.952499866485596
2018-10-01,4.952499866485596
2018-10-02,4.952499866485596
