,CHSPI.SW
2016-07-01,66.3719711303711
2016-07-04,66.0213851928711
2016-07-05,65.05549621582031
2016-07-06,64.77767181396484
2016-07-07,65.41272735595703
2016-07-08,65.88905334472656
2016-07-11,66.74903869628906
2016-07-12,66.86151885986328
2016-07-13,66.80855560302734
2016-07-14,67.27826690673828
2016-07-15,67.00704193115234
2016-07-18,67.35104370117188
2016-07-19,66.7709732055664
2016-07-20,67.52442932128906
2016-07-21,67.30439758300781
2016-07-22,67.45775604248047
2016-07-25,67.34439086914062
2016-07-26,67.67778015136719
2016-07-27,67.75109100341797
2016-07-28,66.78429412841797
2016-07-29,67.22433471679688
2016-08-02,66.28421020507812
2016-08-03,66.11083984375
2016-08-04,66.66424560546875
2016-08-05,67.69776153564453
2016-08-08,67.48439025878906
2016-08-09,68.05116271972656
2016-08-10,67.91112518310547
2016-08-11,68.61127471923828
2016-08-12,68.57789611816406
2016-08-15,68.68456268310547
2016-08-16,67.97782897949219
2016-08-17,67.37104034423828
2016-08-18,67.73110961914062
2016-08-19,67.23766326904297
2016-08-22,67.42436218261719
2016-08-23,67.84446716308594
2016-08-24,67.73774719238281
2016-08-25,67.29771423339844
2016-08-26,67.4310302734375
2016-08-29,67.66444396972656
2016-08-30,68.09115600585938
2016-08-31,67.67778015136719
2016-09-01,67.3110580444336
2016-09-02,68.31118774414062
2016-09-05,68.65126037597656
2016-09-06,68.54457092285156
2016-09-07,68.71794128417969
2016-09-08,68.63125610351562
2016-09-09,68.04452514648438
2016-09-12,67.76444244384766
2016-09-13,67.6511001586914
2016-09-14,67.4710693359375
2016-09-15,67.27103424072266
2016-09-16,67.28437042236328
2016-09-19,67.8578109741211
2016-09-20,68.2112045288086
2016-09-21,68.09781646728516
2016-09-22,68.73794555664062
2016-09-23,68.3311996459961
2016-09-26,67.6444320678711
2016-09-27,67.6511001586914
2016-09-28,68.00450897216797
2016-09-29,67.58442687988281
2016-09-30,67.21102905273438
2016-10-03,67.79114532470703
2016-10-04,67.9644775390625
2016-10-05,68.05116271972656
2016-10-06,67.7577896118164
2016-10-07,67.17102813720703
2016-10-10,67.77777099609375
2016-10-11,67.51106262207031
2016-10-12,66.9576644897461
2016-10-13,66.35752868652344
2016-10-14,67.30439758300781
2016-10-17,66.53755950927734
2016-10-18,66.97101593017578
2016-10-19,67.15100860595703
2016-10-20,67.01766204833984
2016-10-21,66.71095275878906
2016-10-24,66.32418823242188
2016-10-25,66.01081848144531
2016-10-26,65.57740020751953
2016-10-27,65.65076446533203
2016-10-28,65.67744445800781
2016-10-31,65.35738372802734
2016-11-01,64.67729187011719
2016-11-02,64.18386840820312
2016-11-03,63.82379150390625
2016-11-04,63.82379150390625
2016-11-07,64.41055297851562
2016-11-08,64.3238754272461
2016-11-09,65.7374496459961
2016-11-10,65.71076965332031
2016-11-11,65.27738952636719
2016-11-14,65.2640380859375
2016-11-15,65.58405303955078
2016-11-16,65.62409973144531
2016-11-17,65.62409973144531
2016-11-18,65.82415008544922
2016-11-21,65.25736999511719
2016-11-22,64.67729187011719
2016-11-23,64.62391662597656
2016-11-24,64.9306411743164
2016-11-25,65.65076446533203
2016-11-28,65.07733154296875
2016-11-29,65.31072235107422
2016-11-30,65.67744445800781
2016-12-01,64.77729034423828
2016-12-02,64.91062927246094
2016-12-05,65.27071380615234
2016-12-06,65.80413818359375
2016-12-07,65.71076965332031
2016-12-08,65.89747619628906
2016-12-09,67.13102722167969
2016-12-12,66.54427337646484
2016-12-13,67.56442260742188
2016-12-14,67.27769470214844
2016-12-15,67.6444320678711
2016-12-16,68.02449035644531
2016-12-19,68.0178451538086
2016-12-20,68.19782257080078
2016-12-21,68.12449645996094
2016-12-22,68.09115600585938
2016-12-23,68.0178451538086
2016-12-27,68.3045425415039
2016-12-28,68.31118774414062
2016-12-29,68.31118774414062
2016-12-30,68.48455810546875
2017-01-03,68.75794219970703
2017-01-04,69.0379638671875
2017-01-05,69.40473937988281
2017-01-06,69.6180648803711
2017-01-09,69.73809814453125
2017-01-10,69.91812133789062
2017-01-11,69.8714599609375
2017-01-12,69.3046875
2017-01-13,69.99149322509766
2017-01-16,69.37135314941406
2017-01-17,68.94465637207031
2017-01-18,68.97798919677734
2017-01-19,68.78459167480469
2017-01-20,68.67125701904297
2017-01-23,68.2978515625
2017-01-24,68.4378890991211
2017-01-25,69.43136596679688
2017-01-26,69.73143768310547
2017-01-27,69.47137451171875
2017-01-30,69.19132995605469
2017-01-31,68.91131591796875
2017-02-01,69.33135223388672
2017-02-02,68.92462921142578
2017-02-03,69.47802734375
2017-02-06,69.2513656616211
2017-02-07,69.65142059326172
2017-02-08,69.6447525024414
2017-02-09,70.06478881835938
2017-02-10,70.06478881835938
2017-02-13,70.49156951904297
2017-02-14,70.06478881835938
2017-02-15,70.5782241821289
2017-02-16,70.43819427490234
2017-02-17,70.67826843261719
2017-02-20,70.86493682861328
2017-02-21,71.41169738769531
2017-02-22,71.41838836669922
2017-02-23,71.31168365478516
2017-02-24,70.90499114990234
2017-02-27,70.9383316040039
2017-02-28,71.00496673583984
2017-03-01,72.00514221191406
2017-03-02,72.46150207519531
2017-03-03,72.3608169555664
2017-03-06,72.35411834716797
2017-03-07,72.17962646484375
2017-03-08,72.30044555664062
2017-03-09,72.347412109375
2017-03-10,72.52857971191406
2017-03-13,72.70983123779297
2017-03-14,72.61582946777344
2017-03-15,72.72323608398438
2017-03-16,72.87828826904297
2017-03-17,73.25577545166016
2017-03-20,73.26930236816406
2017-03-21,72.66259002685547
2017-03-22,72.0963134765625
2017-03-23,72.79066467285156
2017-03-24,72.68280029296875
2017-03-27,72.40641021728516
2017-03-28,72.57495880126953
2017-03-29,72.99290466308594
2017-03-30,73.21534729003906
2017-03-31,73.22208404541016
2017-04-03,73.07379913330078
2017-04-04,73.24234008789062
2017-04-05,73.45801544189453
2017-04-06,73.2086181640625
