,XDWL.SW
2016-07-01,36.10846710205078
2016-07-04,36.57981872558594
2016-07-05,36.57981872558594
2016-07-06,36.57981872558594
2016-07-07,36.57981872558594
2016-07-08,36.57981872558594
2016-07-11,36.57981872558594
2016-07-12,36.57981872558594
2016-07-13,37.766605377197266
2016-07-14,37.766605377197266
2016-07-15,37.766605377197266
2016-07-18,37.766605377197266
2016-07-19,37.766605377197266
2016-07-20,37.766605377197266
2016-07-21,37.766605377197266
2016-07-22,37.766605377197266
2016-07-25,38.128517150878906
2016-07-26,38.128517150878906
2016-07-27,38.54094696044922
2016-07-28,37.9349365234375
2016-07-29,37.9349365234375
2016-08-02,37.9349365234375
2016-08-03,37.9349365234375
2016-08-04,37.9349365234375
2016-08-05,37.9349365234375
2016-08-08,38.22952651977539
2016-08-09,38.22952651977539
2016-08-10,38.22952651977539
2016-08-11,38.22952651977539
2016-08-12,38.22952651977539
2016-08-15,38.406272888183594
2016-08-16,38.406272888183594
2016-08-17,38.406272888183594
2016-08-18,38.406272888183594
2016-08-19,38.406272888183594
2016-08-22,38.406272888183594
2016-08-23,37.91810607910156
2016-08-24,37.91810607910156
2016-08-25,37.90968322753906
2016-08-26,37.90968322753906
2016-08-29,37.90968322753906
2016-08-30,37.90968322753906
2016-08-31,38.43994903564453
2016-09-01,38.43994903564453
2016-09-02,38.43994903564453
2016-09-05,38.43994903564453
2016-09-06,38.751380920410156
2016-09-07,38.751380920410156
2016-09-08,38.751380920410156
2016-09-09,38.456783294677734
2016-09-12,38.456783294677734
2016-09-13,38.456783294677734
2016-09-14,38.456783294677734
2016-09-15,38.456783294677734
2016-09-16,38.456783294677734
2016-09-19,38.03593826293945
2016-09-20,38.03593826293945
2016-09-21,38.03593826293945
2016-09-22,38.03593826293945
2016-09-23,38.03593826293945
2016-09-26,38.03593826293945
2016-09-27,38.03593826293945
2016-09-28,38.03593826293945
2016-09-29,38.03593826293945
2016-09-30,38.03593826293945
2016-10-03,38.03593826293945
2016-10-04,38.03593826293945
2016-10-05,38.03593826293945
2016-10-06,38.03593826293945
2016-10-07,38.19586944580078
2016-10-10,38.0780143737793
2016-10-11,38.0780143737793
2016-10-12,38.0780143737793
2016-10-13,38.0780143737793
2016-10-14,38.29685592651367
2016-10-17,37.943359375
2016-10-18,37.943359375
2016-10-19,37.943359375
2016-10-20,37.943359375
2016-10-21,37.943359375
2016-10-24,37.943359375
2016-10-25,37.943359375
2016-10-26,37.943359375
2016-10-27,37.943359375
2016-10-28,37.943359375
2016-10-31,37.943359375
2016-11-01,37.5645866394043
2016-11-02,37.5645866394043
2016-11-03,37.5645866394043
2016-11-04,37.5645866394043
2016-11-07,37.269996643066406
2016-11-08,37.269996643066406
2016-11-09,36.933319091796875
2016-11-10,36.933319091796875
2016-11-11,36.933319091796875
2016-11-14,36.933319091796875
2016-11-15,38.69245147705078
2016-11-16,38.69245147705078
2016-11-17,38.69245147705078
2016-11-18,38.69245147705078
2016-11-21,38.69245147705078
2016-11-22,38.69245147705078
2016-11-23,38.69245147705078
2016-11-24,38.69245147705078
2016-11-25,38.69245147705078
2016-11-28,38.69245147705078
2016-11-29,38.69245147705078
2016-11-30,38.69245147705078
2016-12-01,39.56779861450195
2016-12-02,39.56779861450195
2016-12-05,39.56779861450195
2016-12-06,39.56779861450195
2016-12-07,39.56779861450195
2016-12-08,39.56779861450195
2016-12-09,39.56779861450195
2016-12-12,39.56779861450195
2016-12-13,39.56779861450195
2016-12-14,39.56779861450195
2016-12-15,39.56779861450195
2016-12-16,39.56779861450195
2016-12-19,39.56779861450195
2016-12-20,39.56779861450195
2016-12-21,39.56779861450195
2016-12-22,39.56779861450195
2016-12-23,39.56779861450195
2016-12-27,39.56779861450195
2016-12-28,39.56779861450195
2016-12-29,39.56779861450195
2016-12-30,40.83034133911133
2017-01-03,41.49527359008789
2017-01-04,41.35219192504883
2017-01-05,41.35219192504883
2017-01-06,41.35219192504883
2017-01-09,41.35219192504883
2017-01-10,41.167022705078125
2017-01-11,41.67204284667969
2017-01-12,41.67204284667969
2017-01-13,41.67204284667969
2017-01-16,41.25119400024414
2017-01-17,40.81351852416992
2017-01-18,40.81351852416992
2017-01-19,40.81351852416992
2017-01-20,40.81351852416992
2017-01-23,40.81351852416992
2017-01-24,40.81351852416992
2017-01-25,40.81351852416992
2017-01-26,40.81351852416992
2017-01-27,41.11651611328125
2017-01-30,41.11651611328125
2017-01-31,40.40107345581055
2017-02-01,40.59467315673828
2017-02-02,40.47683334350586
2017-02-03,40.47683334350586
2017-02-06,40.47683334350586
2017-02-07,40.47683334350586
2017-02-08,40.47683334350586
2017-02-09,40.47683334350586
2017-02-10,40.47683334350586
2017-02-13,41.697288513183594
2017-02-14,41.94978713989258
2017-02-15,41.94978713989258
2017-02-16,41.94978713989258
2017-02-17,41.94978713989258
2017-02-20,42.21913528442383
2017-02-21,42.21913528442383
2017-02-22,42.21913528442383
2017-02-23,42.21913528442383
2017-02-24,42.404296875
2017-02-27,42.404296875
2017-02-28,42.404296875
2017-03-01,42.791481018066406
2017-03-02,42.791481018066406
2017-03-03,42.791481018066406
2017-03-06,42.791481018066406
2017-03-07,42.791481018066406
2017-03-08,42.791481018066406
2017-03-09,42.791481018066406
2017-03-10,42.555809020996094
2017-03-13,42.555809020996094
2017-03-14,42.555809020996094
2017-03-15,42.555809020996094
2017-03-16,42.555809020996094
2017-03-17,42.555809020996094
2017-03-20,42.53055953979492
2017-03-21,42.53055953979492
2017-03-22,42.53055953979492
2017-03-23,42.53055953979492
2017-03-24,42.53055953979492
2017-03-27,42.53055953979492
2017-03-28,42.53055953979492
2017-03-29,42.53055953979492
2017-03-30,42.48847961425781
2017-03-31,42.48847961425781
2017-04-03,42.513729095458984
2017-04-04,42.379051208496094
2017-04-05,42.379051208496094
2017-04-06,41.68887710571289
2017-04-07,41.68887710571289
2017-04-10,42.780853271484375
2017-04-11,42.78944778442383
2017-04-12,42.78944778442383
2017-04-13,42.78944778442383
2017-04-18,42.78944778442383
2017-04-19,42.08517074584961
2017-04-20,42.08517074584961
2017-04-21,42.08517074584961
2017-04-24,42.08517074584961
2017-04-25,42.89252471923828
2017-04-26,42.89252471923828
2017-04-27,42.89252471923828
2017-04-28,42.89252471923828
2017-05-02,42.89252471923828
2017-05-03,42.89252471923828
2017-05-04,42.89252471923828
2017-05-05,42.89252471923828
2017-05-08,42.89252471923828
2017-05-09,42.89252471923828
2017-05-10,42.89252471923828
2017-05-11,43.95753479003906
2017-05-12,43.95753479003906
2017-05-15,43.95753479003906
2017-05-16,43.95753479003906
2017-05-17,42.566139221191406
2017-05-18,42.35141372680664
2017-05-19,42.35141372680664
2017-05-22,42.540374755859375
2017-05-23,42.540374755859375
2017-05-24,42.540374755859375
2017-05-26,42.540374755859375
2017-05-29,42.98699951171875
2017-05-30,42.85816955566406
2017-05-31,42.85816955566406
2017-06-01,42.85816955566406
2017-06-02,42.85816955566406
2017-06-06,42.849571228027344
2017-06-07,42.849571228027344
2017-06-08,42.849571228027344
2017-06-09,42.849571228027344
2017-06-12,42.746517181396484
2017-06-13,42.969818115234375
2017-06-14,43.201725006103516
2017-06-15,43.201725006103516
2017-06-16,43.201725006103516
2017-06-19,43.459373474121094
2017-06-20,43.407840728759766
2017-06-21,43.407840728759766
2017-06-22,43.107234954833984
2017-06-23,43.107234954833984
2017-06-26,43.2618293762207
2017-06-27,43.2618293762207
2017-06-28,43.2618293762207
2017-06-29,43.2618293762207
2017-06-30,43.2618293762207
2017-07-03,43.2618293762207
2017-07-04,42.849571228027344
2017-07-05,42.84097671508789
2017-07-06,42.84097671508789
2017-07-07,42.47166061401367
2017-07-10,42.78944778442383
2017-07-11,42.78944778442383
2017-07-12,42.78944778442383
2017-07-13,42.78944778442383
2017-07-14,42.78944778442383
2017-07-17,42.78944778442383
2017-07-18,42.78944778442383
2017-07-19,42.78944778442383
2017-07-20,42.78944778442383
2017-07-21,42.78944778442383
2017-07-24,42.712158203125
2017-07-25,42.712158203125
2017-07-26,42.712158203125
2017-07-27,42.712158203125
2017-07-28,42.712158203125
2017-07-31,42.712158203125
2017-08-02,43.931766510009766
2017-08-03,43.931766510009766
2017-08-04,43.931766510009766
2017-08-07,44.28390884399414
2017-08-08,44.31825256347656
2017-08-09,43.63974380493164
2017-08-10,43.63974380493164
2017-08-11,43.13300704956055
2017-08-14,43.13300704956055
2017-08-15,43.13300704956055
2017-08-16,43.13300704956055
2017-08-17,43.13300704956055
2017-08-18,43.00416946411133
2017-08-21,42.89252471923828
2017-08-22,42.89252471923828
